step,equation,derived_variable,terms,rhs,derived_or_residual_value
1,R9-P6,"tau_S_in[3,24]","1.0 * tau_S_in[3,24]",362.9324590815281,362.9324590815281
2,R9-P6,"tau_S_in[4,24]","1.0 * tau_S_in[4,24]",362.518194107889,362.518194107889
3,R9-P6,"tau_S_in[7,24]","1.0 * tau_S_in[7,24]",362.9324590815281,362.9324590815281
4,R9-P6,"tau_S_in[8,24]","1.0 * tau_S_in[8,24]",362.579655149877,362.579655149877
5,3-39,"tau_S_mix[4,24]","1.0 * tau_S_in[4,24] + -1.0 * tau_S_mix[4,24]",0.0,362.518194107889
6,3-39,"tau_S_mix[25,24]","1.0 * tau_S_in[8,24] + -1.0 * tau_S_mix[25,24]",0.0,362.579655149877
7,3-35,"tau_S_out[3,24]","-1.0 * tau_S_out[3,24] + 1.0 * tau_S_mix[4,24]",0.0,362.518194107889
8,3-35,"tau_S_out[7,24]","-1.0 * tau_S_out[7,24] + 1.0 * tau_S_mix[25,24]",0.0,362.579655149877
9,3-34,"tau_S_star[3,24]","1.0 * tau_S_out[3,24] + -0.9948075682498614 * tau_S_star[3,24]",1.4702370500517645,362.932459081528
10,3-34,"tau_S_star[7,24]","1.0 * tau_S_out[7,24] + -0.9955779260790824 * tau_S_star[7,24]",1.2521102307078422,362.93245908152807
11,3-33,"tau_S_in[3,23]","-0.6375661375661377 * tau_S_in[3,23] + -3.1878306878306883 * tau_S_in[3,24] + 3.825396825396826 * tau_S_star[3,24]",0.0,362.9324590815275
12,3-33,"tau_S_in[7,23]","-0.7969576719576722 * tau_S_in[7,23] + -3.98478835978836 * tau_S_in[7,24] + 4.7817460317460325 * tau_S_star[7,24]",0.0,362.93245908152807
13,3-39,"tau_S_mix[3,23]","1.0 * tau_S_in[3,23] + -1.0 * tau_S_mix[3,23]",0.0,362.9324590815275
14,3-39,contradiction,"1.0 * tau_S_in[7,23] + -1.0 * tau_S_mix[3,23]",0.0,-5.933415663918119e-13
