mode,run_id,pair,model_pass,loss_MWh,exchange_exact_pass,original_limit_MWh,carrier_limit_pass
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825,"1:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",true,10.31482571661381,false,2.0,true
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825,"1:0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",true,10.319838401908157,false,2.0,true
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825,"1:1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",true,10.319838401908164,false,2.0,true
