mode,parent_run_id,pipe,side,scenario,mass_kg,mean_K,relative_heat_MWh
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,18,S,1,3442.8571428571436,360.37986162376546,0.069206610855458
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,18,R,1,3442.8571428571436,313.98780030216255,0.08369849788035306
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,19,S,1,2295.2380952380954,359.3370076890028,0.04334520947832972
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,19,R,1,2295.2380952380954,313.77006226433633,0.05521594450783397
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,20,S,1,1147.6190476190477,358.1162528888614,0.020038149701197803
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,20,R,1,1147.6190476190477,313.21381352651844,0.026863216999394153
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,21,S,1,14076.190476190477,363.3069933826452,0.3310226246616623
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,21,R,1,14076.190476190477,304.8358906198422,0.19190829262363057
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,22,S,1,12928.571428571431,362.3066405372316,0.2889459947699107
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,22,R,1,12928.571428571431,304.5107125185647,0.17135741382168415
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,23,S,1,11780.952380952383,361.523382819928,0.25253193942501034
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,23,R,1,11780.952380952383,304.41934974369724,0.15489095147726167
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,24,S,1,10633.333333333336,360.8206608189834,0.21921436449327758
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,24,R,1,10633.333333333336,304.6407118500079,0.1425486642281538
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,25,S,1,1147.6190476190477,359.66655614942584,0.022113833511175768
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,25,R,1,1147.6190476190477,314.55806754151484,0.02866302376391711
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,26,S,1,8338.095238095239,360.17049987348275,0.16557164043593514
