mode,stage,run_id,block,scope,formula,rows,maximum_normalized,raw_residual,tolerance,unit,all_pass
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,binary-a_on,47,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,binary-beta,44,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,binary-z,47,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,forest-edges,1,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,forest-independent,1,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,inactive-charge,128,0.0,0.0,2.7877279102384292e-5,MW,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,inactive-discharge,128,0.0,0.0,2.7877279102384292e-5,MW,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,inactive-energy,136,0.0,0.0,1.1278250000000002e-5,MWh,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,integer-a_off,47,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,integer-a_on,47,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,integer-beta,44,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,integer-z,47,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,load-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,off-action,47,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,on-action,47,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,one-root-per-component,1,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,root-eligible,44,0.0,0.0,1.0e-6,1,true
