split,candidate,method,radius,record_available,selected_for_test,selected_validation_eligible,n,passed,violations,unknown,risk_status,lower,upper,epsilon,confidence,model_pass_days,complete_cost_days,missing_cost_days,all_costs_complete,mean_net_cost_USD,observed_mean_USD,observed_q05_USD,observed_q50_USD,observed_q95_USD,model_max_excess_K,called_energy_MWh,mismatch_MWh,call_relative_mismatch
test,D,D,0.0,true,true,true,1000,1000,0,0,supported,0.0,0.002991249545095295,0.05,0.95,1000,1000,0,true,-83.88145298449453,-83.88145298449453,-105.75884150663694,-85.22237010954183,-57.79546288904375,0.0,899.734564842921,0.001960020641276954,2.1784431963210634e-6
test,SP,SP,0.0,true,true,true,1000,1000,0,0,supported,0.0,0.002991249545095295,0.05,0.95,1000,1000,0,true,-85.48734858153442,-85.48734858153442,-104.98234926205528,-86.21070134527999,-61.967618224209765,0.0,899.734564842921,0.19534277285793555,0.0002171115576648311
test,RO,RO,0.0,true,true,true,1000,1000,0,0,supported,0.0,0.002991249545095295,0.05,0.95,1000,1000,0,true,-81.41213426251348,-81.41213426251348,-100.55826042790721,-82.10680874013089,-58.69597265777585,0.0,887.2759566679288,0.0019600206412702546,2.209031616985211e-6
test,DRO-r02,DRO,0.0005,true,true,true,1000,1000,0,0,supported,0.0,0.002991249545095295,0.05,0.95,1000,1000,0,true,-85.50616192599915,-85.50616192599915,-105.11458450009825,-86.18672696169052,-62.27698796874735,0.0,899.734564842921,0.18262347097733253,0.00020297483070378164
test,CCP,CCP,0.0,true,true,false,1000,947,53,0,inconclusive,0.04183997682809415,0.0661706396419804,0.05,0.95,1000,1000,0,true,-85.6923434904356,-85.6923434904356,-105.31142089136588,-86.37373230313109,-62.27364883032388,1.0,899.734564842921,0.13263632875248815,0.00014741717605974635
test,DRJCC-r04,DRJCC,0.005,true,true,true,1000,982,18,0,supported,0.011665724468018834,0.026575622645095845,0.05,0.95,1000,1000,0,true,-85.43235097216376,-85.43235097216376,-105.0537792642621,-86.2323361306349,-62.25669068221716,1.0,899.734564842921,0.2487414324070297,0.0002764609053898645
