P_pu,Q_pu,SOC_slack,branch,ell_pu2,grid_MW,loss_MW,role,stage,t,v_from_pu2,v_to_pu2
0.200463376369993,0.04012487714592394,3.0283897463271973e-6,1,0.041798599421381054,0.2004633763698922,0.00020899299710690528,first_feasible,3914,1,0.9999999999999576,0.9978360788870173
1.4001417358855406e-8,0.0400707237553144,8.773249812605612e-6,1,0.0016144361520875083,1.4001585392517885e-8,8.072180760437541e-6,first_feasible,3914,2,1.0000000000000067,0.9998397637836159
1.2081431854937819e-8,0.040338611698882865,0.0004101471636033171,1,0.002037350757396702,1.2081485839842263e-8,1.018675378698351e-5,first_feasible,3914,3,1.0000000000000053,0.9998387045155704
4.947431486712617e-8,0.040015221170905946,7.882872865615361e-6,1,0.0016091007982245809,4.94773477628387e-8,8.045503991122904e-6,first_feasible,3914,4,1.0000000000000009,0.9998399852844881
0.17457721389125824,0.04008063580891541,3.029158087843476e-6,1,0.0320866901349699,0.17457721389114975,0.0001604334506748495,first_feasible,3914,5,0.9999999999999685,0.9980948358318009
0.17553710626000507,0.04008110221175398,3.0291905655126846e-6,1,0.03242279961921193,0.17553710625989613,0.00016211399809605963,first_feasible,3914,6,0.9999999999999681,0.9980852447896768
0.1752476611620617,0.04008089906645518,3.0291257599854206e-6,1,0.03232125033850917,0.175247661161952,0.00016160625169254583,first_feasible,3914,7,0.9999999999999681,0.9980881371083083
0.17524766114222912,0.04008089906655776,3.029151114997998e-6,1,0.032321250356921176,0.17524766114212034,0.00016160625178460587,first_feasible,3914,8,0.9999999999999681,0.9980881371085067
0.17524766113792767,0.040080899066439635,3.0291421061914934e-6,1,0.03232125034639526,0.17524766113781873,0.0001616062517319763,first_feasible,3914,9,0.9999999999999681,0.9980881371085499
0.1752476611380831,0.04008089906650225,3.0291210594793772e-6,1,0.03232125032540805,0.17524766113797347,0.00016160625162704026,first_feasible,3914,10,0.9999999999999681,0.9980881371085475
0.17524766113874124,0.04008089906676604,3.0292161880029252e-6,1,0.03232125042078839,0.1752476611386323,0.00016160625210394198,first_feasible,3914,11,0.9999999999999681,0.9980881371085426
0.17524766113828383,0.040080899066583076,3.02911566354069e-6,1,0.032321250320088944,0.1752476611381751,0.00016160625160044473,first_feasible,3914,12,0.9999999999999681,0.998088137108545
