record_id,run_id,case,solver,case_sha256,status,candidate,model_pass,kkt_pass,optimality_pass,cost_optimization_complete,objective,dual_value,relative_gap,independent_dual_pass,independent_dual_status,independent_dual_value,independent_dual_gap,elapsed_sec,total_method_elapsed_sec
bid_cap--highs,r5-market-4f705f6e-cab6-4d26-88cc-505a6c6e62cf,bid_cap,highs,cab5fac023eeaea4998db0695f340033f6197a89b7ef3a11bbdaa06f601cff6b,solver_optimal,true,true,true,true,true,3800.0,3800.0,0.0,true,OPTIMAL,3800.0,0.0,4.5929999351501465,8.520999908447266
bid_cap--clarabel,r5-market-969443fd-36ea-455c-afef-fcbc857e5c93,bid_cap,clarabel,cab5fac023eeaea4998db0695f340033f6197a89b7ef3a11bbdaa06f601cff6b,solver_optimal,true,true,true,true,true,3800.0000000000027,3799.9999999950496,1.303449512067201e-12,true,OPTIMAL,3800.0000000255363,6.719610131480481e-12,5.564000129699707,5.584000110626221
capacity_infeasible--highs,r5-market-f3bc159e-8013-436f-a2e4-cfb998b2f520,capacity_infeasible,highs,c4dcfadcb5cef69aa614de78f012f2724ad84e3f471ae21a046af7ecaa82a94f,solver_infeasible,false,false,false,false,false,NaN,NaN,NaN,false,not_attempted_without_primal,NaN,NaN,0.21399998664855957,0.21600008010864258
capacity_infeasible--clarabel,r5-market-61b62378-7de1-40f5-8830-5ba4e6a1910a,capacity_infeasible,clarabel,c4dcfadcb5cef69aa614de78f012f2724ad84e3f471ae21a046af7ecaa82a94f,solver_infeasible,false,false,false,false,false,NaN,NaN,NaN,false,not_attempted_without_primal,NaN,NaN,0.006999969482421875,0.007999897003173828
hand_hour--highs,r5-market-f049293e-0369-4ae9-a6c5-412ce0ab7d76,hand_hour,highs,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,solver_optimal,true,true,true,true,true,-1280.0,-1280.0,0.0,true,OPTIMAL,-1280.0,0.0,0.003000020980834961,0.07000017166137695
hand_hour--clarabel,r5-market-aeada9dc-e494-4f08-8b53-0230b1a3f3a7,hand_hour,clarabel,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,solver_optimal,true,true,true,true,true,-1280.0000000021241,-1280.0000000345606,2.53409737637901e-11,true,OPTIMAL,-1279.9999999990262,2.4206414650467042e-12,0.004999876022338867,0.009999990463256836
hand_quarter--highs,r5-market-c918a4a1-cfc1-4ced-8c41-d7bd56290ca0,hand_quarter,highs,9cd6b1600bbc9b75117dec81231bb7904df8feff72425b9e60c366f0506998ec,solver_optimal,true,true,true,true,true,-320.0,-320.0,0.0,true,OPTIMAL,-320.0,0.0,0.003000020980834961,0.006999969482421875
hand_quarter--clarabel,r5-market-e2e01c23-e7b8-4d3c-87ec-badb61585842,hand_quarter,clarabel,9cd6b1600bbc9b75117dec81231bb7904df8feff72425b9e60c366f0506998ec,solver_optimal,true,true,true,true,true,-320.00000000140363,-320.000000010604,2.875122362398664e-11,true,OPTIMAL,-320.00000000088744,1.612576738800474e-12,0.005000114440917969,0.009000062942504883
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,d535e3298c68c0af8735e313d3b885f55c2b6d3c9b368e2f7e604a8f4cf59144,solver_optimal,true,true,true,true,true,6850.0,6850.0,0.0,true,OPTIMAL,6850.0,0.0,0.06399989128112793,0.08599996566772461
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,d535e3298c68c0af8735e313d3b885f55c2b6d3c9b368e2f7e604a8f4cf59144,solver_optimal,true,true,true,true,true,6850.000000007756,6849.999999956291,7.513222874330864e-12,true,OPTIMAL,6850.000000826122,1.1946936520346828e-10,0.006999969482421875,0.011999845504760742
ramp_memory--highs,r5-market-cb9f42da-b552-4060-9f0f-ebff0d0e3b41,ramp_memory,highs,a60e590062b7ae541807da845e6a07ca4786af2a0e9a1a856b12d2f707650483,solver_optimal,true,true,true,true,true,4200.0,4200.0,0.0,true,OPTIMAL,4200.0,0.0,0.003000020980834961,0.006999969482421875
ramp_memory--clarabel,r5-market-657dfd59-01e9-42c9-bf77-5d0cecce47b7,ramp_memory,clarabel,a60e590062b7ae541807da845e6a07ca4786af2a0e9a1a856b12d2f707650483,solver_optimal,true,true,true,true,true,4200.000000002521,4199.999999980009,5.35995544244524e-12,true,OPTIMAL,4200.000000003217,1.6565796353711249e-13,0.006000041961669922,0.010000228881835938
