record_id,run_id,case,solver,line,t,flow_MW,limit_MW
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,1,1,40.0,70.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,1,2,60.0,70.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,1,3,70.0,70.0
no_ies--highs,r5-market-3146d5d9-37a4-4dd6-9258-6b3b81a79e68,no_ies,highs,1,4,50.0,70.0
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,1,1,39.99999999996671,70.0
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,1,2,59.9999999999322,70.0
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,1,3,69.99999999994215,70.0
no_ies--clarabel,r5-market-6d1265bf-900d-4c63-9fe7-37f087d3e8c0,no_ies,clarabel,1,4,49.99999999996973,70.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,1,1,50.0,70.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,1,2,70.0,70.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,1,3,70.0,70.0
two_bus--highs,r5-market-cf91283e-e1af-4463-841b-36bba1f862d5,two_bus,highs,1,4,70.0,70.0
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,1,1,49.99999999997761,70.0
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,1,2,69.99999999986564,70.0
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,1,3,69.99999999994938,70.0
two_bus--clarabel,r5-market-f60961de-0b27-402f-88e7-aad523f05cfa,two_bus,clarabel,1,4,69.99999999994635,70.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,1,1,50.0,200.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,1,2,70.0,200.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,1,3,80.0,200.0
wide_line--highs,r5-market-e3d61cbb-da31-49f3-915d-290caebba9d2,wide_line,highs,1,4,80.0,200.0
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,1,1,49.99999999999297,200.0
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,1,2,69.99999999998444,200.0
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,1,3,79.99999999993905,200.0
wide_line--clarabel,r5-market-1c555c9b-0c27-454e-a405-574d95c35316,wide_line,clarabel,1,4,79.99999999989399,200.0
