record_id,run_id,case,solver,component,amount_USD
bid_cap--highs,r5-market-4f705f6e-cab6-4d26-88cc-505a6c6e62cf,bid_cap,highs,generators_energy,3800.0
bid_cap--highs,r5-market-4f705f6e-cab6-4d26-88cc-505a6c6e62cf,bid_cap,highs,generators_up,0.0
bid_cap--highs,r5-market-4f705f6e-cab6-4d26-88cc-505a6c6e62cf,bid_cap,highs,generators_down,0.0
bid_cap--highs,r5-market-4f705f6e-cab6-4d26-88cc-505a6c6e62cf,bid_cap,highs,ies_energy,0.0
bid_cap--highs,r5-market-4f705f6e-cab6-4d26-88cc-505a6c6e62cf,bid_cap,highs,ies_up,0.0
bid_cap--highs,r5-market-4f705f6e-cab6-4d26-88cc-505a6c6e62cf,bid_cap,highs,ies_down,0.0
bid_cap--clarabel,r5-market-969443fd-36ea-455c-afef-fcbc857e5c93,bid_cap,clarabel,generators_energy,3800.000000000003
bid_cap--clarabel,r5-market-969443fd-36ea-455c-afef-fcbc857e5c93,bid_cap,clarabel,generators_up,6.826524235017367e-16
bid_cap--clarabel,r5-market-969443fd-36ea-455c-afef-fcbc857e5c93,bid_cap,clarabel,generators_down,1.4142782921927068e-16
bid_cap--clarabel,r5-market-969443fd-36ea-455c-afef-fcbc857e5c93,bid_cap,clarabel,ies_energy,0.0
bid_cap--clarabel,r5-market-969443fd-36ea-455c-afef-fcbc857e5c93,bid_cap,clarabel,ies_up,0.0
bid_cap--clarabel,r5-market-969443fd-36ea-455c-afef-fcbc857e5c93,bid_cap,clarabel,ies_down,0.0
hand_hour--highs,r5-market-f049293e-0369-4ae9-a6c5-412ce0ab7d76,hand_hour,highs,generators_energy,1600.0
hand_hour--highs,r5-market-f049293e-0369-4ae9-a6c5-412ce0ab7d76,hand_hour,highs,generators_up,100.0
hand_hour--highs,r5-market-f049293e-0369-4ae9-a6c5-412ce0ab7d76,hand_hour,highs,generators_down,20.0
hand_hour--highs,r5-market-f049293e-0369-4ae9-a6c5-412ce0ab7d76,hand_hour,highs,ies_energy,-3000.0
hand_hour--highs,r5-market-f049293e-0369-4ae9-a6c5-412ce0ab7d76,hand_hour,highs,ies_up,0.0
hand_hour--highs,r5-market-f049293e-0369-4ae9-a6c5-412ce0ab7d76,hand_hour,highs,ies_down,0.0
hand_hour--clarabel,r5-market-aeada9dc-e494-4f08-8b53-0230b1a3f3a7,hand_hour,clarabel,generators_energy,1600.0000000005607
hand_hour--clarabel,r5-market-aeada9dc-e494-4f08-8b53-0230b1a3f3a7,hand_hour,clarabel,generators_up,100.00000000028841
