iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,diagnostic,3.919085769267844,true,1.0,0.02099896334777629,true,false,1
2,diagnostic,3.9173275471443008,true,1.0,0.0209989946403355,true,false,1
3,diagnostic,3.915569306269352,true,1.0,0.020999382804424815,true,false,1
4,diagnostic,3.9138110176594223,true,1.0,0.020999820464907337,true,false,1
5,diagnostic,3.9120526779984615,true,1.0,0.020999484098885857,true,false,1
6,diagnostic,3.9102943528591925,true,1.0,0.020999096098285097,true,false,1
7,diagnostic,3.90853604728704,true,1.0,0.020999130184460535,true,false,1
8,diagnostic,3.906777726604067,true,1.0,0.020999067825667073,true,false,1
9,diagnostic,3.905019399503696,true,1.0,0.020999042804748402,true,false,1
10,diagnostic,3.9032610634369775,true,1.0,0.020998892394389568,true,false,1
11,diagnostic,3.9015027294336626,true,1.0,0.02099930017629248,true,false,1
12,diagnostic,3.8997443513045473,true,1.0,0.020999207509387885,true,false,1
13,diagnostic,3.8979859713854,true,1.0,0.02099927215694719,true,false,1
14,diagnostic,3.8962275769656003,true,1.0,0.020999266645820303,true,false,1
15,diagnostic,3.8944691749570843,true,1.0,0.020999390318252154,true,false,1
16,diagnostic,3.892710753466685,true,1.0,0.020999356417051196,true,false,1
17,diagnostic,3.8909523270141464,true,1.0,0.020999375666332032,true,false,1
18,diagnostic,3.8891938914789104,true,1.0,0.020999416369096746,true,false,1
19,diagnostic,3.887435445244537,true,1.0,0.02099947020117021,true,false,1
20,diagnostic,3.8856769869598056,true,1.0,0.020999615678247707,true,false,1
21,diagnostic,3.8839185090026884,true,1.0,0.020999380913754973,true,false,1
22,diagnostic,3.882160045839269,true,1.0,0.02099925444707007,true,false,1
23,diagnostic,3.880401586379686,true,1.0,0.020999324417266152,true,false,1
24,diagnostic,3.878643115418085,true,1.0,0.019384049978613538,true,false,1
25,diagnostic,3.8771527752384154,false,,0.7726604605242509,true,true,12
