stage,run_id,time_h,generation_MW,pcc_MW,critical_MW,critical_served_MW,critical_unserved_MW,heat_unserved_MW
normal,74e43db5-0140-48be-8aa3-645aabf7a397,12.75,13.642441255203767,23.832380361507134,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,13.0,13.149161158119838,23.08525815200711,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,13.25,13.055317294075495,23.16923580763007,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,13.5,12.96582960523896,23.24831543636225,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,13.75,12.883394259033922,23.320718431628304,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,14.0,11.607481956287376,25.81957523399432,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,14.25,10.107481956287376,27.311061975794004,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,14.5,11.461444673167996,25.949247905786432,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,14.75,11.500235484448755,25.90357650686162,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,15.0,9.862871472732417,29.17960588713069,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,15.25,9.843394447181241,29.2004824234111,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,15.5,8.343394447181241,30.70296444267155,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,15.75,8.2,30.848041096261603,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,16.0,6.199999999999999,34.49450265660932,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,16.25,6.199999999999999,34.50664273653098,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,16.5,6.199999999999999,34.52151717424959,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,16.75,6.989433373837995,33.74496235669633,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,17.0,8.649433373837997,32.91785313548878,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,17.25,8.785377471806196,32.79770486445239,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,17.5,8.873029754386927,32.72617895671011,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,17.75,8.96,32.65479913992373,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,18.0,8.0,31.988208349982756,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,18.25,8.0,32.00393336014261,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,18.5,8.0,32.01874258694278,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,18.75,8.0,32.03085258343195,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,19.0,8.0,29.571112375275682,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,19.25,8.0,29.565158339699185,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,19.5,8.0,29.554711157695735,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,19.75,8.0,29.545333106530457,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,20.0,8.0,26.24908973866072,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,20.25,7.911165259003637,26.3267250628099,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,20.5,7.807261560404046,26.419979832275867,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,20.75,7.7122931901941305,26.505808704890356,NaN,NaN,NaN,NaN
