record_id,run_id,case,case_sha256,route,solver,status,model_pass,risk_pass,cost_pass,evidence_pass,cost_complete,full_stopping,restricted_stopping,upper_bound,full_lower_bound,full_relative_gap,final_bound_scope,final_scoped_lower,scoped_relative_gap,iterations,critical_count,cuts,cost_subproblems,diagnostic_subproblems,elapsed_sec,budget_sec,budget_overrun_sec,reference_run_id,reference_cost,reference_cost_complete,candidate_comparable,candidate_cost_difference,candidate_relative_difference,same_domain_certified_pair,A2_pass,reference_infeasible,infeasibility_scope
hard_r100--critical--highs,r5-benders-4e462cac-5ae0-42e5-bbdf-e039a04adc87,hard_r100.toml,d54a57fd87353b7bcaf60645027508000db6cf85924965067192940fdd522456,critical,highs,full_domain_gap,true,true,true,true,true,true,false,5.500000000017252,5.4999999999999645,3.1431826838161837e-12,full_risk_domain,5.4999999999999645,3.1431826838161837e-12,3,1,4,9,3,1.9019999504089355,600.0,0.0,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,5.500000000017261,true,true,-8.881784197001252e-15,1.6148698539951596e-15,true,true,false,not_proved
hard_r100--paper_critical--highs,r5-benders-3cfee71d-e2c6-4381-bd83-8544c6e51521,hard_r100.toml,d54a57fd87353b7bcaf60645027508000db6cf85924965067192940fdd522456,paper_critical,highs,restricted_domain_gap,true,true,true,true,false,false,true,5.500000000017252,-Inf,Inf,restricted_comfort_domain,5.4999999999999645,3.1431826838161837e-12,3,1,4,9,3,1.7590000629425049,600.0,0.0,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,5.500000000017261,true,true,-8.881784197001252e-15,1.6148698539951596e-15,false,false,false,not_proved
hard_zero--cuts--highs,r5-benders-d6638409-7f4c-4d55-a9ee-a2625e4e8fc5,hard_zero.toml,1b4689d803cbf0f9db573c8d56b9b7490fb7b62c7af5080d42033e72671f4f2b,cuts,highs,full_domain_gap,true,true,true,true,true,true,false,2.085000000029215,2.0849999999999396,1.4040886758429557e-11,full_risk_domain,2.0849999999999396,1.4040886758429557e-11,3,0,7,9,3,1.9719998836517334,600.0,0.0,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,2.0850000000292352,true,true,-2.042810365310288e-14,9.797651632046256e-15,true,true,false,not_proved
hard_zero--critical--highs,r5-benders-4910316b-90bd-485a-9f94-ee087a0a5054,hard_zero.toml,1b4689d803cbf0f9db573c8d56b9b7490fb7b62c7af5080d42033e72671f4f2b,critical,highs,full_domain_gap,true,true,true,true,true,true,false,2.0850000000292264,2.084999999999959,1.4037052894747373e-11,full_risk_domain,2.084999999999959,1.4037052894747373e-11,3,1,4,9,3,2.0429999828338623,600.0,0.0,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,2.0850000000292352,true,true,-8.881784197001252e-15,4.259848535672285e-15,true,true,false,not_proved
hard_zero--paper_critical--highs,r5-benders-7844be51-222a-4337-b1d1-75af3a221a45,hard_zero.toml,1b4689d803cbf0f9db573c8d56b9b7490fb7b62c7af5080d42033e72671f4f2b,paper_critical,highs,restricted_domain_gap,true,true,true,true,false,false,true,2.0850000000292264,-Inf,Inf,restricted_comfort_domain,2.084999999999959,1.4037052894747373e-11,3,1,4,9,3,1.7619998455047607,600.0,0.0,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,2.0850000000292352,true,true,-8.881784197001252e-15,4.259848535672285e-15,false,false,false,not_proved
physical_infeasible--cuts--highs,r5-benders-e96ae05a-6f01-4eb9-9dd8-5ace0e248da8,physical_infeasible.toml,5488be7813db2ff0b32a6e3029dc0e33c590c815d3970022f2aa21422caf7ca3,cuts,highs,full_domain_infeasible,false,false,false,true,false,false,false,Inf,-88.0000000106,Inf,full_risk_domain,-88.0000000106,Inf,3,0,6,6,6,1.562000036239624,600.0,0.0,r5-risk-3500fd14-0aff-4f88-a8a1-556a6be0ce49,Inf,false,false,NaN,NaN,false,false,true,solver_reported_full_domain
physical_infeasible--critical--highs,r5-benders-431e4d47-4ebc-4c4a-a735-b7f22ed34270,physical_infeasible.toml,5488be7813db2ff0b32a6e3029dc0e33c590c815d3970022f2aa21422caf7ca3,critical,highs,full_domain_infeasible,false,false,false,true,false,false,false,Inf,-88.0000000106,Inf,full_risk_domain,-88.0000000106,Inf,2,1,0,3,3,0.5769999027252197,600.0,0.0,r5-risk-3500fd14-0aff-4f88-a8a1-556a6be0ce49,Inf,false,false,NaN,NaN,false,false,true,solver_reported_full_domain
physical_infeasible--paper_critical--highs,r5-benders-f78205f4-50f4-4968-a6c7-9ee9e0fe4dff,physical_infeasible.toml,5488be7813db2ff0b32a6e3029dc0e33c590c815d3970022f2aa21422caf7ca3,paper_critical,highs,restricted_domain_infeasible,false,false,false,true,false,false,false,Inf,-Inf,Inf,restricted_comfort_domain,-Inf,Inf,2,1,0,3,3,0.5659999847412109,600.0,0.0,r5-risk-3500fd14-0aff-4f88-a8a1-556a6be0ce49,Inf,false,false,NaN,NaN,false,false,true,solver_reported_restricted_domain
quarter--cuts--highs,r5-benders-e63ca6a3-7e57-4e7c-864e-9c52be900aa1,quarter.toml,a9fa178ef996fa31b663ac51797e132c4942a8c231f02dcd62b1e67cb6d144c1,cuts,highs,full_domain_gap,true,true,true,true,true,true,false,0.5212500000012339,0.5212499999999849,1.2490009027033011e-12,full_risk_domain,0.5212499999999849,1.2490009027033011e-12,3,0,7,9,3,2.236999988555908,600.0,0.0,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,0.5212500000012394,true,true,-5.551115123125783e-15,5.551115123125783e-15,true,true,false,not_proved
quarter--critical--highs,r5-benders-60e64afc-cfa8-440c-83f1-09e6b70a2114,quarter.toml,a9fa178ef996fa31b663ac51797e132c4942a8c231f02dcd62b1e67cb6d144c1,critical,highs,full_domain_gap,true,true,true,true,true,true,false,0.5212500000012372,0.5212499999999898,1.2474465904688259e-12,full_risk_domain,0.5212499999999898,1.2474465904688259e-12,3,1,4,9,3,1.7899999618530273,600.0,0.0,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,0.5212500000012394,true,true,-2.220446049250313e-15,2.220446049250313e-15,true,true,false,not_proved
