id,run_id,family,UA_W_K,model,mode,solver,primary_status,primary_pass,primary_complete,normal_cost_USD,solver_objective,objective_kind,evaluation_status,evaluation_pass,risk_complete,worst_upper_MWh,worst_lower_MWh,elapsed_sec,wall_budget_pass
shift_four_ua0_energy_economic_gurobi,r8-energy-222048e1-ecf5-44b9-ae22-ecc37f2d989e,shift_four,0.0,energy,economic,Gurobi,candidate,true,true,206.94736842105263,206.94736842105263,expected_normal_cost_USD,candidate,true,true,0.2,0.20000000000000007,0.10700011253356934,true
shift_four_ua0_energy_threshold_highs,r8-energy-3feacb72-1262-4017-a02e-77f81dec4020,shift_four,0.0,energy,threshold,HiGHS,infeasible_certified,false,false,,,expected_normal_cost_USD,not_run,false,false,,,0.04800009727478027,true
shift_four_ua0_energy_threshold_gurobi,r8-energy-e86e6cea-681b-4bf7-8583-0fb716f042e6,shift_four,0.0,energy,threshold,Gurobi,infeasible_certified,false,false,,,expected_normal_cost_USD,not_run,false,false,,,0.040000200271606445,true
shift_four_ua0_energy_penalty_highs,r8-energy-01d58b04-e6b5-483d-b401-50012570f34e,shift_four,0.0,energy,penalty,HiGHS,candidate,true,true,206.94736842105263,306.9473684210527,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.20000000000000823,0.20000000000000007,0.18899989128112793,true
shift_four_ua0_energy_penalty_gurobi,r8-energy-be199839-0781-4864-b5b8-f61851ece50f,shift_four,0.0,energy,penalty,Gurobi,candidate,true,true,206.94736842105263,306.94736842105266,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.2,0.20000000000000007,0.14899992942810059,true
shift_four_ua10_detailed_economic_highs,r8-884fce54-6774-4f87-a165-714fe0544f1f,shift_four,10.0,detailed,economic,HiGHS,candidate,true,true,207.2134446645153,207.21344466451527,expected_normal_cost_USD,candidate,true,true,5.135551870826935e-16,0.0,0.2950000762939453,true
shift_four_ua10_detailed_economic_gurobi,r8-97b2c440-9f45-4366-aa84-9a50054ebcd1,shift_four,10.0,detailed,economic,Gurobi,candidate,true,true,207.21344466451495,207.21344466451495,expected_normal_cost_USD,candidate,true,true,0.0,0.0,0.2569999694824219,true
shift_four_ua10_detailed_threshold_highs,r8-445e3a56-98c4-4771-bd28-e51e1695095e,shift_four,10.0,detailed,threshold,HiGHS,candidate,true,true,207.2134446645153,207.21344466451527,expected_normal_cost_USD,candidate,true,true,5.135551870826935e-16,0.0,0.2369999885559082,true
shift_four_ua10_detailed_threshold_gurobi,r8-167d1891-abc6-4bee-83f0-e8669a46f64d,shift_four,10.0,detailed,threshold,Gurobi,candidate,true,true,207.2134446645151,207.21344466451507,expected_normal_cost_USD,candidate,true,true,0.0,0.0,0.19099998474121094,true
shift_four_ua10_detailed_penalty_highs,r8-6070d5e9-5f5c-4806-b81b-f4366b9fd7b8,shift_four,10.0,detailed,penalty,HiGHS,candidate,true,true,207.2134446645159,207.2134446645159,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,5.135551870826935e-16,0.0,0.24100017547607422,true
shift_four_ua10_detailed_penalty_gurobi,r8-619d3e39-3057-4fca-9971-d1efc4ec2b81,shift_four,10.0,detailed,penalty,Gurobi,candidate,true,true,207.2134446645151,207.21344466451507,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.0,0.0,0.1919999122619629,true
shift_four_ua10_energy_economic_highs,r8-energy-5ff1bd70-3bc4-4002-b0a4-988eed481a35,shift_four,10.0,energy,economic,HiGHS,candidate,true,true,207.21773233082718,207.21773233082715,expected_normal_cost_USD,candidate,true,true,0.20125904761904767,0.20125904761904764,0.09600019454956055,true
shift_four_ua10_energy_economic_gurobi,r8-energy-82320086-4f2c-47d5-bd34-d26afa47833e,shift_four,10.0,energy,economic,Gurobi,candidate,true,true,207.21773233082712,207.21773233082712,expected_normal_cost_USD,candidate,true,true,0.20125904761904767,0.20125904761904767,0.09500002861022949,true
shift_four_ua10_energy_threshold_highs,r8-energy-df2e3b46-3513-43d8-a0c6-2b64c8bd554d,shift_four,10.0,energy,threshold,HiGHS,infeasible_certified,false,false,,,expected_normal_cost_USD,not_run,false,false,,,0.04799985885620117,true
shift_four_ua10_energy_threshold_gurobi,r8-energy-0b0423e3-4706-4f04-a35f-07127c1bf5c5,shift_four,10.0,energy,threshold,Gurobi,infeasible_certified,false,false,,,expected_normal_cost_USD,not_run,false,false,,,0.042999982833862305,true
shift_four_ua10_energy_penalty_highs,r8-energy-76f10cd8-c5ba-4306-8d7c-0b593f8f2e3b,shift_four,10.0,energy,penalty,HiGHS,candidate,true,true,207.21773233082718,307.84725614035096,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.20125904761904767,0.20125904761904764,0.4030001163482666,true
shift_four_ua10_energy_penalty_gurobi,r8-energy-ed9d4dda-3200-4b17-97f6-74712990e69e,shift_four,10.0,energy,penalty,Gurobi,candidate,true,true,207.21773233082712,307.8472561403507,normal_cost_plus_event_unserved_penalty_USD,candidate,true,true,0.20125904761904767,0.20125904761904767,0.18000006675720215,true
