run_id,stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-9,model,2,1,3.1828706337222457e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-10,model,2,1,3.3133218391157016e-15,Mvar,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-13,model,2,1,0.0,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-9,model,2,2,3.0482560919864454e-14,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-10,model,2,2,1.97758476261356e-16,Mvar,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-13,model,2,2,0.0,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-9,model,2,3,2.1804780203638074e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-10,model,2,3,7.389922007661198e-16,Mvar,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-13,model,2,3,0.0,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-9,model,2,4,2.5625335187129394e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-10,model,2,4,3.622102617839573e-15,Mvar,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-13,model,2,4,0.0,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-11,model,1,1,6.750576245117732e-16,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-12,model,1,1,9.471617934408982e-12,pu,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,pre-SOC-electric,physics,1,1,9.471617934408982e-12,pu,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-14,model,1,1,0.0,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-11,model,1,2,3.196808222056136e-17,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-12,model,1,2,5.865203722005274e-11,pu,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,pre-SOC-electric,physics,1,2,5.865203722005274e-11,pu,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-14,model,1,2,0.0,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-11,model,1,3,1.501657066583866e-17,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-12,model,1,3,0.0,pu,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,pre-SOC-electric,physics,1,3,2.0375409606060435e-10,pu,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-14,model,1,3,0.0,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-11,model,1,4,4.135832123755806e-16,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-12,model,1,4,0.0,pu,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,pre-SOC-electric,physics,1,4,2.8027771943606172e-11,pu,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-14,model,1,4,0.0,pu2,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,R2-grid-bounds,model,1,1,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,R2-grid-bounds,model,1,2,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,R2-grid-bounds,model,1,3,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,R2-grid-bounds,model,1,4,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-21,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-43,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17,model,1,1,1.8263168755083825e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17-original,physics,1,1,1.8263168755083825e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-19:20,model,1,1,1.963151863293433e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-37,model,1,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,1,1,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,1,1,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24-order,model,1,1,0.0,normalized,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-21,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-43,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17,model,1,2,1.6708856520608606e-14,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17-original,physics,1,2,1.6708856520608606e-14,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-19:20,model,1,2,1.8485213360008856e-14,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-37,model,1,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,1,2,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,1,2,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24-order,model,1,2,0.0,normalized,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-21,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-43,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17,model,1,3,1.6323054019551364e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17-original,physics,1,3,1.6323054019551364e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-19:20,model,1,3,1.8807178037150152e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-37,model,1,3,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,3,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,3,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,1,3,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,3,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,3,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,1,3,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24-order,model,1,3,0.0,normalized,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-21,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-43,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17,model,1,4,1.645350522494482e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17-original,physics,1,4,1.645350522494482e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-19:20,model,1,4,2.080280392391387e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-37,model,1,4,0.0,K,0.0001,true
