run_id,pipe,t,mass_kg_s,heat_MW,positive_heat_near_zero_mass
open--fixed--socp,1,1,0.0,0.0,false
open--fixed--socp,1,2,1.1742838469065635,0.11463936906573295,false
open--fixed--socp,1,3,0.0,0.0,false
open--fixed--socp,1,4,0.0,0.0,false
open--fixed--socp,2,1,2.076813918271185,0.19308802627426364,false
open--fixed--socp,2,2,0.9220038800685321,0.0925082562633965,false
open--fixed--socp,2,3,1.163777263153542,0.10328323378576391,false
open--fixed--socp,2,4,2.0857569891031007,0.19308822115043198,false
open--fixed--socp,3,1,0.0,0.0,false
open--fixed--socp,3,2,0.0,0.0,false
open--fixed--socp,3,3,0.0,0.0,false
open--fixed--socp,3,4,0.0,0.0,false
open--fixed--socp,4,1,0.0,0.0018,true
open--fixed--socp,4,2,0.0,0.0,false
open--fixed--socp,4,3,0.0,0.0018,true
open--fixed--socp,4,4,0.0,0.0018,true
open--fixed--socp,5,1,0.0,0.0,false
open--fixed--socp,5,2,0.0,0.0,false
open--fixed--socp,5,3,0.0,0.0,false
open--fixed--socp,5,4,0.0,0.0,false
open--fixed--socp,6,1,0.0,0.0,false
open--fixed--socp,6,2,0.0,0.0,false
open--fixed--socp,6,3,0.0,0.0,false
open--fixed--socp,6,4,0.0,0.0,false
open--fixed--exact,1,1,0.0,0.0,false
open--fixed--exact,1,2,1.1100122388249347,0.11463936835004475,false
open--fixed--exact,1,3,0.0,0.0,false
open--fixed--exact,1,4,0.0,0.0,false
open--fixed--exact,2,1,1.9986845211855007,0.19308822669781475,false
open--fixed--exact,2,2,0.8702819891698111,0.09250839496090825,false
open--fixed--exact,2,3,1.1845559679230404,0.10327934958233395,false
open--fixed--exact,2,4,1.9986851836287887,0.19308833957680496,false
open--fixed--exact,3,1,0.0,0.0,false
open--fixed--exact,3,2,0.0,0.0,false
open--fixed--exact,3,3,0.0,0.0,false
open--fixed--exact,3,4,0.0,0.0,false
open--fixed--exact,4,1,0.0,0.0018,true
open--fixed--exact,4,2,0.0,0.0,false
open--fixed--exact,4,3,0.0,0.0018,true
open--fixed--exact,4,4,0.0,0.0018,true
open--fixed--exact,5,1,0.0,0.0,false
open--fixed--exact,5,2,0.0,0.0,false
open--fixed--exact,5,3,0.0,0.0,false
open--fixed--exact,5,4,0.0,0.0,false
open--fixed--exact,6,1,0.0,0.0,false
open--fixed--exact,6,2,0.0,0.0,false
open--fixed--exact,6,3,0.0,0.0,false
open--fixed--exact,6,4,0.0,0.0,false
open--electric--socp,1,1,0.0,0.0,false
open--electric--socp,1,2,1.212126324195505,0.11480043182453908,false
open--electric--socp,1,3,0.0,0.0,false
open--electric--socp,1,4,0.0,0.0,false
open--electric--socp,2,1,1.0024259750738171,0.1931364808376234,false
open--electric--socp,2,2,0.9425145817078237,0.09251843135517801,false
open--electric--socp,2,3,1.2100399164366247,0.10280364394127182,false
open--electric--socp,2,4,1.002385282874572,0.19313255540998986,false
open--electric--socp,3,1,0.0,0.0,false
