run_id,case,policy,electric,actor,t,CHP_MW,PV_MW,HP_MW,EB_MW,charge_MW,discharge_MW,P_D_MW,H_D_MW
open--joint--exact,open,joint,exact,DSO,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--joint--exact,open,joint,exact,DSO,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--joint--exact,open,joint,exact,A,1,0.0,0.0,0.1,0.0,0.010806126642422777,0.0,0.21194640438766504,0.10506706139798078
open--joint--exact,open,joint,exact,A,2,0.0,0.2700000000000001,0.03574573017956161,0.0,0.0,0.1,0.26215338521929643,0.12771869537692
open--joint--exact,open,joint,exact,A,3,0.0,0.45,0.07043229011056365,0.0,0.0,2.873790070711158e-9,0.21007091862797825,0.10669086665332243
open--joint--exact,open,joint,exact,A,4,0.0,0.09000000000000001,0.1,0.0,0.09999720058702,0.0,0.2119465366517796,0.10506706142632094
open--joint--exact,open,joint,exact,B,1,0.019778435664227087,0.0,0.0,0.0,0.0,0.0,0.2669159837728882,0.21506706138568965
open--joint--exact,open,joint,exact,B,2,0.15,0.0,0.0,0.0,0.0,0.0,0.3170438305026081,0.2707186951321315
open--joint--exact,open,joint,exact,B,3,0.09640405246677751,0.0,0.0,0.0,0.0,0.0,0.26496664813097437,0.21669086660824027
open--joint--exact,open,joint,exact,B,4,0.019778435660970067,0.0,0.0,0.0,0.0,0.0,0.2669159837731112,0.21506706141405438
import--fixed--socp,import,fixed,socp,DSO,1,0.029388656445896253,0.0,0.0,2.3227914399034926e-7,0.0,0.0,0.0,0.0
import--fixed--socp,import,fixed,socp,DSO,2,0.07938887791129479,0.0,0.0,1.95451807238128e-9,0.0,0.0,0.0,0.0
import--fixed--socp,import,fixed,socp,DSO,3,0.030777817040686876,0.0,0.0,6.521542710750643e-9,0.0,0.0,0.0,0.0
import--fixed--socp,import,fixed,socp,DSO,4,0.029388654724077052,0.0,0.0,2.2832691380502414e-7,0.0,0.0,0.0,0.0
import--fixed--socp,import,fixed,socp,A,1,0.0,0.0,0.03577179213126416,0.0,0.0,0.05019998259185796,0.21194550063078227,0.10731537991544773
import--fixed--socp,import,fixed,socp,A,2,0.0,0.26999999794103835,0.04310531352934044,0.0,0.0,0.04004736408729522,0.26694205085971195,0.12931596704950105
import--fixed--socp,import,fixed,socp,A,3,0.0,0.35527488005226154,0.03652839075639844,0.0,0.0999999963890005,0.0,0.21874649463142212,0.10958517548496481
import--fixed--socp,import,fixed,socp,A,4,0.0,0.08999999794861385,0.035772889084042456,0.0,0.0,2.6504590784971646e-6,0.2119549449646119,0.10731867081208492
import--fixed--socp,import,fixed,socp,B,1,0.14999999463461883,0.0,0.0,1.0296795387675953e-7,0.0,0.0,0.26692469356256765,0.21166669525022405
import--fixed--socp,import,fixed,socp,B,2,0.1499999935658553,0.0,0.0,1.6269806452407873e-9,0.0,0.0,0.31589445212099776,0.2716666217100732
import--fixed--socp,import,fixed,socp,B,3,0.1499999928747041,0.0,0.0,4.9080504735293845e-9,0.0,0.0,0.264944709491873,0.21333337853617632
import--fixed--socp,import,fixed,socp,B,4,0.14999999504502207,0.0,0.0,1.1358065730761091e-7,0.0,0.0,0.26693398980275745,0.21166669996586082
import--fixed--exact,import,fixed,exact,DSO,1,0.029388888093387387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--fixed--exact,import,fixed,exact,DSO,2,0.07938888891668722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--fixed--exact,import,fixed,exact,DSO,3,0.030777777712497904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--fixed--exact,import,fixed,exact,DSO,4,0.02938888983036676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--fixed--exact,import,fixed,exact,A,1,0.0,0.0,0.03577211548893258,0.0,0.0,0.05020211401310918,0.2119459038627946,0.10731634646679773
import--fixed--exact,import,fixed,exact,A,2,0.0,0.27,0.04310544874381511,0.0,0.0,0.04004786438202987,0.2669424156615638,0.12931634646352155
import--fixed--exact,import,fixed,exact,A,3,0.0,0.35527386819974727,0.036527777098881414,0.0,0.1,0.0,0.21874609111682347,0.10958333129664423
import--fixed--exact,import,fixed,exact,A,4,0.0,0.0899999999448529,0.03577283692051036,0.0,0.0,2.1604860453439126e-8,0.21195240686509553,0.10731851076153105
import--fixed--exact,import,fixed,exact,B,1,0.15,0.0,0.0,0.0,0.0,0.0,0.2669250421521103,0.211666666611721
import--fixed--exact,import,fixed,exact,B,2,0.15,0.0,0.0,0.0,0.0,0.0,0.315895456919579,0.2716666664679493
import--fixed--exact,import,fixed,exact,B,3,0.15,0.0,0.0,0.0,0.0,0.0,0.26494744432167194,0.21333333325499748
import--fixed--exact,import,fixed,exact,B,4,0.14999999827647467,0.0,0.0,0.0,0.0,0.0,0.2669315778548984,0.21166666661133463
import--electric--socp,import,electric,socp,DSO,1,0.029388836454959027,0.0,0.0,4.202824539076536e-8,0.0,0.0,0.0,0.0
import--electric--socp,import,electric,socp,DSO,2,0.07938877627794165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--electric--socp,import,electric,socp,DSO,3,0.030777776730137204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--electric--socp,import,electric,socp,DSO,4,0.02938882760643552,0.0,0.0,4.284237875543335e-8,0.0,0.0,0.0,0.0
import--electric--socp,import,electric,socp,A,1,0.0,0.0,0.03577206342741945,0.0,0.0,0.05020193768233647,0.21194570022634365,0.1073161909790318
import--electric--socp,import,electric,socp,A,2,0.0,0.26999999967546295,0.043105393448913426,0.0,0.0,0.040047600223598025,0.266942207049436,0.12931618866804434
import--electric--socp,import,electric,socp,A,3,0.0,0.3552707498307117,0.03652505451381266,0.0,0.1,0.0,0.21874569637879046,0.1095751641597991
import--electric--socp,import,electric,socp,A,4,0.0,0.08999999966300744,0.035772803218840236,0.0,0.0,4.614268106364817e-7,0.21195242686982463,0.10731841022506972
import--electric--socp,import,electric,socp,B,1,0.14999999646220372,0.0,0.0,1.2857056128756881e-8,0.0,0.0,0.2669248458041109,0.21166665094467807
import--electric--socp,import,electric,socp,B,2,0.1499999961271998,0.0,0.0,0.0,0.0,0.0,0.3158961432019749,0.2716665193264277
import--electric--socp,import,electric,socp,B,3,0.14999999786628265,0.0,0.0,1.5742941227740566e-9,0.0,0.0,0.26494707830441994,0.21333333111305755
import--electric--socp,import,electric,socp,B,4,0.14999999732593092,0.0,0.0,1.717585664089213e-8,0.0,0.0,0.2669316934949611,0.21166664636595797
import--electric--exact,import,electric,exact,DSO,1,0.02938888809348298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--electric--exact,import,electric,exact,DSO,2,0.07938888877891638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--electric--exact,import,electric,exact,DSO,3,0.03077777771252863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--electric--exact,import,electric,exact,DSO,4,0.029388888061205303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--electric--exact,import,electric,exact,A,1,0.0,0.0,0.03577211548795531,0.0,0.0,0.05020211401422344,0.2119459038628015,0.1073163464638659
import--electric--exact,import,electric,exact,A,2,0.0,0.27,0.04310544879830974,0.0,0.0,0.04004786443606353,0.26694241566110255,0.1293163464615587
import--electric--exact,import,electric,exact,A,3,0.0,0.35527386820031803,0.03652777709990647,0.0,0.1,0.0,0.21874609111636928,0.10958333129971932
import--electric--exact,import,electric,exact,A,4,0.0,0.09000000000000001,0.03577283692050913,0.0,0.0,2.1549713040067142e-8,0.2119524068651008,0.10731851076152732
import--electric--exact,import,electric,exact,B,1,0.15,0.0,0.0,9.47005434140391e-10,0.0,0.0,0.26692504215211815,0.21166666661183475
import--electric--exact,import,electric,exact,B,2,0.15,0.0,0.0,0.0,0.0,0.0,0.3158954569141839,0.2716666664680701
import--electric--exact,import,electric,exact,B,3,0.15,0.0,0.0,0.0,0.0,0.0,0.264947444317298,0.21333333325503442
import--electric--exact,import,electric,exact,B,4,0.15,0.0,0.0,9.875876522819071e-10,0.0,0.0,0.26693157785490473,0.21166666661165473
import--heat--socp,import,heat,socp,DSO,1,0.02938886128691141,0.0,0.0,3.618930382441719e-8,0.0,0.0,0.0,0.0
import--heat--socp,import,heat,socp,DSO,2,0.07938883495064165,0.0,0.0,2.1858980776583474e-10,0.0,0.0,0.0,0.0
import--heat--socp,import,heat,socp,DSO,3,0.030777789654220466,0.0,0.0,1.1950474387744456e-9,0.0,0.0,0.0,0.0
import--heat--socp,import,heat,socp,DSO,4,0.029388869888253573,0.0,0.0,3.606545494310872e-8,0.0,0.0,0.0,0.0
import--heat--socp,import,heat,socp,A,1,0.0,0.0,0.035772082772528226,0.0,0.0,0.050201667361108135,0.21194587900455245,0.10731624925501435
import--heat--socp,import,heat,socp,A,2,0.0,0.26999999968982613,0.043105249873145714,0.0,0.0,0.04004761762274297,0.26694236795371495,0.1293157556072912
import--heat--socp,import,heat,socp,A,3,0.0,0.35527175847550335,0.03652498011668306,0.0,0.0999999992555124,0.0,0.21874677933026146,0.10957494101440564
import--heat--socp,import,heat,socp,A,4,0.0,0.08999999941705225,0.035772808123546704,0.0,0.0,7.143442495912222e-7,0.21195242603626516,0.1073184253219787
import--heat--socp,import,heat,socp,B,1,0.14999999688610685,0.0,0.0,2.073852705279309e-8,0.0,0.0,0.2669250312989181,0.21166668295166702
import--heat--socp,import,heat,socp,B,2,0.14999999921104748,0.0,0.0,3.514075445038937e-10,0.0,0.0,0.31589545107856426,0.2716665955476732
