run_id,case,policy,electric,edge,from,to,t,u_E,a_E,P_MW,u_H,a_H,direction,H_in_MW,heat_loss_MW
open--electric--socp,open,electric,socp,3,1,3,3,1.0,0.0,0.16919302843727016,-0.0,0.0,0.0,0.0,0.0
open--electric--socp,open,electric,socp,3,1,3,4,1.0,0.0,0.24843290906624726,-0.0,0.0,0.0,0.0,0.0
open--electric--exact,open,electric,exact,1,1,2,1,1.0,0.0,0.32382000991915855,1.0,0.0,-1.0,-0.0018,0.0018
open--electric--exact,open,electric,exact,1,1,2,2,1.0,0.0,-0.07202144059301817,1.0,0.0,1.0,0.11480019969679797,0.001799999999999996
open--electric--exact,open,electric,exact,1,1,2,3,1.0,-0.0,-0.16919262426400503,1.0,0.0,-1.0,-0.0018,0.0018
open--electric--exact,open,electric,exact,1,1,2,4,1.0,-0.0,0.3230059459904083,1.0,0.0,-1.0,-0.0018,0.0018
open--electric--exact,open,electric,exact,2,2,3,1,-0.0,1.0,0.0,1.0,0.0,1.0,0.19313293851185495,0.001799999999999996
open--electric--exact,open,electric,exact,2,2,3,2,-0.0,0.0,0.0,1.0,0.0,1.0,0.0925186950988687,0.001799999999999996
open--electric--exact,open,electric,exact,2,2,3,3,-0.0,-0.0,0.0,1.0,0.0,1.0,0.10280600363138735,0.001799999999999996
open--electric--exact,open,electric,exact,2,2,3,4,-0.0,-0.0,0.0,1.0,0.0,1.0,0.19313293851185556,0.001799999999999996
open--electric--exact,open,electric,exact,3,1,3,1,1.0,1.0,0.2484317066154087,-0.0,0.0,0.0,0.0,0.0
open--electric--exact,open,electric,exact,3,1,3,2,1.0,0.0,0.16768827396949146,-0.0,0.0,0.0,0.0,0.0
open--electric--exact,open,electric,exact,3,1,3,3,1.0,-0.0,0.16919262785565908,-0.0,0.0,0.0,0.0,0.0
open--electric--exact,open,electric,exact,3,1,3,4,1.0,-0.0,0.2484317066155257,-0.0,0.0,0.0,0.0,0.0
open--heat--socp,open,heat,socp,1,1,2,1,1.0,0.0,0.5740208065076013,1.0,0.0,-1.0,-0.0018,0.0018
open--heat--socp,open,heat,socp,1,1,2,2,1.0,0.0,0.09553300645365131,1.0,0.0,1.0,0.11463953555207693,0.001799999999999996
open--heat--socp,open,heat,socp,1,1,2,3,1.0,0.0,1.31390127889596e-6,1.0,0.0,-1.0,-0.0018,0.0018
open--heat--socp,open,heat,socp,1,1,2,4,1.0,0.0,0.5726843558632481,1.0,0.0,-1.0,-0.0018,0.0018
open--heat--socp,open,heat,socp,2,2,3,1,1.0,0.0,0.24766022586535555,1.0,0.0,1.0,0.19308861736951705,0.001799999999999996
open--heat--socp,open,heat,socp,2,2,3,2,1.0,0.0,0.16739459490362754,1.0,0.0,1.0,0.09250852004798649,0.001799999999999996
open--heat--socp,open,heat,socp,2,2,3,3,1.0,0.0,0.16930463822411343,1.0,0.0,1.0,0.1032807496110315,0.001799999999999996
open--heat--socp,open,heat,socp,2,2,3,4,1.0,0.0,0.2476594771073993,1.0,0.0,1.0,0.19308828833060296,0.001799999999999996
open--heat--socp,open,heat,socp,3,1,3,1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--heat--socp,open,heat,socp,3,1,3,2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--heat--socp,open,heat,socp,3,1,3,3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--heat--socp,open,heat,socp,3,1,3,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--heat--exact,open,heat,exact,1,1,2,1,1.0,0.0,0.5737600604475084,1.0,0.0,-1.0,-0.0018,0.0018
open--heat--exact,open,heat,exact,1,1,2,2,1.0,0.0,0.09553280705141319,1.0,0.0,1.0,0.11463936817645978,0.001799999999999996
open--heat--exact,open,heat,exact,1,1,2,3,1.0,0.0,5.739614150894992e-9,1.0,0.0,-1.0,-0.0018,0.0018
open--heat--exact,open,heat,exact,1,1,2,4,1.0,0.0,0.5729429488544721,1.0,0.0,-1.0,-0.0018,0.0018
open--heat--exact,open,heat,exact,2,2,3,1,1.0,0.0,0.24765913565395484,1.0,0.0,1.0,0.1930882267829115,0.001799999999999996
open--heat--exact,open,heat,exact,2,2,3,2,1.0,0.0,0.16739444756618982,1.0,0.0,1.0,0.09250839493454352,0.001799999999999996
open--heat--exact,open,heat,exact,2,2,3,3,1.0,0.0,0.16930377186719747,1.0,0.0,1.0,0.10327935225727713,0.001799999999999996
open--heat--exact,open,heat,exact,2,2,3,4,1.0,0.0,0.24765945034865616,1.0,0.0,1.0,0.19308833961940455,0.001799999999999996
open--heat--exact,open,heat,exact,3,1,3,1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--heat--exact,open,heat,exact,3,1,3,2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--heat--exact,open,heat,exact,3,1,3,3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--heat--exact,open,heat,exact,3,1,3,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open--joint--socp,open,joint,socp,1,1,2,1,1.0,0.0,0.32506843777285255,1.0,0.0,-1.0,-0.0018,0.0018
open--joint--socp,open,joint,socp,1,1,2,2,1.0,0.0,-0.07202095638477216,1.0,0.0,1.0,0.11480115158142314,0.001799999999999996
