record,run_id,iteration,status,normal_pass,robust_pass,cost_USD,lower_bound_USD,included,added,elapsed_sec
"healthy_diagnostic_extensive_highs_n4","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","1","candidate","true","true","192.02850000000018","192.02850000000018","2","0","0.05299997329711914"
"healthy_diagnostic_extensive_gurobi_n4","r7-linked-d21821e0-e33c-4e2d-90a7-ac3ed8db0212","1","candidate","true","true","192.0285000000003","192.02850000000046","2","0","0.046000003814697266"
"healthy_diagnostic_finite_fault_ccg_highs_n4","r7-linked-1ef71646-4318-4891-bfa1-035cddc2e948","1","candidate","true","false","192.00000000000017","192.00000000000017","0","1","0.03400015830993652"
"healthy_diagnostic_finite_fault_ccg_highs_n4","r7-linked-1ef71646-4318-4891-bfa1-035cddc2e948","2","candidate","true","false","192.02850000000012","192.02850000000015","1","1","0.053999900817871094"
"healthy_diagnostic_finite_fault_ccg_highs_n4","r7-linked-1ef71646-4318-4891-bfa1-035cddc2e948","3","candidate","true","true","192.02850000000018","192.02850000000018","2","0","0.042999982833862305"
"healthy_diagnostic_finite_fault_ccg_gurobi_n4","r7-linked-0a2eaa45-81f0-499e-b9af-f71aba23ee9d","1","candidate","true","false","192.00000000000006","192.00000000000006","0","1","0.018000125885009766"
"healthy_diagnostic_finite_fault_ccg_gurobi_n4","r7-linked-0a2eaa45-81f0-499e-b9af-f71aba23ee9d","2","candidate","true","true","192.0285000000001","192.02850000000035","1","0","0.03600001335144043"
"reserve_heat_limit_extensive_highs_n1","r7-linked-dd5fa170-9213-410e-a3ca-484396856250","1","candidate","true","true","193.27500000000015","193.2750000000002","4","0","0.06399989128112793"
"reserve_heat_limit_finite_fault_ccg_highs_n1","r7-linked-473a183a-9532-42e9-84b0-a06fa470a343","1","candidate","true","false","192.00000000000017","192.00000000000017","0","2","0.03500008583068848"
"reserve_heat_limit_finite_fault_ccg_highs_n1","r7-linked-473a183a-9532-42e9-84b0-a06fa470a343","2","candidate","true","true","193.27500000000006","193.27500000000006","2","0","0.03699994087219238"
"reserve_heat_limit_extensive_highs_n16","r7-linked-59e4816e-15dd-4edc-8c36-6bf3bce3025e","1","candidate","true","true","193.27500000000015","193.2750000000002","4","0","0.13400006294250488"
"reserve_heat_limit_finite_fault_ccg_highs_n16","r7-linked-07c66c8c-61b7-4d0f-bec2-7045a75922d0","1","candidate","true","false","192.00000000000017","192.00000000000017","0","2","0.03299999237060547"
"reserve_heat_limit_finite_fault_ccg_highs_n16","r7-linked-07c66c8c-61b7-4d0f-bec2-7045a75922d0","2","candidate","true","true","193.27500000000006","193.27500000000006","2","0","0.05900001525878906"
"healthy_diagnostic_extensive_highs_n1","r7-linked-13e4e706-9b6c-4a9a-9bc6-5974b0bffa16","1","candidate","true","true","192.02850000000018","192.02850000000018","2","0","0.0409998893737793"
"healthy_diagnostic_finite_fault_ccg_highs_n1","r7-linked-d6ef8cee-dded-4560-ae55-f60d900ab9a4","1","candidate","true","false","192.00000000000017","192.00000000000017","0","1","0.032000064849853516"
"healthy_diagnostic_finite_fault_ccg_highs_n1","r7-linked-d6ef8cee-dded-4560-ae55-f60d900ab9a4","2","candidate","true","false","192.02850000000012","192.02850000000015","1","1","0.04499983787536621"
"healthy_diagnostic_finite_fault_ccg_highs_n1","r7-linked-d6ef8cee-dded-4560-ae55-f60d900ab9a4","3","candidate","true","true","192.02850000000018","192.02850000000018","2","0","0.042999982833862305"
"healthy_diagnostic_extensive_highs_n16","r7-linked-f6b99a87-8173-4caf-99e4-e58009aa1cf6","1","candidate","true","true","192.02850000000018","192.02850000000018","2","0","0.0970001220703125"
"healthy_diagnostic_finite_fault_ccg_highs_n16","r7-linked-4e5a5231-1310-41dc-b354-6c0ff5ea895d","1","candidate","true","false","192.00000000000017","192.00000000000017","0","1","0.029000043869018555"
"healthy_diagnostic_finite_fault_ccg_highs_n16","r7-linked-4e5a5231-1310-41dc-b354-6c0ff5ea895d","2","candidate","true","false","192.02850000000012","192.02850000000015","1","1","0.0820000171661377"
"healthy_diagnostic_finite_fault_ccg_highs_n16","r7-linked-4e5a5231-1310-41dc-b354-6c0ff5ea895d","3","candidate","true","true","192.02850000000018","192.02850000000018","2","0","0.15199995040893555"
