record,run_id,iteration,status,normal_pass,robust_pass,cost_USD,lower_bound_USD,included,added,elapsed_sec
"original_hand_extensive_highs_n4","r7-linked-abfbb0f0-bc40-4b18-a8bd-2ff07f648cac","1","infeasible_certified","false","false","","0.0","2","0","15.11900019645691"
"original_hand_extensive_gurobi_n4","r7-linked-3c6d2709-3422-4f19-8667-63c37f90087b","1","infeasible_certified","false","false","","","2","0","14.785000085830688"
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","1","candidate","true","false","118.40000000000038","118.40000000000038","0","1","1.2769999504089355"
"original_hand_finite_fault_ccg_highs_n4","r7-linked-dad3ba9a-79b2-44f2-898c-7188bfa75da4","2","infeasible_certified","false","false","","0.0","1","0","0.046000003814697266"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","1","candidate","true","false","118.40000000000049","118.40000000000049","0","1","1.0440001487731934"
"original_hand_finite_fault_ccg_gurobi_n4","r7-linked-532bb274-aca2-4332-b555-2a9a0ac237ed","2","infeasible_certified","false","false","","","1","0","0.05500006675720215"
"reserve_zero_extensive_highs_n4","r7-linked-6aa6aba6-fa15-4fb3-ae0a-f04378ae4723","1","infeasible_certified","false","false","","0.0","4","0","0.06999993324279785"
"reserve_zero_extensive_gurobi_n4","r7-linked-c8fc2388-0e64-4ac8-9b73-c812e95ef1dd","1","infeasible_certified","false","false","","","4","0","0.0709998607635498"
"reserve_zero_finite_fault_ccg_highs_n4","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","1","candidate","true","false","192.00000000000017","192.00000000000017","0","3","0.026000022888183594"
"reserve_zero_finite_fault_ccg_highs_n4","r7-linked-1ded8fe0-6a4e-4ee1-9aa2-49127039601a","2","infeasible_certified","false","false","","0.0","3","0","0.04699993133544922"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","1","candidate","true","false","192.00000000000006","192.00000000000006","0","3","0.020999908447265625"
"reserve_zero_finite_fault_ccg_gurobi_n4","r7-linked-f6a38dc1-25cf-4291-b458-9f39ffda7d89","2","infeasible_certified","false","false","","","3","0","0.06699991226196289"
"reserve_heat_limit_extensive_highs_n4","r7-linked-d070247a-6998-498d-9bc9-ba0d4350b59f","1","candidate","true","true","193.27500000000015","193.2750000000002","4","0","0.40599989891052246"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","candidate","true","true","193.2750000000003","193.27500000000066","4","0","0.41100001335144043"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","candidate","true","false","192.00000000000017","192.00000000000017","0","2","0.042999982833862305"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","candidate","true","true","193.27500000000006","193.27500000000006","2","0","0.03800010681152344"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","candidate","true","false","192.00000000000006","192.00000000000006","0","2","0.026999950408935547"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","candidate","true","true","193.27500000000006","193.27500000000003","2","0","0.039999961853027344"
