name,status,objective,bound,gap,model_pass,physics_pass,model_max_ratio,physics_max_ratio
single-fixed-open,solver_optimal,80.18286337620681,80.18286312845882,3.0897872759773977e-9,true,false,1.1149868065866523e-5,100681.14476099098
single-fixed-gurobi,solver_optimal,80.18286516041843,80.18285835670929,8.485240739846287e-8,true,false,1.5025480859520712e-6,403369.75760605943
single-wmm,solver_optimal,76.84614049285459,76.84607740429385,8.209724044932665e-7,true,false,9.053451321960893e-6,387762.8076520942
single-schpd,solver_optimal,72.49939237495148,72.21918245297563,0.003864996833720576,true,false,3.513670835767849e-7,38521.1122476235
two-wmm,solver_optimal,177.37624799798556,177.3762169314059,1.751450941292821e-7,true,false,0.0015333705505327089,225701.34197555084
two-schpd,solver_optimal,167.63870555812258,167.63854624174903,9.503555460209191e-7,true,false,0.00010235398690841449,242088.42769396983
two-fixed-enumeration,solver_optimal,176.04475883018645,176.0447585368951,1.6660044426554849e-9,true,false,3.24510094721712e-6,119212.69970588756
two-fixed-mip,solver_optimal,176.044760065273,176.04475883138844,7.0089253125211846e-9,true,false,0.0007734979819576784,230135.48551127253
ablation-heat-envelope,solver_optimal,65.0083813408487,65.00835302537318,4.355665367148284e-7,true,false,1.293734008805851e-5,387462.63994565624
ablation-reference-loss,solver_optimal,76.84444459870737,76.84438916562199,7.213675063732743e-7,true,false,7.827187971839086e-6,387737.11540605396
ablation-temperature,solver_optimal,77.40484828367063,77.40480187387104,5.995722570812384e-7,true,false,7.826355304570617e-6,387731.58549742925
ablation-mixing,solver_optimal,163.59681185807983,163.59674632900152,4.005522941960921e-7,true,false,9.7117883179898e-5,225080.054641968
literal-wmm,blocked,NaN,NaN,NaN,false,false,NaN,NaN
literal-schpd,blocked,NaN,NaN,NaN,false,false,NaN,NaN
