quantity,node,t,reference,candidate,difference,unit
tau_S_mix,1,1,343.0000000121368,347.49368926265964,4.493689250522834,K
tau_S_mix,1,2,362.9999961486247,358.21018606565514,-4.789810082969552,K
tau_S_mix,1,3,362.99999998700457,353.6365527205469,-9.363447266457683,K
tau_S_mix,1,4,362.99999948459237,356.5220217665877,-6.477977718004638,K
tau_S_mix,2,1,347.35013068077524,349.36796790878844,2.0178372280132066,K
tau_S_mix,2,2,352.2021458418748,353.0393253401335,0.8371794982586493,K
tau_S_mix,2,3,362.32890415342945,355.2042313112552,-7.1246728421742205,K
tau_S_mix,2,4,362.25057781159074,354.72033930895486,-7.530238502635882,K
tau_R_mix,1,1,312.8325503229018,312.84263867367275,0.010088350770956822,K
tau_R_mix,1,2,312.8300807862636,312.85268588735954,0.022605101095962254,K
tau_R_mix,1,3,312.8082589945699,312.84842238513323,0.040163390563350276,K
tau_R_mix,1,4,312.7858794286266,312.84553534948844,0.059655920861871437,K
tau_R_mix,2,1,313.0,313.0,0.0,K
tau_R_mix,2,2,313.0,313.0,0.0,K
tau_R_mix,2,3,313.0,313.0,0.0,K
tau_R_mix,2,4,313.0,313.0,0.0,K
H_port,1,1,0.13173508699103212,0.1919288853078138,0.06019379831678168,MW
H_port,1,2,0.20476395578844422,0.25500300030326495,0.050239044514820724,MW
H_port,1,3,0.17297355607525003,0.2250030003243277,0.05202944424907768,MW
H_port,1,4,0.16313025280007415,0.24088248286523786,0.07775223006516371,MW
H_port,2,1,0.15,0.15,0.0,MW
H_port,2,2,0.16,0.16,0.0,MW
H_port,2,3,0.17,0.17,0.0,MW
H_port,2,4,0.16,0.16,0.0,MW
