quantity,node,t,reference,candidate,difference,unit
tau_S_mix,1,1,343.0000000121368,343.0000000149558,2.818978828145191e-9,K
tau_S_mix,1,2,362.9999961486247,362.9999999341255,3.785500837238942e-6,K
tau_S_mix,1,3,362.99999998700457,362.9999999848417,-2.162892087653745e-9,K
tau_S_mix,1,4,362.99999948459237,362.99999976876256,2.841701984834799e-7,K
tau_S_mix,2,1,347.35013068077524,346.3533326116169,-0.9967980691583307,K
tau_S_mix,2,2,352.2021458418748,354.64923056926915,2.4470847273943264,K
tau_S_mix,2,3,362.32890415342945,360.56812961652804,-1.7607745369014083,K
tau_S_mix,2,4,362.25057781159074,361.83221665899333,-0.4183611525974129,K
tau_R_mix,1,1,312.8325503229018,312.8384219191289,0.005871596227109421,K
tau_R_mix,1,2,312.8300807862636,312.8187926489456,-0.011288137317990277,K
tau_R_mix,1,3,312.8082589945699,312.80389859099665,-0.004360403573230087,K
tau_R_mix,1,4,312.7858794286266,312.7868797195451,0.001000290918511837,K
tau_R_mix,2,1,313.0,313.0,0.0,K
tau_R_mix,2,2,313.0,313.0,0.0,K
tau_R_mix,2,3,313.0,313.0,0.0,K
tau_R_mix,2,4,313.0,313.0,0.0,K
H_port,1,1,0.13173508699103212,0.13564571693799038,0.003910629946958261,MW
H_port,1,2,0.20476395578844422,0.1927765064537127,-0.011987449334731531,MW
H_port,1,3,0.17297355607525003,0.17939190179949013,0.006418345724240104,MW
H_port,1,4,0.16313025280007415,0.16452456508333263,0.0013943122832584809,MW
H_port,2,1,0.15,0.15,0.0,MW
H_port,2,2,0.16,0.16,0.0,MW
H_port,2,3,0.17,0.17,0.0,MW
H_port,2,4,0.16,0.16,0.0,MW
