record_id,run_id,phase,iteration,scenario,group,count,failures,worst_id,residual,tolerance,normalized,pass
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,down,stationarity,108,0,P_DH/1/2,6.217248937900877e-18,1.0e-6,6.2172489379008774e-12,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,none,complementarity,306,0,R5-D-building/building/3,2.288358865070323e-17,1.0e-6,2.288358865070323e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,none,gap,1,0,primal-dual,2.5489917870858473e-15,0.0001,2.548991787085847e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,none,objective,1,0,objective,1.6993278580572315e-16,1.0e-6,1.6993278580572316e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,none,primal,306,0,5-25-26-S/h12/2,1.0731747958492849e-16,1.0e-8,1.0731747958492848e-8,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,none,sign,306,0,5-10-down/CHP/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,none,stationarity,108,0,τ_R/2/3,2.9405644585978046e-17,1.0e-6,2.9405644585978046e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,up,complementarity,306,0,5-25-26-S/h12/2,5.47634395559711e-17,1.0e-6,5.4763439555971104e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,up,gap,1,0,primal-dual,3.037913308954481e-15,0.0001,3.037913308954481e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,up,objective,1,0,objective,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,up,primal,306,0,5-25-26-S/h12/2,4.616854620266572e-16,1.0e-8,4.616854620266572e-8,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,up,sign,306,0,5-10-down/CHP/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_KKT,1,up,stationarity,108,0,τ_R/2/3,2.9405644585978046e-17,1.0e-6,2.9405644585978046e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,down,auxiliary,4,0,5-3-exact,0.0,2.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,down,comfort,13,0,R5-D-building,5.684341886080802e-14,0.0001,5.684341886080801e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,down,cost,1,0,5-5-cost,0.0,4.021383846759771e-5,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,down,delivery,9,0,5-3-epigraph,0.0,2.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,down,electric,92,0,5-16,8.261620554339544e-17,1.0e-6,8.261620554339544e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,down,heat,76,0,5-21,5.684341886080802e-14,0.0001,5.684341886080801e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,none,auxiliary,4,0,5-3-exact,0.0,2.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,none,comfort,13,0,building-energy,9.159339953157541e-16,2.0e-6,4.5796699765787707e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,none,cost,1,0,5-5-cost,7.105427357601002e-15,4.117316350409468e-5,1.725742389674373e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,none,delivery,9,0,5-3-epigraph,0.0,2.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,none,electric,92,0,5-16,1.0551997643715172e-16,1.0e-6,1.0551997643715172e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,none,heat,76,0,5-21,5.684341886080802e-14,0.0001,5.684341886080801e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,up,auxiliary,4,0,5-3-exact,0.0,2.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,up,comfort,13,0,building-energy,1.366962099069724e-15,2.0e-6,6.83481049534862e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,up,cost,1,0,5-5-cost,0.0,5.081617598976859e-5,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,up,delivery,9,0,5-3-epigraph,0.0,2.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,up,electric,92,0,5-16,1.0551997643715172e-16,1.0e-6,1.0551997643715172e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,cost_physical,1,up,heat,76,0,5-25-26-S,2.8421709430404007e-13,0.0001,2.8421709430404007e-9,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,1,shared,binary,3,0,z/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,1,shared,cost_floor,3,0,floor/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,1,shared,first_stage,32,0,PCC-down/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,1,shared,objective,1,0,master/objective,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,1,shared,risk,1,0,risk/budget,0.0,1.0e-8,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,1,shared,transport,4,0,cost/rows,3.1074402304957486e-14,1.0e-6,3.107440230495749e-8,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,down,complementarity,848,0,5-25-26-S/h12/2,4.521801945284819e-16,1.0e-6,4.5218019452848195e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,down,gap,1,0,primal-dual,1.0812413581079224e-15,0.0001,1.0812413581079224e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,down,objective,1,0,objective,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,down,primal,848,0,5-25-26-S/h12/2,2.517312446821093e-16,1.0e-8,2.5173124468210928e-8,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,down,sign,848,0,5-10-down/CHP/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,down,stationarity,271,0,τ_R/2/2,3.063087977706047e-16,1.0e-6,3.063087977706047e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,none,complementarity,848,0,R5-D-building/building/3,3.0109985066714763e-16,1.0e-6,3.0109985066714766e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,none,gap,1,0,primal-dual,5.50524892099567e-16,0.0001,5.50524892099567e-12,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,none,objective,1,0,objective,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,none,primal,848,0,5-21/2/2,1.4099818641636638e-16,1.0e-8,1.4099818641636638e-8,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,none,sign,848,0,5-10-down/CHP/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,none,stationarity,271,0,elastic/τ_IN/1/3/upper/1,8.326672693015346e-17,1.0e-6,8.326672693015347e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,up,complementarity,848,0,5-21/2/2,6.287195729885823e-16,1.0e-6,6.287195729885824e-10,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,up,gap,1,0,primal-dual,1.551976880279239e-15,0.0001,1.5519768802792388e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,up,objective,1,0,objective,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,up,primal,848,0,5-21/2/2,3.52495466040916e-16,1.0e-8,3.52495466040916e-8,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,up,sign,848,0,5-10-down/CHP/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,2,up,stationarity,271,0,elastic/τ_IN/1/3/upper/1,8.326672693015346e-17,1.0e-6,8.326672693015347e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,2,shared,binary,3,0,z/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,2,shared,conditional_cut,3,0,cut/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,2,shared,cost_floor,3,0,floor/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,2,shared,first_stage,32,0,PCC-down/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,2,shared,objective,1,0,master/objective,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,2,shared,risk,1,0,risk/budget,0.0,1.0e-8,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,master,2,shared,transport,4,0,risk/rows,5.551115123125783e-17,1.0e-8,5.551115123125783e-9,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,down,complementarity,848,0,5-25-26-R/h12/1,6.282693663562991e-17,1.0e-6,6.282693663562991e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,down,gap,1,0,primal-dual,1.942890293094024e-16,0.0001,1.942890293094024e-12,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,down,objective,1,0,objective,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,down,primal,848,0,R5-D-delivery/PCC/4,1.9137406926132068e-16,1.0e-8,1.913740692613207e-8,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,down,sign,848,0,5-10-down/CHP/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,down,stationarity,271,0,elastic/R5-D-building/building/1/2,7.194765623808596e-17,1.0e-6,7.194765623808597e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,none,complementarity,848,0,5-25-26-S/h12/1,6.282693663562991e-17,1.0e-6,6.282693663562991e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,none,gap,1,0,primal-dual,1.3877787807814457e-16,0.0001,1.3877787807814457e-12,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,none,objective,1,0,objective,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,none,primal,848,0,R5-D-delivery/PCC/4,1.9137406926132068e-16,1.0e-8,1.913740692613207e-8,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,none,sign,848,0,5-10-down/CHP/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,none,stationarity,271,0,elastic/R5-D-building/building/1/1,7.116703067311561e-17,1.0e-6,7.116703067311562e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,up,complementarity,848,0,5-25-26-R/h12/1,3.1413468317814954e-17,1.0e-6,3.1413468317814957e-11,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,up,gap,1,0,primal-dual,5.551115123125783e-17,0.0001,5.551115123125783e-13,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,up,objective,1,0,objective,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,up,primal,848,0,R5-D-delivery/PCC/4,1.9137406926132068e-16,1.0e-8,1.913740692613207e-8,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,up,sign,848,0,5-10-down/CHP/1,0.0,1.0e-6,0.0,true
future_e030_r005--cuts--highs,r5-benders-522f7ba5-367c-4838-a75c-268341203e26,diagnostic_KKT,3,up,stationarity,271,0,τ_load_R/1/1,7.657719944265117e-17,1.0e-6,7.657719944265118e-11,true
