source_id,sample,P_MW,H_MW,ambient_raw
figshare-14813121-v3,1,8.946922800000001,3.888468206999999,-10.0
figshare-14813121-v3,2,8.940119011,4.245718847,-10.0
figshare-14813121-v3,3,8.907009263,4.200015184,-10.0
figshare-14813121-v3,4,8.727461468,2.6948107890000004,-10.0
figshare-14813121-v3,5,8.976634948,2.9659494170000005,-10.0
figshare-14813121-v3,6,9.022202607,3.0169006309999995,-10.0
figshare-14813121-v3,7,8.922226783000001,2.898855684,-10.0
figshare-14813121-v3,8,8.897551737999999,2.910932693000001,-10.0
figshare-14813121-v3,9,8.899170438,2.9538984360000002,-10.0
figshare-14813121-v3,10,8.950549579999999,3.044923858,-10.0
figshare-14813121-v3,11,8.841314093000001,3.0040783890000005,-10.0
figshare-14813121-v3,12,8.902682788999998,3.1233997699999994,-10.0
figshare-14813121-v3,13,9.029558859000002,3.231317843,-10.0
figshare-14813121-v3,14,9.062445616000003,3.4983702319999987,-10.0
figshare-14813121-v3,15,9.214187393,3.802154415,-10.0
figshare-14813121-v3,16,9.371504045000002,4.183447413,-10.0
figshare-14813121-v3,17,9.312630211999998,4.453350295,-10.0
figshare-14813121-v3,18,9.296792527000001,4.591363093,-10.0
figshare-14813121-v3,19,9.323085663999999,4.688471261,-10.0
figshare-14813121-v3,20,9.316904224,4.607473077000001,-10.0
figshare-14813121-v3,21,9.602668330000002,4.99119931,-10.0
figshare-14813121-v3,22,10.108853293,6.708161687,-10.0
figshare-14813121-v3,23,10.474221837000002,9.464187911,-10.0
figshare-14813121-v3,24,10.788492483,12.773467296000002,-10.0
figshare-14813121-v3,25,11.118288008,14.338609779,-10.0
figshare-14813121-v3,26,12.395282094000004,15.139926080999997,-10.0
figshare-14813121-v3,27,13.678933418,15.287755998999998,-10.0
figshare-14813121-v3,28,14.735183449000003,15.202963225999998,-10.0
figshare-14813121-v3,29,15.991592875,15.204040857999999,-10.0
figshare-14813121-v3,30,16.302483705,15.135561526,-10.0
