run_id,case,rule,actor,weight,disagreement,prepayment_utility,previous_utility,previous_gain,total_transfer,incremental_compensation,utility_after,gain,surplus,unit,input_sha256
import_flexible--capacity_load_v1,import_flexible,capacity_load_v1,DSO,1.8199999999999998,96.2324097325386,-93.68736899398004,110.43409419463137,14.201684462092771,193.87265914520236,-10.248804043409052,100.18529015122232,3.952880418683719,7.905760837367438,USD_synthetic,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca
import_flexible--capacity_load_v1,import_flexible,capacity_load_v1,A,1.02,-79.65090290221852,-10.981659164305789,-82.02988473942841,-2.378981837209892,-66.45389317359547,4.59433240152714,-77.43555233790127,2.2153505643172493,7.905760837367438,USD_synthetic,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca
import_flexible--capacity_load_v1,import_flexible,capacity_load_v1,B,0.7999999999999999,-216.28000002447342,-87.12370419850008,-220.19694181198884,-3.9169417875154124,-127.41876597160689,5.654471641881884,-214.54247017010698,1.73752985436647,7.905760837367438,USD_synthetic,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca
import_flexible--equal_v1,import_flexible,equal_v1,DSO,1.0,96.2324097325386,-93.68736899398004,110.43409419463137,14.201684462092771,192.55503233897446,-11.566430849636959,98.86766334499441,2.635253612455813,7.905760837367438,USD_synthetic,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca
import_flexible--equal_v1,import_flexible,equal_v1,A,1.0,-79.65090290221852,-10.981659164305789,-82.02988473942841,-2.378981837209892,-66.03399012545691,5.014235449665705,-77.0156492897627,2.635253612455813,7.905760837367438,USD_synthetic,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca
import_flexible--equal_v1,import_flexible,equal_v1,B,1.0,-216.28000002447342,-87.12370419850008,-220.19694181198884,-3.9169417875154124,-126.52104221351755,6.552195399971225,-213.64474641201764,2.635253612455813,7.905760837367438,USD_synthetic,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca
import_fixed--capacity_load_v1,import_fixed,capacity_load_v1,DSO,1.8199999999999998,91.15570802373881,-79.72675462142308,92.35657871191023,1.2008706881714204,171.48289798924762,-0.600435344085696,91.75614336782454,0.6004353440857315,1.200870688171463,USD_synthetic,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689
import_fixed--capacity_load_v1,import_fixed,capacity_load_v1,A,1.02,-82.24625000000002,-20.962916666666686,-82.24625000000003,-1.4210854715202004e-14,-60.946825613021545,0.33650772031179343,-81.90974227968823,0.3365077203117836,1.200870688171463,USD_synthetic,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689
import_fixed--capacity_load_v1,import_fixed,capacity_load_v1,B,0.7999999999999999,-217.80000000000007,-107.00000000000004,-217.80000000000007,0.0,-110.53607237622607,0.2639276237739381,-217.53607237622612,0.2639276237739479,1.200870688171463,USD_synthetic,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689
import_fixed--equal_v1,import_fixed,equal_v1,DSO,1.0,91.15570802373881,-79.72675462142308,92.35657871191023,1.2008706881714204,171.2827528745524,-0.800580458780928,91.5559982531293,0.40029022939048764,1.200870688171463,USD_synthetic,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689
import_fixed--equal_v1,import_fixed,equal_v1,A,1.0,-82.24625000000002,-20.962916666666686,-82.24625000000003,-1.4210854715202004e-14,-60.883043103942846,0.4002902293904924,-81.84595977060954,0.40029022939048764,1.200870688171463,USD_synthetic,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689
import_fixed--equal_v1,import_fixed,equal_v1,B,1.0,-217.80000000000007,-107.00000000000004,-217.80000000000007,0.0,-110.39970977060953,0.4002902293904782,-217.39970977060958,0.40029022939048764,1.200870688171463,USD_synthetic,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689
