first,second,same_model,difference_CNY,relative_difference,interpretation
cf_ct_clarabel_socp,cf_ct_gurobi_socp,true,0.0039031156338751316,7.74229174436335e-9,same_SOCP_A2
cf_ct_clarabel_socp,cf_ct_gurobi_original,false,-0.04830328922253102,9.581529100057644e-8,cross_grid_form_numerical_check_not_optimality_gap
cf_vt_clarabel_socp,cf_vt_gurobi_socp,true,0.00505484122550115,1.0065259408695436e-8,same_SOCP_A2
cf_vt_clarabel_socp,cf_vt_gurobi_original,false,-0.040129300963599235,7.9905937720857e-8,cross_grid_form_numerical_check_not_optimality_gap
