run_id,mode,solver,physical_model,cost_CNY,grid_CNY,chp_CNY,pv_CNY,pv_available_MWh,pv_used_MWh,source_MWh,load_MWh,pipe_net_MWh,energy_residual_MWh
cf_ct_clarabel_socp,CF_CT,Clarabel,false,504129.23363391357,387329.1979236535,112538.08570960519,4261.9500006548415,83.16,83.16000001310742,155.59947619914655,147.34740000000008,8.25207619914649,1.7763568394002505e-14
cf_vt_clarabel_socp,CF_VT,Clarabel,false,502206.74593403476,386959.2320382911,110985.56389574538,4261.9499999982445,83.16,83.15999999996515,155.0675197272374,147.34740000000008,7.720119727237366,4.796163466380676e-14
cf_ct_gurobi_socp,CF_CT,Gurobi,false,504129.2375370292,387329.2017363978,112538.0858054128,4261.949995218585,83.16,83.15999990425996,155.59947619914655,147.34740000000008,8.25207619914649,1.7763568394002505e-14
cf_vt_gurobi_socp,CF_VT,Gurobi,false,502206.750988876,386959.2364269576,110985.56456379348,4261.949998124934,83.16,83.1599999606758,155.06751985351127,147.34740000000008,7.720119853511138,5.5067062021407764e-14
cf_ct_gurobi_original,CF_CT,Gurobi,true,504129.18533062434,387329.14962452906,112538.08570609558,4261.949999999686,83.16,83.1599999999937,155.59947619914655,147.34740000000008,8.25207619914649,1.7763568394002505e-14
cf_vt_gurobi_original,CF_VT,Gurobi,true,502206.7058047338,386959.19191391923,110985.56389081482,4261.949999999723,83.16,83.15999999999454,155.06751972612153,147.34740000000008,7.7201197261214745,2.1316282072803006e-14
