record_id,run_id,IES,t,payment_USD
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,IES1,1,600.0000000004612
hand_hour--gurobi,r5-market-fda8845e-bea6-4592-855a-67c897fc151f,IES1,1,600.0
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,IES1,1,600.0
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,IES1,1,150.0000000006469
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,IES1,1,150.0
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,IES1,1,1469.999999990217
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,IES1,2,1469.9999999891052
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,IES1,3,1470.0000000007208
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,IES1,4,1469.9999999801419
two_bus--gurobi,r5-market-316d8759-14b0-40a0-8c3a-05f3350a6715,IES1,1,1470.0
two_bus--gurobi,r5-market-316d8759-14b0-40a0-8c3a-05f3350a6715,IES1,2,1470.0
two_bus--gurobi,r5-market-316d8759-14b0-40a0-8c3a-05f3350a6715,IES1,3,1470.0
two_bus--gurobi,r5-market-316d8759-14b0-40a0-8c3a-05f3350a6715,IES1,4,1470.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,IES1,1,1470.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,IES1,2,1470.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,IES1,3,1470.0
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,IES1,4,1470.0
wide_line--clarabel,r5-market-ce0dfaf3-1cfb-440b-bb40-669df217bb8b,IES1,1,1469.999999996671
wide_line--clarabel,r5-market-ce0dfaf3-1cfb-440b-bb40-669df217bb8b,IES1,2,1469.9999999973188
wide_line--clarabel,r5-market-ce0dfaf3-1cfb-440b-bb40-669df217bb8b,IES1,3,1469.9999999997904
wide_line--clarabel,r5-market-ce0dfaf3-1cfb-440b-bb40-669df217bb8b,IES1,4,1094.8798916353478
wide_line--highs,r5-market-952e7453-b839-4811-9ef9-7584c0111b26,IES1,1,1470.0
wide_line--highs,r5-market-952e7453-b839-4811-9ef9-7584c0111b26,IES1,2,1470.0
wide_line--highs,r5-market-952e7453-b839-4811-9ef9-7584c0111b26,IES1,3,1470.0
wide_line--highs,r5-market-952e7453-b839-4811-9ef9-7584c0111b26,IES1,4,570.0
