record_id,run_id,component,value_USD
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,generator_bid_capacity,4.39864894149636e-9
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,generator_capacity,1.577457617555482e-9
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,generator_down,4.99999999998186
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,generator_energy,400.00000000034
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,generator_up,24.99999999991266
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,line_capacity,0.0
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,ordinary_load_payment,-250.00000000068724
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,ramp_capacity,1.6135413338842757e-9
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,ramp_initial,7.778389016042611e-10
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,system_reserve_payment,-29.999999999025626
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,generator_bid_capacity,0.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,generator_capacity,0.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,generator_down,5.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,generator_energy,400.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,generator_up,25.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,line_capacity,0.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,ordinary_load_payment,-250.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,ramp_capacity,0.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,ramp_initial,0.0
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,system_reserve_payment,-30.0
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,generator_bid_capacity,2.788587462753904e-8
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,generator_capacity,200.00000001668212
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,generator_down,40.00000000101254
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,generator_energy,6500.000000005675
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,generator_up,310.0000000010671
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,line_capacity,815.1028511937168
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,ordinary_load_payment,-8009.692864011168
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,ramp_capacity,514.5900128151136
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,ramp_initial,3.153199800300586e-10
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,system_reserve_payment,-369.9999999988348
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,generator_bid_capacity,0.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,generator_capacity,200.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,generator_down,40.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,generator_energy,6500.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,generator_up,310.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,line_capacity,1960.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,ordinary_load_payment,-8640.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,ramp_capacity,0.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,ramp_initial,0.0
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,system_reserve_payment,-370.0
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,generator_bid_capacity,1.0177317092002094e-8
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,generator_capacity,4.161091297433708e-9
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,generator_down,-1.4606589683978682e-15
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,generator_energy,4200.000000002521
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,generator_up,2.2323034787074567e-15
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,line_capacity,0.0
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,ordinary_load_payment,-4800.0000000001755
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,ramp_capacity,600.0000000057515
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,ramp_initial,7.680690341218753e-11
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,system_reserve_payment,0.0
ramp_memory--highs,r5-market-983b8245-4a78-4ce0-9e12-176a14540ab1,generator_bid_capacity,0.0
