id,run_id,stage,event,fault,pipe,time,flow_kg_s
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,0,none,1,1,5.0
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,0,none,1,2,5.0
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,0,none,1,3,5.0
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,0,none,1,4,5.0
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,recovery,1,0,1,2,5.0
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,recovery,2,0,1,3,5.0
healthy_zero_loss_prescribed_gurobi,r7-flow-planning-5f7c3455-4676-4cc4-a001-9644b0b639fe,normal,0,none,1,1,5.0
healthy_zero_loss_prescribed_gurobi,r7-flow-planning-5f7c3455-4676-4cc4-a001-9644b0b639fe,normal,0,none,1,2,5.0
healthy_zero_loss_prescribed_gurobi,r7-flow-planning-5f7c3455-4676-4cc4-a001-9644b0b639fe,normal,0,none,1,3,5.0
healthy_zero_loss_prescribed_gurobi,r7-flow-planning-5f7c3455-4676-4cc4-a001-9644b0b639fe,normal,0,none,1,4,5.0
healthy_zero_loss_prescribed_gurobi,r7-flow-planning-5f7c3455-4676-4cc4-a001-9644b0b639fe,recovery,1,0,1,2,5.0
healthy_zero_loss_prescribed_gurobi,r7-flow-planning-5f7c3455-4676-4cc4-a001-9644b0b639fe,recovery,2,0,1,3,5.0
healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-235706c5-e17b-4f66-ac26-6e78c929e03e,normal,0,none,1,1,5.0
healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-235706c5-e17b-4f66-ac26-6e78c929e03e,normal,0,none,1,2,5.0
healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-235706c5-e17b-4f66-ac26-6e78c929e03e,normal,0,none,1,3,5.0
healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-235706c5-e17b-4f66-ac26-6e78c929e03e,normal,0,none,1,4,5.0
healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-235706c5-e17b-4f66-ac26-6e78c929e03e,recovery,1,0,1,2,5.150793650793651
healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-235706c5-e17b-4f66-ac26-6e78c929e03e,recovery,2,0,1,3,5.0
healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-b723ff7a-db64-47d6-b9e3-134def33934d,normal,0,none,1,1,2.5117327692940723
healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-b723ff7a-db64-47d6-b9e3-134def33934d,normal,0,none,1,2,2.488267230706013
healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-b723ff7a-db64-47d6-b9e3-134def33934d,normal,0,none,1,3,3.6490393821952387
healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-b723ff7a-db64-47d6-b9e3-134def33934d,normal,0,none,1,4,4.995503942464513
healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-b723ff7a-db64-47d6-b9e3-134def33934d,recovery,1,0,1,2,4.511565055898457
healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-b723ff7a-db64-47d6-b9e3-134def33934d,recovery,2,0,1,3,3.8962760109800483
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,normal,0,none,1,1,5.0
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,normal,0,none,1,2,5.0
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,normal,0,none,1,3,5.0
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,normal,0,none,1,4,5.0
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,recovery,1,0,1,2,5.0
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,recovery,1,1,1,2,0.0
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,recovery,2,0,1,3,5.0
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,recovery,2,1,1,3,0.0
all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-754b73a5-a037-457d-8a4e-d8bf7038cc5e,normal,0,none,1,1,5.0
all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-754b73a5-a037-457d-8a4e-d8bf7038cc5e,normal,0,none,1,2,5.0
all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-754b73a5-a037-457d-8a4e-d8bf7038cc5e,normal,0,none,1,3,5.0
all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-754b73a5-a037-457d-8a4e-d8bf7038cc5e,normal,0,none,1,4,5.0
all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-754b73a5-a037-457d-8a4e-d8bf7038cc5e,recovery,1,0,1,2,5.0
all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-754b73a5-a037-457d-8a4e-d8bf7038cc5e,recovery,1,1,1,2,0.0
all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-754b73a5-a037-457d-8a4e-d8bf7038cc5e,recovery,2,0,1,3,5.0
all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-754b73a5-a037-457d-8a4e-d8bf7038cc5e,recovery,2,1,1,3,0.0
all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-718c141d-82b0-477a-a0f4-1849fd540ef0,normal,0,none,1,1,5.0
all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-718c141d-82b0-477a-a0f4-1849fd540ef0,normal,0,none,1,2,5.0
all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-718c141d-82b0-477a-a0f4-1849fd540ef0,normal,0,none,1,3,5.0
all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-718c141d-82b0-477a-a0f4-1849fd540ef0,normal,0,none,1,4,5.0
