equation,scope,entity,t,residual,unit,tolerance,pass
3-3:8,model,1,1,0.0,MW,3.0e-6,true
3-2,model,1,1,9.802159084415507e-13,MW,3.0e-6,true
3-3:8,model,1,2,0.0,MW,3.0e-6,true
3-2,model,1,2,1.3281042932078435e-13,MW,3.0e-6,true
3-3:8,model,1,3,0.0,MW,3.0e-6,true
3-2,model,1,3,1.1115830478303224e-12,MW,3.0e-6,true
3-3:8,model,1,4,0.0,MW,3.0e-6,true
3-2,model,1,4,5.556111126736596e-13,MW,3.0e-6,true
3-3:8,model,2,1,1.7259139146475215e-11,MW,3.0e-6,true
3-7,model,2,1,1.3472014118107826e-13,MW,3.0e-6,true
3-3:8,model,2,2,2.8236331168396485e-11,MW,3.0e-6,true
3-7,model,2,2,1.468251626955407e-14,MW,3.0e-6,true
3-3:8,model,2,3,3.090279146049031e-11,MW,3.0e-6,true
3-7,model,2,3,1.1092463297110653e-13,MW,3.0e-6,true
3-3:8,model,2,4,1.6315026964477023e-11,MW,3.0e-6,true
3-7,model,2,4,5.967629644454012e-14,MW,3.0e-6,true
3-3:8,model,3,1,2.734379934697512e-11,MW,3.0e-6,true
3-7,model,3,1,0.0,MW,3.0e-6,true
3-3:8,model,3,2,3.1961756158382926e-11,MW,3.0e-6,true
3-7,model,3,2,0.0,MW,3.0e-6,true
3-3:8,model,3,3,3.344960419759957e-11,MW,3.0e-6,true
3-7,model,3,3,0.0,MW,3.0e-6,true
3-3:8,model,3,4,2.4913619778299534e-11,MW,3.0e-6,true
3-7,model,3,4,0.0,MW,3.0e-6,true
3-9,model,1,1,6.980527267330672e-15,MW,3.0e-6,true
3-10,model,1,1,4.440892098500626e-16,Mvar,3.0e-6,true
3-13,model,1,1,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,1,1.0413891970983968e-13,pu2,1.0e-6,true
3-9,model,1,2,3.6165515027164474e-14,MW,3.0e-6,true
3-10,model,1,2,4.440892098500626e-16,Mvar,3.0e-6,true
