stage,name,quantity,entity,t,time_h,value,unit
1,initialization,m_pipe,1,1,1.0,1.0598404919030378,kg/s
1,initialization,m_pipe,1,2,2.0,1.367948247179123,kg/s
1,initialization,m_pipe,1,3,3.0,1.49994083030408,kg/s
1,initialization,m_pipe,1,4,4.0,1.188588395672336,kg/s
1,initialization,m_pipe,2,1,1.0,1.5598405066770646,kg/s
1,initialization,m_pipe,2,2,2.0,1.8679482797756053,kg/s
1,initialization,m_pipe,2,3,3.0,1.9999408678984796,kg/s
1,initialization,m_pipe,2,4,4.0,1.6885884090597552,kg/s
1,initialization,tau_S_out,1,1,1.0,351.5825364184988,K
1,initialization,tau_S_out,1,2,2.0,358.885752365295,K
1,initialization,tau_S_out,1,3,3.0,362.11876005301747,K
1,initialization,tau_S_out,1,4,4.0,360.0660704320934,K
1,initialization,tau_S_out,2,1,1.0,355.9284589402726,K
1,initialization,tau_S_out,2,2,2.0,356.5505098138137,K
1,initialization,tau_S_out,2,3,3.0,357.4788118632629,K
1,initialization,tau_S_out,2,4,4.0,358.96198918381896,K
1,initialization,tau_R_out,1,1,1.0,314.1352972043398,K
1,initialization,tau_R_out,1,2,2.0,308.28269041832203,K
1,initialization,tau_R_out,1,3,3.0,306.88364879634014,K
1,initialization,tau_R_out,1,4,4.0,312.9671322381819,K
1,initialization,tau_R_out,2,1,1.0,321.80318998178586,K
1,initialization,tau_R_out,2,2,2.0,306.65802785799303,K
1,initialization,tau_R_out,2,3,3.0,306.7870447260943,K
1,initialization,tau_R_out,2,4,4.0,320.5395579413641,K
1,initialization,H_port,1,1,1.0,0.17832284959155842,MW
1,initialization,H_port,1,2,2.0,0.3336266449949875,MW
1,initialization,H_port,1,3,3.0,0.35352799661582285,MW
1,initialization,H_port,1,4,4.0,0.27859306831347835,MW
1,initialization,H_port,2,1,1.0,0.04451330327682806,MW
1,initialization,H_port,2,2,2.0,0.07631814657212582,MW
1,initialization,H_port,2,3,3.0,0.07604721162058706,MW
1,initialization,H_port,2,4,4.0,0.047166930443446595,MW
1,initialization,H_port,3,1,1.0,0.3,MW
1,initialization,H_port,3,2,2.0,0.32,MW
1,initialization,H_port,3,3,3.0,0.34,MW
1,initialization,H_port,3,4,4.0,0.32,MW
1,initialization,replay_S,1,1,1.0,351.62501850308456,K
1,initialization,replay_S,1,2,2.0,358.2627127773925,K
1,initialization,replay_S,1,3,3.0,362.5819352085538,K
1,initialization,replay_S,1,4,4.0,362.5489902586306,K
1,initialization,replay_S,2,1,1.0,351.7488894309272,K
1,initialization,replay_S,2,2,2.0,356.60935554572154,K
1,initialization,replay_S,2,3,3.0,361.00804408805857,K
1,initialization,replay_S,2,4,4.0,360.35784382543835,K
1,initialization,replay_R,1,1,1.0,317.44564776210535,K
1,initialization,replay_R,1,2,2.0,312.05649534603594,K
1,initialization,replay_R,1,3,3.0,306.661953883312,K
1,initialization,replay_R,1,4,4.0,314.6141841945743,K
1,initialization,replay_R,2,1,1.0,312.9024309539158,K
1,initialization,replay_R,2,2,2.0,312.8994162430484,K
1,initialization,replay_R,2,3,3.0,312.9114513297581,K
1,initialization,replay_R,2,4,4.0,312.906599452069,K
3,diagnostic,m_pipe,1,1,1.0,1.0598404919130822,kg/s
3,diagnostic,m_pipe,1,2,2.0,1.3679482471815458,kg/s
3,diagnostic,m_pipe,1,3,3.0,1.499940830305911,kg/s
3,diagnostic,m_pipe,1,4,4.0,1.1885883956855687,kg/s
3,diagnostic,m_pipe,2,1,1.0,1.5598405066670202,kg/s
3,diagnostic,m_pipe,2,2,2.0,1.8679482797731823,kg/s
3,diagnostic,m_pipe,2,3,3.0,1.9999408678966486,kg/s
3,diagnostic,m_pipe,2,4,4.0,1.6885884090465224,kg/s
3,diagnostic,tau_S_out,1,1,1.0,357.74080161897786,K
3,diagnostic,tau_S_out,1,2,2.0,352.6916841815729,K
3,diagnostic,tau_S_out,1,3,3.0,354.5386178656635,K
3,diagnostic,tau_S_out,1,4,4.0,359.3203593291402,K
3,diagnostic,tau_S_out,2,1,1.0,357.0525822196343,K
3,diagnostic,tau_S_out,2,2,2.0,353.78832214756204,K
3,diagnostic,tau_S_out,2,3,3.0,353.47738723267315,K
3,diagnostic,tau_S_out,2,4,4.0,358.12080965479856,K
