run_id,iteration,stage,equation,scope,entity,t,residual,unit,tolerance,pass
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-13,model,2,4,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-11,model,1,1,2.7050844203513336e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-12,model,1,1,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,pre-SOC-electric,physics,1,1,2.3913725097697536,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-14,model,1,1,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-11,model,1,2,6.875197026273705e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-12,model,1,2,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,pre-SOC-electric,physics,1,2,2.3933010620674797,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-14,model,1,2,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-11,model,1,3,6.266688556966216e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-12,model,1,3,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,pre-SOC-electric,physics,1,3,2.397200489145651,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-14,model,1,3,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-11,model,1,4,1.439278383974507e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-12,model,1,4,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,pre-SOC-electric,physics,1,4,2.390637996369918,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-14,model,1,4,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,R2-grid-bounds,model,1,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,R2-grid-bounds,model,1,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,R2-grid-bounds,model,1,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,R2-grid-bounds,model,1,4,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-21,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-43,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-17,relaxed,1,1,7.174816296640074e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-17-original,physics,1,1,7.174816296640074e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-19:20,model,1,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-37,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-24,model,1,1,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-delay-switch,1,2,3-41,model,1,1,0.0,K,0.0001,true
