run_id,equation,scope,entity,t,residual,tolerance,ratio,unit
open_flexible--p2--swm--clarabel,branch_equality,electric_original,1,1,1.7276985716501575e-6,1.0e-6,1.7276985716501576,pu⁴
open_flexible--p2--swm--clarabel,branch_equality,electric_original,2,1,1.6905242833167855e-6,1.0e-6,1.6905242833167855,pu⁴
open_flexible--p2--swm--clarabel,branch_equality,electric_original,1,2,1.0016598143199745e-6,1.0e-6,1.0016598143199746,pu⁴
open_flexible--p2--swm--clarabel,branch_equality,electric_original,2,3,1.2245520827299829e-6,1.0e-6,1.224552082729983,pu⁴
open_flexible--p2--swm--clarabel,branch_equality,electric_original,1,4,1.7945646397198034e-6,1.0e-6,1.7945646397198034,pu⁴
open_flexible--p2--swm--clarabel,branch_equality,electric_original,2,4,1.693630751324962e-6,1.0e-6,1.6936307513249622,pu⁴
import_flexible--p1--agnb--clarabel,R4-T1-objective,tspa,AG,0,0.0004736244443961368,0.00029593151145664904,1.6004528955528887,USD
import_flexible--p2--agnb--clarabel,R4-T1-objective,tspa,AG,0,0.0005062426894255623,0.00031178035032517864,1.6237158271762944,USD
open_flexible--p1--swm--gurobi,branch_equality,electric_original,2,1,3.3815980178433618e-6,1.0e-6,3.381598017843362,pu⁴
open_flexible--p1--swm--gurobi,electric_balance,model,2,1,0.08682305563165313,3.0e-6,28941.018543884376,MW
open_flexible--p1--swm--gurobi,reactive_balance,model,2,1,3.1614853179887104e-6,3.0e-6,1.05382843932957,Mvar
open_flexible--p1--swm--gurobi,heat_balance,heat,2,1,0.04927172253732874,3.0e-6,16423.907512442915,MW
open_flexible--p1--swm--gurobi,port_heat,heat,2,1,0.025364292496521355,3.0e-6,8454.764165507118,MW
open_flexible--p1--swm--gurobi,electric_balance,model,3,1,0.08706228990687051,3.0e-6,29020.76330229017,MW
open_flexible--p1--swm--gurobi,reactive_balance,model,3,1,5.754263107386748e-6,3.0e-6,1.9180877024622491,Mvar
open_flexible--p1--swm--gurobi,heat_balance,heat,3,1,0.04929703839408407,3.0e-6,16432.346131361355,MW
open_flexible--p1--swm--gurobi,port_heat,heat,3,1,0.017635461896130734,3.0e-6,5878.487298710244,MW
open_flexible--p1--swm--gurobi,electric_balance,model,2,2,0.0860768636220604,3.0e-6,28692.287874020134,MW
open_flexible--p1--swm--gurobi,reactive_balance,model,2,2,3.417809258630944e-6,3.0e-6,1.1392697528769813,Mvar
open_flexible--p1--swm--gurobi,heat_balance,heat,2,2,0.04949861921522257,3.0e-6,16499.539738407522,MW
open_flexible--p1--swm--gurobi,port_heat,heat,2,2,0.025478212968340738,3.0e-6,8492.737656113579,MW
open_flexible--p1--swm--gurobi,electric_balance,model,3,2,0.08638678391332011,3.0e-6,28795.594637773367,MW
open_flexible--p1--swm--gurobi,reactive_balance,model,3,2,7.36810711160496e-6,3.0e-6,2.45603570386832,Mvar
open_flexible--p1--swm--gurobi,heat_balance,heat,3,2,0.049522375217096626,3.0e-6,16507.458405698875,MW
open_flexible--p1--swm--gurobi,port_heat,heat,3,2,0.01510128379698029,3.0e-6,5033.761265660097,MW
open_flexible--p1--swm--gurobi,branch_equality,electric_original,1,3,1.5257671464738269e-5,1.0e-6,15.25767146473827,pu⁴
open_flexible--p1--swm--gurobi,branch_equality,electric_original,2,3,4.417540328248339e-6,1.0e-6,4.417540328248339,pu⁴
open_flexible--p1--swm--gurobi,electric_balance,model,2,3,0.08602033410454885,3.0e-6,28673.44470151628,MW
open_flexible--p1--swm--gurobi,heat_balance,heat,2,3,0.04950195563436925,3.0e-6,16500.651878123084,MW
open_flexible--p1--swm--gurobi,port_heat,heat,2,3,0.025470728284863506,3.0e-6,8490.242761621168,MW
open_flexible--p1--swm--gurobi,electric_balance,model,3,3,0.08625582595100889,3.0e-6,28751.94198366963,MW
open_flexible--p1--swm--gurobi,reactive_balance,model,3,3,5.7060178081103086e-6,3.0e-6,1.9020059360367694,Mvar
open_flexible--p1--swm--gurobi,heat_balance,heat,3,3,0.04952595408216666,3.0e-6,16508.65136072222,MW
open_flexible--p1--swm--gurobi,port_heat,heat,3,3,0.017722448378537023,3.0e-6,5907.482792845674,MW
open_flexible--p1--swm--gurobi,branch_equality,electric_original,1,4,7.73522213342974e-6,1.0e-6,7.7352221334297395,pu⁴
open_flexible--p1--swm--gurobi,branch_equality,electric_original,2,4,2.720927758663623e-6,1.0e-6,2.720927758663623,pu⁴
open_flexible--p1--swm--gurobi,electric_balance,model,2,4,0.08603859679282672,3.0e-6,28679.53226427557,MW
open_flexible--p1--swm--gurobi,heat_balance,heat,2,4,0.04950372702740399,3.0e-6,16501.242342468,MW
open_flexible--p1--swm--gurobi,port_heat,heat,2,4,0.0254754025337343,3.0e-6,8491.8008445781,MW
