run_id,kind,ratio,threshold
open_flexible--p1--swm--clarabel,adopted_model,0.8474619712002991,1.0
open_flexible--p1--agnb--clarabel,adopted_model,0.7020181963869545,1.0
open_flexible--p2--swm--clarabel,adopted_model,0.9854704839847479,1.0
open_flexible--p2--agnb--clarabel,adopted_model,0.5436592316901886,1.0
open_fixed--p1--swm--clarabel,adopted_model,0.5723570995023556,1.0
open_fixed--p1--agnb--clarabel,adopted_model,0.5818927271493729,1.0
open_fixed--p2--swm--clarabel,adopted_model,0.8089421099921612,1.0
open_fixed--p2--agnb--clarabel,adopted_model,0.18673230249186532,1.0
import_flexible--p1--swm--clarabel,adopted_model,0.9997242138802079,1.0
import_flexible--p1--agnb--clarabel,adopted_model,1.6004528955528887,1.0
import_flexible--p2--swm--clarabel,adopted_model,0.9996466452573867,1.0
import_flexible--p2--agnb--clarabel,adopted_model,1.6237158271762944,1.0
import_fixed--p1--swm--clarabel,adopted_model,0.9997610726416213,1.0
import_fixed--p1--agnb--clarabel,adopted_model,0.19806716315490958,1.0
import_fixed--p2--swm--clarabel,adopted_model,0.9983105780468163,1.0
import_fixed--p2--agnb--clarabel,adopted_model,0.13389955967374403,1.0
open_flexible--p1--swm--gurobi,adopted_model,29020.76330229017,1.0
import_flexible--p1--swm--gurobi,adopted_model,29015.642481448565,1.0
open_flexible--p1--swm--clarabel,electric_original,0.32428692131776515,1.0
open_flexible--p2--swm--clarabel,electric_original,1.7945646397198034,1.0
open_fixed--p1--swm--clarabel,electric_original,0.4132352465231054,1.0
open_fixed--p2--swm--clarabel,electric_original,0.16376864155065451,1.0
import_flexible--p1--swm--clarabel,electric_original,0.20953770169191213,1.0
import_flexible--p2--swm--clarabel,electric_original,0.19118240111816107,1.0
import_fixed--p1--swm--clarabel,electric_original,0.28089884099172585,1.0
import_fixed--p2--swm--clarabel,electric_original,0.21680838676024078,1.0
open_flexible--p1--swm--gurobi,electric_original,15.25767146473827,1.0
import_flexible--p1--swm--gurobi,electric_original,0.9319703139889016,1.0
