case,version,count,physical_pass,best_cost,median_cost,worst_cost,best_sec,median_sec,worst_sec,local_stationarity,outer_converged
single-source,v2,5,5,77.04112103768406,77.04791335360704,78.96134002313596,43.81395529999281,65.01735700000427,88.05688180000288,,
single-source,v3,5,5,77.04112103768406,77.04791335360704,78.96134002313596,32.00235120000434,59.00769470000523,70.00517119999859,0,0
two-source,v2,5,5,177.37624732723242,177.40495786024877,177.6027930885013,39.21147270000074,67.65067249999265,75.26390690001426,,
two-source,v3,5,5,177.37624732723242,177.40495786024877,177.6027930885013,34.77211560000433,56.8289475000056,65.11683320000884,1,0
