id,stage,role,node,time_h,supply_K,fixed_return_K,required_MW,causal_heat_MW,mismatch_MW
two-source-VF_CT-pg,3913,before_restoration,3,5.0,352.4884568124306,313.0,0.33170305057544147,0.33170303722443123,-1.3351010241802186e-8
two-source-VF_CT-pg,3913,before_restoration,3,6.0,352.4891148809015,313.0,0.33170305057544147,0.3317085649995868,5.514424145314223e-6
two-source-VF_CT-pg,3913,before_restoration,3,7.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057545546,1.3988810110276972e-14
two-source-VF_CT-pg,3913,before_restoration,3,8.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057545546,1.3988810110276972e-14
two-source-VF_CT-pg,3913,before_restoration,3,9.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057545546,1.3988810110276972e-14
two-source-VF_CT-pg,3913,before_restoration,3,10.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057545546,1.3988810110276972e-14
two-source-VF_CT-pg,3913,before_restoration,3,11.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057545546,1.3988810110276972e-14
two-source-VF_CT-pg,3913,before_restoration,3,12.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057545546,1.3988810110276972e-14
two-source-VF_CT-pg,3913,before_restoration,3,13.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057545546,1.3988810110276972e-14
two-source-VF_CT-pg,3913,before_restoration,3,14.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057545546,1.3988810110276972e-14
two-source-VF_CT-pg,3919,retained_A1_candidate,3,5.0,352.48845696966737,313.0,0.33170305057544147,0.3317030385452059,-1.2030235585491766e-8
two-source-VF_CT-pg,3919,retained_A1_candidate,3,6.0,352.4887336037687,313.0,0.33170305057544147,0.33170536227165714,2.3116962156732868e-6
two-source-VF_CT-pg,3919,retained_A1_candidate,3,7.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057544147,0.0
two-source-VF_CT-pg,3919,retained_A1_candidate,3,8.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057544147,0.0
two-source-VF_CT-pg,3919,retained_A1_candidate,3,9.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057544147,0.0
two-source-VF_CT-pg,3919,retained_A1_candidate,3,10.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057544147,0.0
two-source-VF_CT-pg,3919,retained_A1_candidate,3,11.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057544147,0.0
two-source-VF_CT-pg,3919,retained_A1_candidate,3,12.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057544147,0.0
two-source-VF_CT-pg,3919,retained_A1_candidate,3,13.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057544147,0.0
two-source-VF_CT-pg,3919,retained_A1_candidate,3,14.0,352.4884584018383,313.0,0.33170305057544147,0.33170305057544147,0.0
