id,run_id,event,fault,loss_limit_MWh,loss_MWh,model_pass,threshold_pass,initial_profiles_sha256
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,1,0,0.0,0.0,true,true,88f83308c4e91bbb259653230e9f5573d3e33e4fbaac68f7447a82f34f73b185
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,2,0,0.0,0.0,true,true,599969885a807cbfd2f6c363d8e3258aa65de77c16f41fd771164faf3223bdab
healthy_zero_loss_prescribed_gurobi,r7-flow-planning-5f7c3455-4676-4cc4-a001-9644b0b639fe,1,0,0.0,0.0,true,true,9f39eefb4df3d17af6d86f4ad1287c08be662f71f18cac56815d96314fae9d4b
healthy_zero_loss_prescribed_gurobi,r7-flow-planning-5f7c3455-4676-4cc4-a001-9644b0b639fe,2,0,0.0,0.0,true,true,7736cabda474e241eb1c128d6a93bc88f47809c97f1983a02efc790ada421289
healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-235706c5-e17b-4f66-ac26-6e78c929e03e,1,0,0.0,0.0,true,true,304b2c01348b0d4ed2ef8fc2b31c31e2ef104945424e729c3ba2e288ed82f8ef
healthy_zero_loss_recovery_continuous_gurobi,r7-flow-planning-235706c5-e17b-4f66-ac26-6e78c929e03e,2,0,0.0,0.0,true,true,c6e4716cf9c7103652b48b07a2ee82ff68ab65161e99c43c9f53b3f66c075123
healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-b723ff7a-db64-47d6-b9e3-134def33934d,1,0,0.0,0.0,true,true,e59c27de23334742a0e047e6cecc74c9d5f068366381b195f75fa16e83d2e453
healthy_zero_loss_joint_continuous_gurobi,r7-flow-planning-b723ff7a-db64-47d6-b9e3-134def33934d,2,0,0.0,0.0,true,true,b83f17d63909537ad8f250d9190301840386d01199569969d65de210a7c1a373
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,1,0,0.4,0.4,true,true,d94b1bd817cfae2acb16a502afa10953fa0679f4780da732724c458bd2692ab4
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,1,1,0.4,0.4,true,true,d94b1bd817cfae2acb16a502afa10953fa0679f4780da732724c458bd2692ab4
all_faults_heat_limit_prescribed_highs,r7-flow-planning-0fa8ab2a-28c3-47e7-bfdf-977ca755150e,2,0,0.4,0.24250000000000005,true,true,2e26d7bd1d173c49e0c89b73a72fce128e99feb4a501122fd7c61640c91d3702
