stage,name,quantity,entity,t,time_h,value,unit
2,diagnostic,m_pipe,1,1,1.0,1.0,kg/s
2,diagnostic,m_pipe,1,2,2.0,1.0,kg/s
2,diagnostic,m_pipe,1,3,3.0,1.0,kg/s
2,diagnostic,m_pipe,1,4,4.0,1.0,kg/s
2,diagnostic,tau_S_out,1,1,1.0,357.44523808858935,K
2,diagnostic,tau_S_out,1,2,2.0,362.4025640927572,K
2,diagnostic,tau_S_out,1,3,3.0,362.402564091626,K
2,diagnostic,tau_S_out,1,4,4.0,362.4025640911964,K
2,diagnostic,tau_R_out,1,1,1.0,312.82930402781375,K
2,diagnostic,tau_R_out,1,2,2.0,312.82930402781375,K
2,diagnostic,tau_R_out,1,3,3.0,312.8293040278137,K
2,diagnostic,tau_R_out,1,4,4.0,312.82930402781375,K
2,diagnostic,H_port,1,1,1.0,0.2107169230742927,MW
2,diagnostic,H_port,1,2,2.0,0.21071692306505102,MW
2,diagnostic,H_port,1,3,3.0,0.2107169230627269,MW
2,diagnostic,H_port,1,4,4.0,0.21071692306311113,MW
2,diagnostic,H_port,2,1,1.0,10.0,MW
2,diagnostic,H_port,2,2,2.0,10.0,MW
2,diagnostic,H_port,2,3,3.0,10.0,MW
2,diagnostic,H_port,2,4,4.0,10.0,MW
2,diagnostic,replay_S,1,1,1.0,357.4452380885887,K
2,diagnostic,replay_S,1,2,2.0,362.40256409275673,K
2,diagnostic,replay_S,1,3,3.0,362.4025640916255,K
2,diagnostic,replay_S,1,4,4.0,362.4025640911957,K
2,diagnostic,replay_R,1,1,1.0,312.829304027814,K
2,diagnostic,replay_R,1,2,2.0,312.8293040278139,K
2,diagnostic,replay_R,1,3,3.0,312.8293040278139,K
2,diagnostic,replay_R,1,4,4.0,312.8293040278139,K
0,input_flow,m_pipe,1,1,1.0,1.0,kg/s
0,input_flow,m_pipe,1,2,2.0,1.0,kg/s
0,input_flow,m_pipe,1,3,3.0,1.0,kg/s
0,input_flow,m_pipe,1,4,4.0,1.0,kg/s
