case,stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
single-schpd,3,diagnostic,3-17,relaxed,2,1,0.002127818297909978,MW,3.0e-6,false
single-schpd,3,diagnostic,3-17-original,physics,2,1,0.002127818297909978,MW,3.0e-6,false
single-schpd,3,diagnostic,3-25,physics,S1,1,0.0907084956848581,normalized,1.0e-6,false
single-schpd,3,diagnostic,3-25,physics,S1,2,0.09055356951441601,normalized,1.0e-6,false
single-schpd,3,diagnostic,3-25,physics,S1,3,0.090591405083864,normalized,1.0e-6,false
single-schpd,3,diagnostic,3-25,physics,S1,4,0.09063262341946776,normalized,1.0e-6,false
single-schpd,3,diagnostic,3-25,physics,R1,1,0.0907152106440872,normalized,1.0e-6,false
single-schpd,3,diagnostic,3-25,physics,R1,2,0.09056027842167572,normalized,1.0e-6,false
single-schpd,3,diagnostic,3-25,physics,R1,3,0.09059811547377893,normalized,1.0e-6,false
single-schpd,3,diagnostic,3-25,physics,R1,4,0.0906393354211547,normalized,1.0e-6,false
two-schpd,1,initialization,3-17,physics,1,1,0.01277786976067749,MW,3.0e-6,false
two-schpd,1,initialization,3-17-original,physics,1,1,0.01277786976067749,MW,3.0e-6,false
two-schpd,1,initialization,3-17,physics,1,2,0.0192547878421927,MW,3.0e-6,false
two-schpd,1,initialization,3-17-original,physics,1,2,0.0192547878421927,MW,3.0e-6,false
two-schpd,1,initialization,3-17,physics,1,3,8.952480330393087e-6,MW,3.0e-6,false
two-schpd,1,initialization,3-17-original,physics,1,3,8.952480330393087e-6,MW,3.0e-6,false
two-schpd,1,initialization,3-17,physics,1,4,0.028825937850386812,MW,3.0e-6,false
two-schpd,1,initialization,3-17-original,physics,1,4,0.028825937850386812,MW,3.0e-6,false
two-schpd,1,initialization,3-17,physics,3,1,0.018761493594106393,MW,3.0e-6,false
two-schpd,1,initialization,3-17-original,physics,3,1,0.018761493594106393,MW,3.0e-6,false
two-schpd,1,initialization,3-17,physics,3,2,0.02167041953826826,MW,3.0e-6,false
two-schpd,1,initialization,3-17-original,physics,3,2,0.02167041953826826,MW,3.0e-6,false
two-schpd,1,initialization,3-17,physics,3,3,0.03361097312380995,MW,3.0e-6,false
two-schpd,1,initialization,3-17-original,physics,3,3,0.03361097312380995,MW,3.0e-6,false
two-schpd,1,initialization,3-17,physics,3,4,0.005965705211131378,MW,3.0e-6,false
two-schpd,1,initialization,3-17-original,physics,3,4,0.005965705211131378,MW,3.0e-6,false
two-schpd,1,initialization,3-35:36,physics,S2,1,2.7510941660303274,K,0.0001,false
two-schpd,1,initialization,mix-original,physics,S2,1,2.7510941660303274,K,0.0001,false
two-schpd,1,initialization,3-35:36,physics,S2,2,4.252192593485404,K,0.0001,false
two-schpd,1,initialization,mix-original,physics,S2,2,4.252192593485404,K,0.0001,false
two-schpd,1,initialization,3-35:36,physics,S2,3,4.779831252775523,K,0.0001,false
two-schpd,1,initialization,mix-original,physics,S2,3,4.779831252775523,K,0.0001,false
two-schpd,1,initialization,3-35:36,physics,S2,4,5.053354063507641,K,0.0001,false
two-schpd,1,initialization,mix-original,physics,S2,4,5.053354063507641,K,0.0001,false
two-schpd,1,initialization,3-25,physics,S1,1,0.2217725743121799,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,S1,1,0.04248208458574254,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,S1,1,0.0005959630498802094,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,S1,2,0.21239809475759328,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,S1,2,0.6230395879024968,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,S1,2,0.0015510966503383043,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,S1,3,0.21187128207021233,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,S1,3,0.4631751555363053,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,S1,3,3.088684870423153e-6,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,S1,4,0.21260994307928216,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,S1,4,2.482919826537227,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,S1,4,0.014641302387499956,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,R1,1,0.22177257431214067,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,R1,1,3.310350557765503,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,R1,1,0.02279767934682715,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,R1,2,0.2123980947579867,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,R1,2,3.773804927713911,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,R1,2,0.011993349288330915,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,R1,3,0.21187128207022457,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,R1,3,0.22169491302815914,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,R1,3,4.944356366179964e-6,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,R1,4,0.2126099430793118,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,R1,4,1.6470519563924313,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,R1,4,0.01625429224518473,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,S2,1,0.22170730441011782,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,S2,1,4.179569509345413,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,S2,1,0.03248754053196779,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,S2,2,0.24006562114155747,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,S2,2,0.058845731907695153,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,S2,2,0.007839341025789443,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,S2,3,0.23973518624942997,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,S2,3,3.529232224795578,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,S2,3,0.03244503713884019,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,S2,4,0.2403915066916923,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,S2,4,1.395854641619394,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,S2,4,0.006268210664830521,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,R2,1,0.22170730441012368,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,R2,1,8.900759027870038,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,R2,1,0.06772576064951344,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,R2,2,0.24006562114157184,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,R2,2,6.241388385055245,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,R2,2,0.06493761923277871,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,R2,3,0.239735186249448,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,R2,3,6.124406603663715,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,R2,3,0.05133181357187329,MW,3.0e-6,false
two-schpd,1,initialization,3-25,physics,R2,4,0.2403915066917052,normalized,1.0e-6,false
two-schpd,1,initialization,WMM-replay,physics,R2,4,7.632958489295106,K,0.0001,false
two-schpd,1,initialization,3-52-unrelaxed,physics,R2,4,0.06863122150276492,MW,3.0e-6,false
two-schpd,1,initialization,energy-temperature-consistency,physics,0,1,0.10201853491898338,MWh,1.1679999999999999e-6,false
two-schpd,1,initialization,energy-temperature-consistency,physics,0,2,0.008132002692453719,MWh,1.1679999999999999e-6,false
two-schpd,1,initialization,energy-temperature-consistency,physics,0,3,0.06911722999126158,MWh,1.1679999999999999e-6,false
two-schpd,1,initialization,energy-temperature-consistency,physics,0,4,0.03660270907771593,MWh,1.1679999999999999e-6,false
two-schpd,3,diagnostic,pre-SOC-electric,physics,1,1,2.138200852192002,pu,1.0e-6,false
two-schpd,3,diagnostic,pre-SOC-electric,physics,1,2,2.148305244056588,pu,1.0e-6,false
two-schpd,3,diagnostic,pre-SOC-electric,physics,1,3,2.1575623218791193,pu,1.0e-6,false
two-schpd,3,diagnostic,pre-SOC-electric,physics,1,4,2.141261742490195,pu,1.0e-6,false
two-schpd,3,diagnostic,pre-SOC-electric,physics,2,1,2.271468650571755,pu,1.0e-6,false
two-schpd,3,diagnostic,pre-SOC-electric,physics,2,2,2.278247867374328,pu,1.0e-6,false
two-schpd,3,diagnostic,pre-SOC-electric,physics,2,3,2.2821394480403643,pu,1.0e-6,false
two-schpd,3,diagnostic,pre-SOC-electric,physics,2,4,2.273594609541545,pu,1.0e-6,false
two-schpd,3,diagnostic,3-17,relaxed,3,1,0.01139699088824575,MW,3.0e-6,false
two-schpd,3,diagnostic,3-17-original,physics,3,1,0.01139699088824575,MW,3.0e-6,false
two-schpd,3,diagnostic,3-25,physics,S1,1,0.07510142974087183,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,S1,2,0.07482049192176372,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,S1,3,0.0746787192841243,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,S1,4,0.07499257118684713,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,R1,1,0.07509609041218133,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,R1,2,0.07481513389185988,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,R1,3,0.0746733519414588,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,R1,4,0.07498722455547514,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,S2,1,0.05064778419274141,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,S2,2,0.050259727838286625,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,S2,3,0.05007297304751365,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,S2,4,0.05049384191972704,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,R2,1,0.05064563584071086,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,R2,2,0.050257574691570446,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,R2,3,0.050070817534514346,normalized,1.0e-6,false
two-schpd,3,diagnostic,3-25,physics,R2,4,0.05049169168902224,normalized,1.0e-6,false
single-low-flow,2,diagnostic,pre-SOC-electric,physics,1,1,2.403886915087767,pu,1.0e-6,false
single-low-flow,2,diagnostic,pre-SOC-electric,physics,1,2,2.4107347127613252,pu,1.0e-6,false
single-low-flow,2,diagnostic,pre-SOC-electric,physics,1,3,2.413904198700445,pu,1.0e-6,false
single-low-flow,2,diagnostic,pre-SOC-electric,physics,1,4,2.410040309769163,pu,1.0e-6,false
single-low-flow,2,diagnostic,3-17,relaxed,2,1,0.06760963020384374,MW,3.0e-6,false
single-low-flow,2,diagnostic,3-17-original,physics,2,1,0.06760963020384374,MW,3.0e-6,false
single-low-flow,2,diagnostic,3-17,relaxed,2,2,0.057498522902769855,MW,3.0e-6,false
single-low-flow,2,diagnostic,3-17-original,physics,2,2,0.057498522902769855,MW,3.0e-6,false
single-low-flow,2,diagnostic,3-17,relaxed,2,3,0.0674985229028058,MW,3.0e-6,false
single-low-flow,2,diagnostic,3-17-original,physics,2,3,0.0674985229028058,MW,3.0e-6,false
single-low-flow,2,diagnostic,3-17,relaxed,2,4,0.05749852290277033,MW,3.0e-6,false
single-low-flow,2,diagnostic,3-17-original,physics,2,4,0.05749852290277033,MW,3.0e-6,false
single-low-flow,2,diagnostic,3-25,physics,S1,1,0.0953789172120176,normalized,1.0e-6,false
single-low-flow,2,diagnostic,3-25,physics,S1,2,0.0953789172120176,normalized,1.0e-6,false
single-low-flow,2,diagnostic,3-25,physics,S1,3,0.0953789172120176,normalized,1.0e-6,false
single-low-flow,2,diagnostic,3-25,physics,S1,4,0.0953789172120176,normalized,1.0e-6,false
single-low-flow,2,diagnostic,3-25,physics,R1,1,0.09538746213739309,normalized,1.0e-6,false
single-low-flow,2,diagnostic,3-25,physics,R1,2,0.09538746213739309,normalized,1.0e-6,false
single-low-flow,2,diagnostic,3-25,physics,R1,3,0.09538746213739309,normalized,1.0e-6,false
single-low-flow,2,diagnostic,3-25,physics,R1,4,0.09538746213739309,normalized,1.0e-6,false
single-impossible-heat,2,diagnostic,pre-SOC-electric,physics,1,1,2.39252414640632,pu,1.0e-6,false
single-impossible-heat,2,diagnostic,pre-SOC-electric,physics,1,2,2.4020228082999986,pu,1.0e-6,false
single-impossible-heat,2,diagnostic,pre-SOC-electric,physics,1,3,2.4063375712075388,pu,1.0e-6,false
single-impossible-heat,2,diagnostic,pre-SOC-electric,physics,1,4,2.3970065849167685,pu,1.0e-6,false
single-impossible-heat,2,diagnostic,3-17,relaxed,2,1,9.813330000027925,MW,3.0e-6,false
single-impossible-heat,2,diagnostic,3-17-original,physics,2,1,9.813330000027925,MW,3.0e-6,false
single-impossible-heat,2,diagnostic,3-17,relaxed,2,2,9.792509230810419,MW,3.0e-6,false
single-impossible-heat,2,diagnostic,3-17-original,physics,2,2,9.792509230810419,MW,3.0e-6,false
single-impossible-heat,2,diagnostic,3-17,relaxed,2,3,9.79250923081517,MW,3.0e-6,false
single-impossible-heat,2,diagnostic,3-17-original,physics,2,3,9.79250923081517,MW,3.0e-6,false
single-impossible-heat,2,diagnostic,3-17,relaxed,2,4,9.792509230816975,MW,3.0e-6,false
single-impossible-heat,2,diagnostic,3-17-original,physics,2,4,9.792509230816975,MW,3.0e-6,false
single-impossible-heat,2,diagnostic,3-25,physics,S1,1,0.08672670101729338,normalized,1.0e-6,false
single-impossible-heat,2,diagnostic,3-25,physics,S1,2,0.08672670101729338,normalized,1.0e-6,false
single-impossible-heat,2,diagnostic,3-25,physics,S1,3,0.08672670101729338,normalized,1.0e-6,false
single-impossible-heat,2,diagnostic,3-25,physics,S1,4,0.08672670101729338,normalized,1.0e-6,false
single-impossible-heat,2,diagnostic,3-25,physics,R1,1,0.08673099000940644,normalized,1.0e-6,false
single-impossible-heat,2,diagnostic,3-25,physics,R1,2,0.08673099000940644,normalized,1.0e-6,false
single-impossible-heat,2,diagnostic,3-25,physics,R1,3,0.08673099000940644,normalized,1.0e-6,false
single-impossible-heat,2,diagnostic,3-25,physics,R1,4,0.08673099000940644,normalized,1.0e-6,false
single-loose-electric,1,fixed_dispatch,pre-SOC-electric,physics,1,1,2.3003078345942964,pu,1.0e-6,false
single-loose-electric,1,fixed_dispatch,pre-SOC-electric,physics,1,2,2.2724139056964887,pu,1.0e-6,false
single-loose-electric,1,fixed_dispatch,pre-SOC-electric,physics,1,3,2.2916251128003813,pu,1.0e-6,false
single-loose-electric,1,fixed_dispatch,pre-SOC-electric,physics,1,4,2.283707392611958,pu,1.0e-6,false
single-loose-electric,1,fixed_dispatch,3-25,physics,S1,1,0.09667734262993134,normalized,1.0e-6,false
single-loose-electric,1,fixed_dispatch,3-25,physics,S1,2,0.09667734262993134,normalized,1.0e-6,false
single-loose-electric,1,fixed_dispatch,3-25,physics,S1,3,0.09667734262993134,normalized,1.0e-6,false
single-loose-electric,1,fixed_dispatch,3-25,physics,S1,4,0.09667734262993134,normalized,1.0e-6,false
single-loose-electric,1,fixed_dispatch,3-25,physics,R1,1,0.09667571450975984,normalized,1.0e-6,false
single-loose-electric,1,fixed_dispatch,3-25,physics,R1,2,0.09667571450975984,normalized,1.0e-6,false
single-loose-electric,1,fixed_dispatch,3-25,physics,R1,3,0.09667571450975984,normalized,1.0e-6,false
single-loose-electric,1,fixed_dispatch,3-25,physics,R1,4,0.09667571450975984,normalized,1.0e-6,false
single-loose-electric,2,pressure_reconstruction,pre-SOC-electric,physics,1,1,2.3003078345942964,pu,1.0e-6,false
single-loose-electric,2,pressure_reconstruction,pre-SOC-electric,physics,1,2,2.2724139056964887,pu,1.0e-6,false
single-loose-electric,2,pressure_reconstruction,pre-SOC-electric,physics,1,3,2.2916251128003813,pu,1.0e-6,false
single-loose-electric,2,pressure_reconstruction,pre-SOC-electric,physics,1,4,2.283707392611958,pu,1.0e-6,false
