case,run_id,status,physical_pass,cost_complete,flow_distance,operating_cost,elapsed_sec
single-fixed,r3-study-20260917T045811-7399ae72_single-fixed,feasible_cost_optimized,true,true,0.0,80.18286341908787,10.875481399998534
single-schpd,r3-study-20260917T045811-7399ae72_single-schpd,feasible_cost_optimized,true,true,0.012130684764370958,80.0835522316707,5.1535221000085585
two-schpd,r3-study-20260917T045811-7399ae72_two-schpd,feasible_cost_optimized,true,true,0.027840408472740497,186.38843677250543,181.71887300000526
single-low-flow,r3-study-20260917T045811-7399ae72_single-low-flow,feasible_cost_optimized,true,true,1.193030413476639,80.97096062998244,0.22624170000199229
single-impossible-heat,r3-study-20260917T045811-7399ae72_single-impossible-heat,infeasible_certified,false,false,,,0.03236739998101257
single-loose-electric,r3-study-20260917T045811-7399ae72_single-loose-electric,feasible_cost_optimized,true,true,0.0,0.0,0.07490259999758564
