id,stage,status,termination,model_pass,physical_pass,operating_cost,selected
two-source-schpd,1641,solver_optimal,OPTIMAL,true,true,177.42135249318102,false
two-source-schpd,1642,solver_optimal,OPTIMAL,true,true,177.37624798886804,false
two-source-schpd,1643,solver_optimal,OPTIMAL,true,true,182.9876053833022,false
two-source-VF_CT-pg,3920,infeasible_certified,INFEASIBLE,false,false,,false
two-source-VF_CT-pg,3921,infeasible_certified,INFEASIBLE,false,false,,false
single-delay-switch,509,solver_optimal,OPTIMAL,true,true,77.58387004828143,false
single-delay-switch,510,infeasible_certified,INFEASIBLE,false,false,,false
single-delay-switch,511,infeasible_certified,INFEASIBLE,false,false,,false
single-loose-electric,16,solver_optimal,OPTIMAL,true,true,0.0,true
single-loose-electric,17,solver_optimal,OPTIMAL,true,true,0.0,false
single-loose-electric,18,solver_optimal,OPTIMAL,true,true,0.0,false
two-source-VF_CT-pg-without-physical-recovery,3919,infeasible_certified,INFEASIBLE,false,false,,false
two-source-schpd-without-stationarity-check,1639,solver_optimal,OPTIMAL,true,true,177.42135249318102,false
two-source-schpd-without-stationarity-check,1640,solver_optimal,OPTIMAL,true,true,177.37624798886804,false
two-source-schpd-without-stationarity-check,1641,solver_optimal,OPTIMAL,true,true,182.9876053833022,false
