iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,diagnostic,0.040501967556627334,true,1.0,0.21024040501919905,true,false,1
2,diagnostic,0.002889888441514193,true,0.25,0.18399158389628312,true,true,3
3,diagnostic,0.002472180473673758,true,0.25,0.18596545723417224,true,true,3
4,diagnostic,0.00033440359208701217,true,0.125,0.19130801995241886,true,true,4
5,dispatch,0.05386908395822274,true,0.5,0.023037341261868183,true,true,2
6,dispatch,0.05342709848622062,true,0.125,0.02138725053454582,true,false,4
7,dispatch,0.05331854599084067,true,0.0625,0.02103451764742814,true,false,5
8,dispatch,0.05326424912073884,true,0.03125,0.020864729553728756,true,false,6
9,dispatch,0.05323707674972589,true,0.00390625,0.020781394866216107,true,false,9
10,dispatch,0.05323367834558666,true,0.001953125,0.02077100769562701,true,false,10
11,dispatch,0.053231978988956874,true,0.0009765625,0.020765657517418656,true,false,11
12,dispatch,0.053231129089188756,true,0.00048828125,0.02076254134774269,true,false,12
13,dispatch,0.053230704453596185,false,,0.020761198497496025,true,false,12
