case,reference,other,comparable,both_infeasible,objective_relative_difference,A2_pass
future_e030_r005.toml,future_e030_r005--highs,future_e030_r005--clarabel,true,false,3.3702838106259692e-12,true
future_e030_r005.toml,future_e030_r005--highs,future_e030_r005--gurobi,true,false,6.7728382033021545e-15,true
future_hard.toml,future_hard--highs,future_hard--clarabel,true,false,6.02078944817995e-12,true
hard_r020.toml,hard_r020--highs,hard_r020--clarabel,true,false,1.3557074309227948e-13,true
hard_r100.toml,hard_r100--highs,hard_r100--clarabel,true,false,1.1132912773430237e-12,true
hard_zero.toml,hard_zero--highs,hard_zero--clarabel,true,false,2.434929422984349e-12,true
hard_zero.toml,hard_zero--highs,hard_zero--gurobi,true,false,4.259848535672285e-16,true
physical_infeasible.toml,physical_infeasible--highs,physical_infeasible--clarabel,false,true,NaN,false
quarter.toml,quarter--highs,quarter--clarabel,true,false,3.226308109560705e-13,true
thermal_e000_r005.toml,thermal_e000_r005--highs,thermal_e000_r005--clarabel,true,false,5.696718142742091e-13,true
thermal_e025_r000.toml,thermal_e025_r000--highs,thermal_e025_r000--clarabel,true,false,4.3380820611509557e-13,true
thermal_e025_r005.toml,thermal_e025_r005--highs,thermal_e025_r005--clarabel,true,false,5.092465611307774e-13,true
thermal_e030_r005.toml,thermal_e030_r005--highs,thermal_e030_r005--clarabel,true,false,1.635988146432598e-12,true
thermal_e030_r005.toml,thermal_e030_r005--highs,thermal_e030_r005--gurobi,true,false,8.44968053383336e-15,true
thermal_e100_r000.toml,thermal_e100_r000--highs,thermal_e100_r000--clarabel,true,false,1.7967849430533533e-12,true
thermal_hard.toml,thermal_hard--highs,thermal_hard--clarabel,true,false,1.9786996448158756e-12,true
