t,time_h,H_CHP,H_D,H_DH,H_D_hat,H_EB,H_HP,H_HS_ch,H_HS_dis,P_BS_ch,P_BS_dis,P_CHP,P_DH,P_EB,P_HP,P_PV,P_WT,P_grid,Q_grid,l,tau_R_in,tau_R_out,tau_S_in,tau_S_out,v
1,0.25,2.743131067316902e-10,0.15326837361546625,1.3225000521559091e-11,0.15326837362868995,1.3060024778978789e-11,4.6403529631478065e-11,0.003024145807163737,-3.14113914796232e-15,7.649152903986113e-13,6.606491961300117e-13,2.194377548912878e-10,1.3236289988569967e-11,1.3760282684933121e-11,1.547392440359276e-11,0.03999999999708911,3.0710745187972762e-15,0.2607165963177716,0.060716596491689284,0.07165964916815827,304.86093085390667,303.12858290406444,302.768565585803,323.107165808129,0.9935856680736441
2,0.5,0.33756133593810855,0.032751702764903454,1.1747727624177883e-11,0.03275170277664867,1.1222915050220399e-11,3.9137432562940646e-11,0.004384788419691626,-4.3766913822455015e-15,6.962774258826589e-13,9.147973986483616e-13,0.2700490687504859,1.1750779476068635e-11,1.1814476360103017e-11,1.3046191784305426e-11,0.07999999999766885,3.0710745187972762e-15,1.2904823128845055e-11,0.07004906872466427,0.004906872466291737,298.848544716822,304.8376815994593,344.50155631002747,302.7475569507396,0.9985999999997418
3,0.75,0.3250450540867027,0.19872477979158817,1.175294383021982e-11,0.1987247798033409,1.1358224236992448e-11,3.954669255352988e-11,0.004369071161198022,-5.152196441727543e-15,6.932910973958295e-13,9.30922710058668e-13,0.26003604326936175,1.1754636665294805e-11,1.195670195465443e-11,1.3182547173919553e-11,0.059999999997642606,3.0710745187972762e-15,4.465809013125996e-11,0.06003604327500299,0.0036043275003791366,320.77814582171226,298.83173385490954,337.0074461140053,344.43585770166334,0.9987999999991067
4,1.0,1.17987446723238e-10,0.20040607793445261,1.5194072524830912e-11,0.20040607794964663,1.4765732228266887e-11,5.003717113586296e-11,0.004204358766055094,-4.36992063179857e-15,8.02222075900021e-13,4.843184294078955e-13,9.438297992514441e-11,1.520090627392235e-11,1.5548829547609725e-11,1.6681751275876512e-11,0.01999999999649303,3.0710745187972762e-15,0.26070538329134374,0.050705383334442446,0.07053833344407764,313.09190618872384,320.7378515412654,320.2373326623047,336.9497726094921,0.993785892334173
