t,time_h,E_BS,E_HS,tau_IN
0,0.0,0.09999999999999999,0.09999999999999665,294.15
1,0.25,0.10000000000002479,0.09975603645187121,294.5433488511698
2,0.5,0.09999999999996634,0.09985467319235858,293.8053326172148
3,0.75,0.09999999999990292,0.09994839425082021,294.6432549229529
4,1.0,0.09999999999998303,0.09999999999991148,295.4202870022267
