run_id,case,penalty,variant,actor,disagreement,prepayment_utility,gain,total_transfer,utility_after,unit
open_flexible--penalty-100,open_flexible,100.0,penalty_excluded,DSO,149.93734087066596,-109.74593870742312,,,,USD_synthetic
open_flexible--penalty-100,open_flexible,100.0,penalty_excluded,A,-56.766135244047014,-13.5483623742608,,,,USD_synthetic
open_flexible--penalty-100,open_flexible,100.0,penalty_excluded,B,-204.98578916541777,-41.755028677266765,,,,USD_synthetic
open_flexible--penalty-100,open_flexible,100.0,penalty_included,DSO,112.03330411764,-109.74593870742312,,,,USD_synthetic
open_flexible--penalty-100,open_flexible,100.0,penalty_included,A,-56.766135244047014,-13.5483623742608,,,,USD_synthetic
open_flexible--penalty-100,open_flexible,100.0,penalty_included,B,-204.98578916541777,-41.755028677266765,,,,USD_synthetic
open_flexible--penalty-10000,open_flexible,10000.0,penalty_excluded,DSO,77.38796361163371,-109.74593870742312,9.657315519440203,196.79121783849703,87.04527913107391,USD_synthetic
open_flexible--penalty-10000,open_flexible,10000.0,penalty_excluded,A,-56.766135244047014,-13.5483623742608,5.412341664741213,-37.805431205045004,-51.3537935793058,USD_synthetic
open_flexible--penalty-10000,open_flexible,10000.0,penalty_excluded,B,-204.98578916541777,-41.755028677266765,4.244973854698991,-158.98578663345202,-200.7408153107188,USD_synthetic
open_flexible--penalty-10000,open_flexible,10000.0,penalty_included,DSO,77.38796331001032,-109.74593870742312,9.65731567025189,196.79121768768533,87.04527898026221,USD_synthetic
open_flexible--penalty-10000,open_flexible,10000.0,penalty_included,A,-56.766135244047014,-13.5483623742608,5.4123417492620485,-37.80543112052417,-51.353793494784966,USD_synthetic
open_flexible--penalty-10000,open_flexible,10000.0,penalty_included,B,-204.98578916541777,-41.755028677266765,4.244973920989842,-158.98578656716117,-200.74081524442795,USD_synthetic
open_fixed--penalty-100,open_fixed,100.0,penalty_excluded,DSO,138.56666666666666,-102.82969093567803,,,,USD_synthetic
open_fixed--penalty-100,open_fixed,100.0,penalty_excluded,A,-60.08534879455392,-22.5240166226465,,,,USD_synthetic
open_fixed--penalty-100,open_fixed,100.0,penalty_excluded,B,-207.9025678721128,-54.37291014494845,,,,USD_synthetic
open_fixed--penalty-100,open_fixed,100.0,penalty_included,DSO,100.71403460583777,-102.82969093567803,,,,USD_synthetic
