run_id,t,aggregator_heat_injection_MW,loss_MW,required_DSO_heat_MW,negative_generation_proof
base--independent_exact,1,-0.023990432545578894,0.0036,0.027590432545578893,false
base--independent_exact,2,-0.07900711264509289,0.0036,0.08260711264509289,false
base--independent_exact,3,0.17000984134050545,0.0036,-0.16640984134050546,true
base--independent_exact,4,-0.023990431349680486,0.0036,0.027590431349680485,false
electric_bottleneck--independent_exact,1,-0.023990432545578894,0.0036,0.027590432545578893,false
electric_bottleneck--independent_exact,2,-0.07900711264509289,0.0036,0.08260711264509289,false
electric_bottleneck--independent_exact,3,0.17000984134050545,0.0036,-0.16640984134050546,true
electric_bottleneck--independent_exact,4,-0.023990431349680486,0.0036,0.027590431349680485,false
heat_bottleneck--independent_exact,1,-0.023990432545578894,0.0036,0.027590432545578893,false
heat_bottleneck--independent_exact,2,-0.07900711264509289,0.0036,0.08260711264509289,false
heat_bottleneck--independent_exact,3,0.17000984134050545,0.0036,-0.16640984134050546,true
heat_bottleneck--independent_exact,4,-0.023990431349680486,0.0036,0.027590431349680485,false
no_p2p--independent_exact,1,-0.023990432545578894,0.0036,0.027590432545578893,false
no_p2p--independent_exact,2,-0.07900711264509289,0.0036,0.08260711264509289,false
no_p2p--independent_exact,3,0.17000984134050545,0.0036,-0.16640984134050546,true
no_p2p--independent_exact,4,-0.023990431349680486,0.0036,0.027590431349680485,false
fixed_load--independent_exact,1,-0.019999999844748567,0.0036,0.023599999844748566,false
fixed_load--independent_exact,2,-0.06999999989951858,0.0036,0.07359999989951858,false
fixed_load--independent_exact,3,0.18000000015525142,0.0036,-0.17640000015525142,true
fixed_load--independent_exact,4,-0.019999999844748567,0.0036,0.023599999844748566,false
capacity_infeasible--independent_exact,1,-10.804001641454002,0.0036,10.807601641454003,false
capacity_infeasible--independent_exact,2,-10.80400151124403,0.0036,10.80760151124403,false
capacity_infeasible--independent_exact,3,-10.610001367568062,0.0036,10.613601367568062,false
capacity_infeasible--independent_exact,4,-10.804003035661983,0.0036,10.807603035661984,false
