run_id,actor,resource,dissatisfaction,external,prepayment_cost,internal_net_cash,utility
base--central_socp,DSO,18.00561147628458,0.0,91.73980842024466,109.74541989652924,268.7429192373405,158.99749934081126
base--central_socp,A,11.179018270099359,2.3696431304076264,0.0,13.548661400506985,-55.274868946429535,-68.82353034693652
base--central_socp,B,39.36892336618868,2.3863284984022126,0.0,41.755251864590896,-213.46805029091098,-255.22330215550187
base--central_exact,DSO,18.005904924042753,0.0,91.74003358544104,109.74593850948379,268.7441340694369,158.9981955599531
base--central_exact,A,11.179016642768572,2.369345705295397,0.0,13.548362348063968,-55.27562119696737,-68.82398354503134
base--central_exact,B,39.368997715765914,2.3860312125742804,0.0,41.755028928340195,-213.4685128724695,-255.2235418008097
electric_bottleneck--central_socp,DSO,15.765876966509715,0.0,67.6008534936885,83.36673046019823,202.93784986622566,119.57111940602744
electric_bottleneck--central_socp,A,11.179016599974021,2.0075437832959095,0.0,13.186560383269931,-59.74738268844129,-72.93394307171123
electric_bottleneck--central_socp,B,69.08045677293946,6.521974190704718,0.0,75.60243096364417,-143.19046717778429,-218.79289814142845
electric_bottleneck--central_exact,DSO,15.765942172468051,0.0,67.60131807526636,83.36726024773441,202.939157479501,119.5718972317666
electric_bottleneck--central_exact,A,11.179016616646482,2.0070055160129034,0.0,13.186022132659385,-59.748683950072866,-72.93470608273225
electric_bottleneck--central_exact,B,69.08031541609806,6.522117778384468,0.0,75.60243319448253,-143.1904735294281,-218.79290672391062
heat_bottleneck--central_socp,DSO,18.006006535878324,0.0,83.36405640521488,101.37006294109321,247.65600759717725,146.28594465608404
heat_bottleneck--central_socp,A,11.17904024440981,2.201834805520302,0.0,13.380875049930111,-58.11507469442616,-71.49594974435627
heat_bottleneck--central_socp,B,49.83898831994242,2.384471470356642,0.0,52.22345979029907,-189.54093290275105,-241.76439269305013
heat_bottleneck--central_exact,DSO,18.00590492049526,0.0,83.36301594247018,101.36892086296544,247.65357330054593,146.2846524375805
heat_bottleneck--central_exact,A,11.179016648672093,2.20165984845851,0.0,13.380676497130603,-58.115118665552714,-71.49579516268332
heat_bottleneck--central_exact,B,49.839929801545814,2.384813749309448,0.0,52.224743550855266,-189.5384546349932,-241.76319818584847
no_p2p--central_socp,DSO,18.00561147628458,0.0,91.73980842024466,109.74541989652924,357.63031982682935,247.8848999303001
no_p2p--central_socp,A,11.179018270099359,2.3696431304076264,0.0,13.548661400506985,-97.89122792563633,-111.43988932614332
no_p2p--central_socp,B,39.36892336618868,2.3863284984022126,0.0,41.755251864590896,-259.73909190119304,-301.4943437657839
no_p2p--central_exact,DSO,18.005904924042753,0.0,91.74003358544104,109.74593850948379,357.63134625279656,247.88540774331278
no_p2p--central_exact,A,11.179016642768572,2.369345705295397,0.0,13.548362348063968,-97.89188981465671,-111.44025216272067
no_p2p--central_exact,B,39.368997715765914,2.3860312125742804,0.0,41.755028928340195,-259.7394564381399,-301.4944853664801
fixed_load--central_socp,DSO,13.019662106855842,0.0,89.81069871094441,102.83036081780025,253.34560757600383,150.51524675820357
fixed_load--central_socp,A,11.179023310113317,0.0,0.0,11.179023310113317,-44.08410214971735,-55.26312545983067
fixed_load--central_socp,B,31.37226894736475,0.0,0.0,31.37226894736475,-209.26150542628653,-240.63377437365128
fixed_load--central_exact,DSO,13.019700595032582,0.0,89.80999034064544,102.82969093567803,253.34428599338827,150.51459505771024
fixed_load--central_exact,A,11.179016622646524,0.0,0.0,11.179016622646524,-44.084330344463254,-55.263346967109776
fixed_load--central_exact,B,31.372910144948595,0.0,0.0,31.372910144948595,-209.25995564892503,-240.63286579387363
base--clarabel_enumeration,DSO,18.005905066235897,1.714179090634871e-19,91.74003196459452,109.74593703083042,268.74413030158746,158.99819327075704
base--clarabel_enumeration,A,11.179016619497302,2.3693457054015665,0.0,13.548362324898868,-55.27562088213786,-68.82398320703672
base--clarabel_enumeration,B,39.36899921202959,2.386031231330154,0.0,41.75503044335974,-213.4685094194496,-255.22353986280933
