method,run_id,t,P_DA_MW,R_up_MW,R_down_MW
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,3,20.033250718022522,16.82727910238435,4.085421652556648
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,4,21.032784306523254,16.82727910238451,2.119535729677167
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,5,19.803262937975965,5.346166338702793,4.160223469436061
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,6,18.676645665813012,0.0,8.5026809049226
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,7,28.55913451475364,15.856005360872693,0.5534814958311456
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,8,30.610980396222587,16.827279102384367,1.1103665698046459
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,9,28.612444938768157,0.6574000498508387,0.10517226493957914
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,10,28.39762196248644,0.0,1.0260813152217076
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,11,29.382216678078002,2.5511342792517255,0.0
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,12,30.21775004694908,12.398356910707289,-0.0
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,13,27.859932847156557,16.827279102384292,1.6785137860681207
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,14,24.49046896834879,4.290675394605152,3.3827561587810004
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,15,24.543847101823214,1.3411191919200258,7.251527726278805
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,16,26.433289621460187,0.0,9.647673620797601
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,17,30.07476256697819,16.827279102384292,0.974289940980132
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,18,35.03996878040977,16.82727910238437,3.6286595970168514
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,19,36.741931858294464,16.827279102384292,1.6609954307809423
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,20,31.44342782348914,4.187088499618691,6.870966234978607
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,21,30.145146607477823,16.827279102384352,3.5099418815888948
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,22,28.49525940634343,6.773770794642894,1.508360350569569
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,23,23.71952449450699,0.5052463756126636,3.786928351222795
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,24,21.19472630309666,1.014700475700818,3.242624039278647
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,1,21.40375568405782,16.827279102384352,5.103581130472431
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,2,23.359812285273623,16.827279102384445,0.4885492242656547
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,3,20.115897435811917,16.82727910238435,3.9821778587111933
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,4,20.959484787797326,16.82727910238451,2.2817990741283465
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,5,20.57475707970486,6.51576960432801,3.35245601622446
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,6,18.676672826026614,0.0,8.312206875955836
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,7,28.597533338817726,16.070054599678137,0.39912004373510407
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,8,30.574360426965303,16.827279102384367,0.054845287825734
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,9,28.614690903832944,0.6809884941874824,0.15099529442066362
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,10,28.39104015610453,0.0,1.0585849828518898
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,11,29.392441707826517,2.5736309338974666,0.0
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,12,30.22119827637509,12.414517504232956,-0.0
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,13,27.856179941795233,16.827279102384292,1.805778497479402
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,14,24.50138178412706,4.310351500015895,3.3406854333570286
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,15,24.54366800357535,1.3465600674796276,7.259040323154873
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,16,26.42978579252982,0.0,9.590644764972327
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,17,30.070373687659664,16.827279102384292,1.1414554988526024
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,18,35.038286519452235,16.82727910238437,2.669742917955613
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,19,36.750362806181776,16.827279102384292,0.5064915387531999
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,20,31.516436283105733,4.298827686509866,6.755350106538633
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,21,29.910727679928,16.827279102384352,3.55516309579406
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,22,28.124191549583113,5.694245123159483,2.054520287137544
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,23,23.954497821607895,0.7949870404118561,2.447515401267752
pilot4-3c,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,24,21.169917679212215,1.041820377785119,3.0068302791806434
