method,run_id,t,P_DA_MW,R_up_MW,R_down_MW
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,1,21.100604045760193,16.827279102384292,6.1721137753401605
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,2,21.352151814032773,16.827279102384292,3.2954896337332764
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,3,18.5519382562979,16.827279102384292,5.485873635753849
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,4,16.827279102384292,16.827279102384292,7.373375574995473
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,5,21.03972945414789,8.095452412236465,3.0198069904417513
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,6,18.606879625384877,0.0,5.463315838426566
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,7,27.972255531286876,14.969400007630457,0.0
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,8,30.291513094840496,16.827279102384292,0.0
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,9,28.726406752593014,1.1535934361159261,0.0
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,10,29.243378745106114,1.0425697494605446,0.0
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,11,28.055023231631385,0.0,8.218397232253285
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,12,28.02253124146502,7.57802267638595,0.0
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,13,27.62684348554393,16.827279102384292,2.1743667635941035
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,14,21.053336484950776,0.0,10.212857021364472
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,15,24.392956070912287,1.1877730313273307,7.071742606358818
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,16,26.534348322260062,0.0,1.2660413681765783
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,17,30.114625572175093,16.827279102384292,0.9277673726490517
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,18,34.89646157059294,16.827279102384292,0.0
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,19,36.43248564797501,16.43805514890592,0.0
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,20,29.20013148787384,0.5146125808437032,12.458983400218925
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,21,29.274661486370572,16.827279102384292,6.260637277197211
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,22,26.569881312229498,5.5013940280623075,6.471045767520132
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,23,24.779967072217516,3.855318661597965,0.0
pilot4-3a,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,24,22.901924708840692,4.5219770776452215,0.0
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,1,21.40375568405782,16.827279102384352,5.332040802777434
pilot4-3b,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,2,23.389870951799452,16.827279102384445,0.31654999624454405
