method,scheme,pilot,scenarios,status,run_id,case_sha256,model_pass,risk_pass,cost_pass,optimality_pass,cost_optimization_complete,budget_pass,elapsed_sec,empirical_cost_CNY,worst_cost_CNY,empirical_event_probability,worst_event_probability,selected_event_bound,relative_gap,capacity_MW_h,accepted_in_adopted_model
pilot4-3a,3A,true,4,solver_optimal,r5-risk-f7e5fbd3-bf58-43bb-a79e-264f05936fb1,0366c185017463eabe32d40964b861f354a6d34a71e2e4985dcc0e7c34169203,true,true,true,true,true,true,132.64146780001465,375255.06758732995,375255.06758741866,0.0,0.0,0.0,4.157079936348948e-14,302.17549498969413,true
pilot4-3b,3B,true,4,solver_optimal,r5-risk-c0cd9625-b4b0-46cd-8217-fae9eb1b11b6,95b5aedad0ac4d45415dab4a345d0adea480a950afd289d59b4ca2f86e511940,true,true,true,true,true,true,137.40993570000865,373029.2038680976,373029.2038680976,0.0,0.0,0.0,7.802024655159374e-16,297.6492460150828,true
pilot4-3c,3C,true,4,solver_optimal,r5-risk-3a0e6d71-402f-4772-88ea-362453d485c6,1e4e86636e758dab3683a03f8209b0b2c1aa4e00f6039b4e5168b8349a2a60ff,true,true,true,true,true,true,121.26631019997876,373038.779455733,373241.54591191455,0.0,0.0,0.0,1.8714206352752965e-15,293.3320778885645,true
