equation,scope,entity,t,residual,unit,tolerance,pass
3-24,model,1,3,0.0,kPa,0.001,true
3-24-order,model,1,3,0.0,normalized,1.0e-6,true
3-21,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,1,4,5.3262949606391885e-14,MW,3.0e-6,true
3-17-original,physics,1,4,5.3262949606391885e-14,MW,3.0e-6,true
3-19:20,model,1,4,2.2305324254290326e-11,MW,3.0e-6,true
3-37,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-24-order,model,1,4,0.0,normalized,1.0e-6,true
3-21,model,2,1,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,2,1,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,2,1,4.996003610813204e-16,MW,3.0e-6,true
3-17-original,physics,2,1,4.996003610813204e-16,MW,3.0e-6,true
3-19:20,model,2,1,0.0,MW,3.0e-6,true
3-38,model,2,1,0.0,K,0.0001,true
R2-load-return,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
3-24-order,model,2,1,0.0,normalized,1.0e-6,true
3-21,model,2,2,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,2,2,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,2,2,1.887379141862766e-15,MW,3.0e-6,true
3-17-original,physics,2,2,1.887379141862766e-15,MW,3.0e-6,true
3-19:20,model,2,2,0.0,MW,3.0e-6,true
3-38,model,2,2,0.0,K,0.0001,true
R2-load-return,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-24,model,2,2,0.0,kPa,0.001,true
3-41,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-24,model,2,2,0.0,kPa,0.001,true
3-24-order,model,2,2,0.0,normalized,1.0e-6,true
3-21,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,2,3,1.7763568394002505e-15,MW,3.0e-6,true
3-17-original,physics,2,3,1.7763568394002505e-15,MW,3.0e-6,true
3-19:20,model,2,3,0.0,MW,3.0e-6,true
3-38,model,2,3,0.0,K,0.0001,true
R2-load-return,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-24,model,2,3,0.0,kPa,0.001,true
3-41,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-24,model,2,3,0.0,kPa,0.001,true
3-24-order,model,2,3,0.0,normalized,1.0e-6,true
3-21,model,2,4,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,2,4,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,2,4,2.886579864025407e-14,MW,3.0e-6,true
3-17-original,physics,2,4,2.886579864025407e-14,MW,3.0e-6,true
3-19:20,model,2,4,0.0,MW,3.0e-6,true
3-38,model,2,4,0.0,K,0.0001,true
R2-load-return,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-24,model,2,4,0.0,kPa,0.001,true
3-41,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-24,model,2,4,0.0,kPa,0.001,true
3-24-order,model,2,4,0.0,normalized,1.0e-6,true
3-35:36,model,S1,1,0.0,K,0.0001,true
mix-original,physics,S1,1,0.0,K,0.0001,true
3-35:36,model,S1,2,0.0,K,0.0001,true
mix-original,physics,S1,2,0.0,K,0.0001,true
3-35:36,model,S1,3,0.0,K,0.0001,true
mix-original,physics,S1,3,0.0,K,0.0001,true
3-35:36,model,S1,4,0.0,K,0.0001,true
mix-original,physics,S1,4,0.0,K,0.0001,true
3-35:36,model,S2,1,0.0,K,0.0001,true
mix-original,physics,S2,1,0.0,K,0.0001,true
3-35:36,model,S2,2,5.684341886080802e-14,K,0.0001,true
mix-original,physics,S2,2,5.684341886080802e-14,K,0.0001,true
3-35:36,model,S2,3,0.0,K,0.0001,true
mix-original,physics,S2,3,0.0,K,0.0001,true
3-35:36,model,S2,4,0.0,K,0.0001,true
mix-original,physics,S2,4,0.0,K,0.0001,true
3-35:36,model,R1,1,0.0,K,0.0001,true
mix-original,physics,R1,1,0.0,K,0.0001,true
3-35:36,model,R1,2,0.0,K,0.0001,true
