case,runs,physical_pass,distinct_initials,distinct_within_A1,best_cost,median_cost,worst_cost,best_sec,median_sec,worst_sec
single-source,5,5,5,4,78.1378781115549,78.33546385619212,80.32923654815337,1.1004371999879368,1.9732988000032492,30.562112400017213
two-source,5,5,5,4,180.0163435666185,181.040640552009,185.7265002114475,0.9057863999914844,2.387087100010831,4.039635699999053
