id,iteration,equation,entity,time,unit,residual,tolerance,ratio
single-delay-switch,7,3-35,S2,4,K,8.191082328959221e-14,0.0001,8.19108232895922e-10
single-delay-switch,7,3-36,R1,1,K,1.006065807260858e-13,0.0001,1.006065807260858e-9
single-delay-switch,7,3-36,R1,2,K,1.0311163724727682e-13,0.0001,1.0311163724727682e-9
single-delay-switch,7,3-36,R1,3,K,1.0052613509556506e-13,0.0001,1.0052613509556506e-9
single-delay-switch,7,3-36,R1,4,K,1.0164323713804301e-13,0.0001,1.01643237138043e-9
single-delay-switch,7,3-36,R2,1,K,6.025144388913113e-14,0.0001,6.025144388913113e-10
single-delay-switch,7,3-36,R2,2,K,6.391301902274615e-14,0.0001,6.391301902274615e-10
single-delay-switch,7,3-36,R2,3,K,6.606581249760065e-14,0.0001,6.606581249760065e-10
single-delay-switch,7,3-36,R2,4,K,6.598411264503049e-24,0.0001,6.598411264503049e-20
single-delay-switch,7,3-33,S1,1,K,1.2148290315233206e-14,0.0001,1.2148290315233206e-10
single-delay-switch,7,3-34,S1,1,K,1.59715536197809e-13,0.0001,1.5971553619780898e-9
single-delay-switch,7,3-33,R1,1,K,2.2760323822289064e-15,0.0001,2.2760323822289064e-11
single-delay-switch,7,3-34,R1,1,K,8.701401555475457e-14,0.0001,8.701401555475456e-10
single-delay-switch,7,3-33,S1,2,K,1.444552835844257e-13,0.0001,1.4445528358442568e-9
single-delay-switch,7,3-34,S1,2,K,1.7318185023706786e-14,0.0001,1.7318185023706786e-10
single-delay-switch,7,3-33,R1,2,K,4.490743133748666e-14,0.0001,4.4907431337486655e-10
single-delay-switch,7,3-34,R1,2,K,4.75965015867466e-14,0.0001,4.759650158674659e-10
single-delay-switch,7,3-33,S1,3,K,1.2895800510548253e-13,0.0001,1.2895800510548253e-9
single-delay-switch,7,3-34,S1,3,K,3.171580631344309e-15,0.0001,3.171580631344309e-11
single-delay-switch,7,3-33,R1,3,K,4.2974539510196474e-14,0.0001,4.2974539510196474e-10
single-delay-switch,7,3-34,R1,3,K,4.758127734752279e-14,0.0001,4.758127734752279e-10
single-delay-switch,7,3-33,S1,4,K,1.4194279008040455e-13,0.0001,1.4194279008040455e-9
single-delay-switch,7,3-34,S1,4,K,2.0741097311192115e-14,0.0001,2.0741097311192115e-10
single-delay-switch,7,3-33,R1,4,K,4.486868976150921e-14,0.0001,4.4868689761509206e-10
single-delay-switch,7,3-34,R1,4,K,4.589048332389714e-14,0.0001,4.5890483323897137e-10
