split,candidate,method,day_id,run_id,status,model_pass,cost_complete,comfort_outcome,trained_label,net_cost_USD,day_ahead_USD,device_USD,real_time_USD,delivery_penalty_USD,peak_excess_K,called_energy_MWh,mismatch_MWh,capacity_budget_MWh,call_relative_mismatch
stress,D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,solver_optimal,true,true,pass,0,-9.970796048315435,-183.01603504475176,362.24523899643634,-189.20000000000002,0.0,0.0,1.9200000000000004,0.0,0.3840000000000001,0.0
stress,D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,solver_optimal,true,true,pass,0,38.72801431777576,-183.01603504475176,4.676355633889267,187.09691465542946,29.97077907320879,0.0,1.9200000000000004,0.02997077907320879,0.3840000000000001,0.01560978076729624
stress,D,D,clear_pv_sustained_up,r6-support-day-d65017a2-1712-4e4e-be83-e11c627711b7,solver_optimal,true,true,pass,0,-79.47079604831532,-183.01603504475176,292.74523899643646,-189.20000000000002,0.0,0.0,1.9200000000000004,0.0,0.3840000000000001,0.0
stress,D,D,clear_pv_sustained_down,r6-support-day-fac6b715-af51-4b07-b6e3-813e6bbf33bc,solver_optimal,true,true,pass,0,37.73565868388629,-183.01603504475176,3.6839999999999993,187.0969146554295,29.97077907320857,0.0,1.9200000000000004,0.029970779073208567,0.3840000000000001,0.015609780767296126
stress,SP,SP,zero_pv_sustained_up,r6-support-day-da2fbc11-fff7-4b35-9c45-af36f8dee3fc,solver_optimal,true,true,pass,0,-8.728816308935848,-191.4478088052014,371.91899249626556,-189.20000000000002,0.0,0.0,1.9200000000000004,0.0,0.3840000000000001,0.0
stress,SP,SP,zero_pv_sustained_down,r6-support-day-e770ec7f-f85f-4d28-9c7a-f1b3695db709,solver_optimal,true,true,pass,0,65.56944626941404,-191.4478088052014,4.499999999999999,184.62536401607144,67.89189105854399,0.0,1.9200000000000004,0.06789189105854398,0.3840000000000001,0.03536035992632498
stress,SP,SP,clear_pv_sustained_up,r6-support-day-4f9f1cc4-0c78-4fc5-b0b4-d0313679e645,solver_optimal,true,true,pass,0,-78.22881630893585,-191.4478088052014,302.41899249626556,-189.20000000000002,0.0,0.0,1.9200000000000004,0.0,0.3840000000000001,0.0
stress,SP,SP,clear_pv_sustained_down,r6-support-day-76c25819-2e82-4215-8c4d-e2dba5bba3a5,solver_optimal,true,true,pass,0,64.75344626941359,-191.4478088052014,3.6839999999999993,184.62536401607147,67.89189105854351,0.0,1.9200000000000004,0.06789189105854351,0.3840000000000001,0.03536035992632474
stress,RO,RO,zero_pv_sustained_up,r6-support-day-a4ed8b37-d3d6-43ee-ab17-99de868e6f62,solver_optimal,true,true,pass,0,-0.6141755738011341,-195.48582876535838,378.3298838767404,-183.45823068518314,0.0,0.0,1.8694405945054156,0.0,0.3789440594505416,0.0
stress,RO,RO,zero_pv_sustained_down,r6-support-day-96413a9b-a146-4f13-8d58-1822b34b08ad,solver_optimal,true,true,pass,0,28.832211457792067,-195.48582876535838,7.250346494512641,187.09691465542952,29.970779073208302,0.0,1.9200000000000004,0.029970779073208303,0.3789440594505416,0.015609780767295989
stress,RO,RO,clear_pv_sustained_up,r6-support-day-eed73737-9e83-4dd0-81b1-a36bf6196f0d,solver_optimal,true,true,pass,0,-70.11417557380102,-195.48582876535838,308.8298838767405,-183.45823068518314,0.0,0.0,1.8694405945054156,0.0,0.3789440594505416,0.0
stress,RO,RO,clear_pv_sustained_down,r6-support-day-09ae1ef2-501e-4fc6-aa4f-b49aed0e4711,solver_optimal,true,true,pass,0,25.43651991763668,-195.48582876535838,3.854654954357041,187.0969146554295,29.970779073208526,0.0,1.9200000000000004,0.029970779073208526,0.3789440594505416,0.015609780767296104
stress,DRO-r02,DRO,zero_pv_sustained_up,r6-support-day-83ab4510-dbb8-47a5-a2b6-7cc6b2524c3a,solver_optimal,true,true,pass,0,-8.64825750636669,-191.5348310172141,372.0865735108474,-189.20000000000002,0.0,0.0,1.9200000000000004,0.0,0.3840000000000001,0.0
stress,DRO-r02,DRO,zero_pv_sustained_down,r6-support-day-2033d537-ff71-4ad7-9b96-90ab14c89295,solver_optimal,true,true,pass,0,65.33032815834262,-191.5348310172141,4.499999999999999,184.62085327719134,67.74430589836537,0.0,1.9200000000000004,0.06774430589836537,0.3840000000000001,0.035283492655398624
stress,DRO-r02,DRO,clear_pv_sustained_up,r6-support-day-a179fb33-4904-437b-a0d8-1bb024474f45,solver_optimal,true,true,pass,0,-78.14825750636658,-191.5348310172141,302.58657351084753,-189.20000000000002,0.0,0.0,1.9200000000000004,0.0,0.3840000000000001,0.0
stress,DRO-r02,DRO,clear_pv_sustained_down,r6-support-day-e61df6d3-0234-4637-a2f6-fd0ff82ea02c,solver_optimal,true,true,pass,0,64.51432815834221,-191.5348310172141,3.6839999999999993,184.6208532771914,67.7443058983649,0.0,1.9200000000000004,0.0677443058983649,0.3840000000000001,0.03528349265539838
stress,CCP,CCP,zero_pv_sustained_up,r6-support-day-82a22691-0c64-4672-b946-ab9aac488c81,solver_optimal,true,true,pass,0,-8.66321739808427,-191.503697288339,372.04047989025474,-189.20000000000002,0.0,0.0,1.9200000000000004,0.0,0.3840000000000001,0.0
