method,stage_index,stage,actor,termination,model_pass,objective_kind,objective
equipment-joint-independent-socp,7,local,8,OPTIMAL,true,local_resource_plus_retail,62933.853868327584
equipment-joint-independent-socp,8,local,9,OPTIMAL,true,local_resource_plus_retail,8165.115005495514
equipment-joint-independent-socp,9,network,0,INFEASIBLE,false,system_resource_cost,NaN
equipment-joint-independent-exact,1,local,2,OPTIMAL,true,local_resource_plus_retail,16356.91627193412
equipment-joint-independent-exact,2,local,3,OPTIMAL,true,local_resource_plus_retail,22195.927279909825
equipment-joint-independent-exact,3,local,4,OPTIMAL,true,local_resource_plus_retail,50440.53787381387
equipment-joint-independent-exact,4,local,5,OPTIMAL,true,local_resource_plus_retail,63882.00577367133
equipment-joint-independent-exact,5,local,6,OPTIMAL,true,local_resource_plus_retail,44436.30399399525
equipment-joint-independent-exact,6,local,7,OPTIMAL,true,local_resource_plus_retail,61114.69241452617
equipment-joint-independent-exact,7,local,8,OPTIMAL,true,local_resource_plus_retail,62933.853868327584
equipment-joint-independent-exact,8,local,9,OPTIMAL,true,local_resource_plus_retail,8165.115005495514
equipment-joint-independent-exact,9,network,0,INFEASIBLE,false,system_resource_cost,NaN
equipment-joint-central-socp,1,central,0,OPTIMAL,true,system_resource_cost,654519.8510757334
equipment-joint-central-exact,1,central,0,OPTIMAL,true,system_resource_cost,654504.7859333571
