record,run_id,group,control,solver,pipe,time_h,scenario,flow_kg_s,outlet_S_K,outlet_R_K,inventory_S_MWh,inventory_R_MWh
"reserve_prescribed_highs","r7-normal-flow-0dd892b7-d2e0-4fd0-a738-47a3dbc815a1","reserve","prescribed","HiGHS","1","1","2","5.0","342.15","323.10238095238094","1.91018867390369e-15","0.41900000000000137"
"reserve_prescribed_highs","r7-normal-flow-0dd892b7-d2e0-4fd0-a738-47a3dbc815a1","reserve","prescribed","HiGHS","1","2","1","5.0","342.197619047619","323.10238095238094","1.91018867390369e-15","0.42000000000000126"
"reserve_prescribed_highs","r7-normal-flow-0dd892b7-d2e0-4fd0-a738-47a3dbc815a1","reserve","prescribed","HiGHS","1","2","2","5.0","333.15","323.10238095238094","1.91018867390369e-15","0.23000000000000145"
"reserve_prescribed_highs","r7-normal-flow-0dd892b7-d2e0-4fd0-a738-47a3dbc815a1","reserve","prescribed","HiGHS","1","3","1","5.0","333.15","323.15","0.18900000000000075","0.23000000000000145"
"reserve_prescribed_highs","r7-normal-flow-0dd892b7-d2e0-4fd0-a738-47a3dbc815a1","reserve","prescribed","HiGHS","1","3","2","5.0","333.15","314.10238095238094","0.18900000000000075","0.23000000000000145"
"reserve_prescribed_highs","r7-normal-flow-0dd892b7-d2e0-4fd0-a738-47a3dbc815a1","reserve","prescribed","HiGHS","1","4","1","5.0","342.1499999999999","314.10238095238094","0.18899999999999997","0.4190000000000002"
"reserve_prescribed_highs","r7-normal-flow-0dd892b7-d2e0-4fd0-a738-47a3dbc815a1","reserve","prescribed","HiGHS","1","4","2","5.0","342.1499999999999","314.10238095238094","0.18899999999999997","0.4190000000000002"
"reserve_prescribed_gurobi","r7-normal-flow-ce0c892c-f348-4cc7-a2f9-29e21f47a926","reserve","prescribed","Gurobi","1","1","1","5.0","342.15","323.10238095238094","0.0","0.41900000000000226"
"reserve_prescribed_gurobi","r7-normal-flow-ce0c892c-f348-4cc7-a2f9-29e21f47a926","reserve","prescribed","Gurobi","1","1","2","5.0","342.15","323.10238095238094","0.0","0.41900000000000226"
"reserve_prescribed_gurobi","r7-normal-flow-ce0c892c-f348-4cc7-a2f9-29e21f47a926","reserve","prescribed","Gurobi","1","2","1","5.0","333.15","323.10238095238094","0.19000000000000217","0.2300000000000022"
"reserve_prescribed_gurobi","r7-normal-flow-ce0c892c-f348-4cc7-a2f9-29e21f47a926","reserve","prescribed","Gurobi","1","2","2","5.0","333.15","323.10238095238094","0.19000000000000217","0.2300000000000022"
"reserve_prescribed_gurobi","r7-normal-flow-ce0c892c-f348-4cc7-a2f9-29e21f47a926","reserve","prescribed","Gurobi","1","3","1","5.0","342.19761904761907","314.10238095238094","0.18900000000000095","0.4200000000000017"
"reserve_prescribed_gurobi","r7-normal-flow-ce0c892c-f348-4cc7-a2f9-29e21f47a926","reserve","prescribed","Gurobi","1","3","2","5.0","342.19761904761907","314.10238095238094","0.18900000000000095","0.4200000000000017"
"reserve_prescribed_gurobi","r7-normal-flow-ce0c892c-f348-4cc7-a2f9-29e21f47a926","reserve","prescribed","Gurobi","1","4","1","5.0","342.15","323.15","0.18899999999999997","0.4190000000000002"
"reserve_prescribed_gurobi","r7-normal-flow-ce0c892c-f348-4cc7-a2f9-29e21f47a926","reserve","prescribed","Gurobi","1","4","2","5.0","342.15","323.15","0.18899999999999997","0.4190000000000002"
"reserve_continuous_gurobi","r7-normal-flow-f8ec6973-870c-48a9-beed-284918dc83d0","reserve","continuous","Gurobi","1","1","1","3.995754686106577","342.15","323.10238095238094","0.13804589700214898","0.3386603748884231"
"reserve_continuous_gurobi","r7-normal-flow-f8ec6973-870c-48a9-beed-284918dc83d0","reserve","continuous","Gurobi","1","1","2","3.995754686106577","342.15","323.10238095238094","0.13131713644834503","0.3386603748884231"
"reserve_continuous_gurobi","r7-normal-flow-f8ec6973-870c-48a9-beed-284918dc83d0","reserve","continuous","Gurobi","1","2","1","5.000004881748586","339.7236113333051","319.2766858699587","0.07791646287325106","0.368046228847427"
"reserve_continuous_gurobi","r7-normal-flow-f8ec6973-870c-48a9-beed-284918dc83d0","reserve","continuous","Gurobi","1","2","2","5.000004881748586","339.4031942691585","319.27668555845304","0.0734915028683349","0.36131747047235124"
"reserve_continuous_gurobi","r7-normal-flow-f8ec6973-870c-48a9-beed-284918dc83d0","reserve","continuous","Gurobi","1","3","1","5.569937333643425","337.4015693091343","320.63784047935275","0.18900000084310978","0.3602124883262134"
"reserve_continuous_gurobi","r7-normal-flow-f8ec6973-870c-48a9-beed-284918dc83d0","reserve","continuous","Gurobi","1","3","2","5.569937333643425","337.212417804757","320.33085499915444","0.1890000016065281","0.35624030700108045"
"reserve_continuous_gurobi","r7-normal-flow-f8ec6973-870c-48a9-beed-284918dc83d0","reserve","continuous","Gurobi","1","4","1","5.0","342.15","320.3029756163188","0.18900000000000003","0.41900000000000026"
"reserve_continuous_gurobi","r7-normal-flow-f8ec6973-870c-48a9-beed-284918dc83d0","reserve","continuous","Gurobi","1","4","2","5.0","342.15","320.1138240980171","0.18900000000000003","0.41900000000000026"
"varying_prices_prescribed_highs","r7-normal-flow-ca6d38d5-5291-4f76-93c2-815f80c03bc3","varying_prices","prescribed","HiGHS","1","1","1","5.0","343.15","313.15","0.03999999999999999","0.21000000000000174"
"varying_prices_prescribed_highs","r7-normal-flow-ca6d38d5-5291-4f76-93c2-815f80c03bc3","varying_prices","prescribed","HiGHS","1","1","2","5.0","343.15","313.15","0.03999999999999999","0.21000000000000174"
"varying_prices_prescribed_highs","r7-normal-flow-ca6d38d5-5291-4f76-93c2-815f80c03bc3","varying_prices","prescribed","HiGHS","1","2","1","5.0","335.0547619047618","313.15","0.13999999999999996","0.03999999999999999"
"varying_prices_prescribed_highs","r7-normal-flow-ca6d38d5-5291-4f76-93c2-815f80c03bc3","varying_prices","prescribed","HiGHS","1","2","2","5.0","335.0547619047618","313.15","0.13999999999999996","0.03999999999999999"
"varying_prices_prescribed_highs","r7-normal-flow-ca6d38d5-5291-4f76-93c2-815f80c03bc3","varying_prices","prescribed","HiGHS","1","3","1","5.0","339.81666666666655","305.0547619047618","0.20999999999999958","0.13999999999999996"
"varying_prices_prescribed_highs","r7-normal-flow-ca6d38d5-5291-4f76-93c2-815f80c03bc3","varying_prices","prescribed","HiGHS","1","3","2","5.0","339.81666666666655","305.0547619047618","0.20999999999999958","0.13999999999999996"
"varying_prices_prescribed_highs","r7-normal-flow-ca6d38d5-5291-4f76-93c2-815f80c03bc3","varying_prices","prescribed","HiGHS","1","4","1","5.0","343.14999999999986","309.81666666666655","0.21","0.21"
"varying_prices_prescribed_highs","r7-normal-flow-ca6d38d5-5291-4f76-93c2-815f80c03bc3","varying_prices","prescribed","HiGHS","1","4","2","5.0","343.14999999999986","309.81666666666655","0.21","0.21"
"varying_prices_prescribed_gurobi","r7-normal-flow-9c64d8a0-c949-4fe0-a7a1-bafc691cb1e1","varying_prices","prescribed","Gurobi","1","1","1","5.0","343.15","313.15","0.040000000000000036","0.21000000000000174"
"varying_prices_prescribed_gurobi","r7-normal-flow-9c64d8a0-c949-4fe0-a7a1-bafc691cb1e1","varying_prices","prescribed","Gurobi","1","1","2","5.0","343.15","313.15","0.03999999999999915","0.21000000000000174"
"varying_prices_prescribed_gurobi","r7-normal-flow-9c64d8a0-c949-4fe0-a7a1-bafc691cb1e1","varying_prices","prescribed","Gurobi","1","2","1","5.0","335.0547619047619","313.15","0.13999999999999968","0.040000000000000036"
"varying_prices_prescribed_gurobi","r7-normal-flow-9c64d8a0-c949-4fe0-a7a1-bafc691cb1e1","varying_prices","prescribed","Gurobi","1","2","2","5.0","335.0547619047619","313.15","0.1399999999999988","0.03999999999999915"
"varying_prices_prescribed_gurobi","r7-normal-flow-9c64d8a0-c949-4fe0-a7a1-bafc691cb1e1","varying_prices","prescribed","Gurobi","1","3","1","5.0","339.81666666666666","305.0547619047619","0.20999999999999996","0.13999999999999968"
"varying_prices_prescribed_gurobi","r7-normal-flow-9c64d8a0-c949-4fe0-a7a1-bafc691cb1e1","varying_prices","prescribed","Gurobi","1","3","2","5.0","339.81666666666666","305.0547619047619","0.20999999999999996","0.1399999999999988"
"varying_prices_prescribed_gurobi","r7-normal-flow-9c64d8a0-c949-4fe0-a7a1-bafc691cb1e1","varying_prices","prescribed","Gurobi","1","4","1","5.0","343.15","309.81666666666666","0.21","0.21"
"varying_prices_prescribed_gurobi","r7-normal-flow-9c64d8a0-c949-4fe0-a7a1-bafc691cb1e1","varying_prices","prescribed","Gurobi","1","4","2","5.0","343.15","309.81666666666666","0.21","0.21"
"varying_prices_continuous_gurobi","r7-normal-flow-6274a959-a266-4543-8a61-f966441d852b","varying_prices","continuous","Gurobi","1","1","1","3.750000002676899","343.15","313.15","0.05249999988757023","0.05249999988756948"
"varying_prices_continuous_gurobi","r7-normal-flow-6274a959-a266-4543-8a61-f966441d852b","varying_prices","continuous","Gurobi","1","1","2","3.750000002676899","343.15","313.15","0.05250000003745735","0.052500000337713584"
"varying_prices_continuous_gurobi","r7-normal-flow-6274a959-a266-4543-8a61-f966441d852b","varying_prices","continuous","Gurobi","1","2","1","4.956436498526878","335.671973191212","305.67197319121215","0.19707094399575498","0.047010998701843304"
"varying_prices_continuous_gurobi","r7-normal-flow-6274a959-a266-4543-8a61-f966441d852b","varying_prices","continuous","Gurobi","1","2","2","4.956436498526878","335.6719731983327","305.67197321258163","0.20094426297197768","0.0470109988557972"
"varying_prices_continuous_gurobi","r7-normal-flow-6274a959-a266-4543-8a61-f966441d852b","varying_prices","continuous","Gurobi","1","3","1","4.266292195341502","342.5201456750445","305.38523517589243","0.22007766684791727","0.08241018981823998"
"varying_prices_continuous_gurobi","r7-normal-flow-6274a959-a266-4543-8a61-f966441d852b","varying_prices","continuous","Gurobi","1","3","2","4.266292195341502","342.7043106226982","305.3852351832379","0.2200169543776537","0.08571013605168169"
"varying_prices_continuous_gurobi","r7-normal-flow-6274a959-a266-4543-8a61-f966441d852b","varying_prices","continuous","Gurobi","1","4","1","4.934159527129086","343.6275640491177","307.0704715509973","0.21000000000000002","0.21000000000000002"
"varying_prices_continuous_gurobi","r7-normal-flow-6274a959-a266-4543-8a61-f966441d852b","varying_prices","continuous","Gurobi","1","4","2","4.934159527129086","343.62510658758555","307.22725123608006","0.21000000000000002","0.21000000000000002"
