stage,run_id,block,formula,rows,maximum_normalized,raw_residual,tolerance,unit,all_pass
normal,74e43db5-0140-48be-8aa3-645aabf7a397,model,valve-head,7104,0.0,0.0,1.0,Pa,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-11,128,3.186029800247475e-11,8.881784197001252e-16,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-19,704,7.327868540569191e-10,2.042810365310288e-14,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-20,704,1.9116178801484847e-10,5.329070518200751e-15,2.7877279102384292e-5,Mvar,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-22,704,0.0,0.0,1.0e-6,pu,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-24:25-P_line,752,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-24:25-Q_line,752,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-3/9,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-4/57,32,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-5/58,32,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-51-P,16,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-51-Q,16,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-54,704,3.783410387793876e-10,1.0547118733938987e-14,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-55,608,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-63,1,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-72,592,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-74,592,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-8/56/60,128,3.2656805452536615e-10,9.103828801926284e-15,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-80:82,34,0.0,0.0,1.1278250000000002e-5,MWh,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-81:82-temperature,34,0.0,0.0,0.0001,K,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-83,608,6.37205960049495e-11,1.7763568394002505e-15,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-84,608,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-85:86,32,3.9825372503093435e-12,1.1102230246251565e-16,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-88,16,34584.726006163386,0.964128059553305,2.7877279102384292e-5,MW,false
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,6-89,16,2.54882384019798e-10,7.105427357601002e-15,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R7-A3/90,2,0.0,0.0,1.1278250000000002e-5,MWh,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R7-A4-R,16,3.3469361680451594e-10,3.774758283725532e-15,1.1278250000000002e-5,MWh,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R7-A4-S,16,5.906357943609105e-11,6.661338147750939e-16,1.1278250000000002e-5,MWh,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R7-C1-load,608,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R7-C1-source,608,6.37205960049495e-11,1.7763568394002505e-15,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R7-R1,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R7-R4,608,1.1329838611208888e-10,7.105427357601002e-15,6.271428571428571e-5,kg/s,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE1-closed-component,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE1-energized,44,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE1-integer-energized,44,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE1-integer-live,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE1-live,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE1-live-product,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE2-live-root,44,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE2-root-available,704,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE3,752,9.403827543053023e-10,9.403827543053023e-16,1.0e-6,pu,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE4-commitment,32,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE4-device-P,128,3.2656805452536615e-10,9.103828801926284e-15,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE4-device-Q,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RE4-served,704,3.783410387793876e-10,1.0547118733938987e-14,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RL1-critical,704,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RL1-ordinary,704,3.783410387793876e-10,1.0547118733938987e-14,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RL1-split,704,3.9825372503093435e-12,1.1102230246251565e-16,2.7877279102384292e-5,MW,true
