stage,run_id,block,formula,rows,maximum_normalized,raw_residual,tolerance,unit,all_pass
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,integer-a_off,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,integer-a_on,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,integer-beta,44,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,integer-z,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,load-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,off-action,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,on-action,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,one-root-per-component,1,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,root-eligible,44,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,root-supply,44,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,source-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,virtual-arc,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,virtual-node,44,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-11,128,3.186029800247475e-11,8.881784197001252e-16,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-19,704,4.779044700371212e-10,1.3322676295501878e-14,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-20,704,2.9072521927258207e-10,8.104628079763643e-15,2.7877279102384292e-5,Mvar,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-22,704,0.0,0.0,1.0e-6,pu,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-24:25-P_line,752,4.779044700371212e-11,1.3322676295501878e-15,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-24:25-Q_line,752,2.1903954876701387e-10,6.106226635438361e-15,2.7877279102384292e-5,Mvar,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-3/9,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-4/57,32,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-5/58,32,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-51-P,16,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-51-Q,16,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-54,704,5.535726777929987e-10,1.5432100042289676e-14,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-55,608,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-63,1,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-72,592,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-74,592,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-8/56/60,128,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-80:82,34,0.0,0.0,1.1278250000000002e-5,MWh,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-81:82-temperature,34,0.0,0.0,0.0001,K,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-83,608,6.37205960049495e-11,1.7763568394002505e-15,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-84,608,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-85:86,32,3.9825372503093435e-12,1.1102230246251565e-16,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-88,16,58554.10084215855,1.632329011766009,2.7877279102384292e-5,MW,false
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,6-89,16,2.8674268202227274e-10,7.993605777301127e-15,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R7-A3/90,2,0.0,0.0,1.1278250000000002e-5,MWh,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R7-A4-R,16,2.9531789718045523e-10,3.3306690738754696e-15,1.1278250000000002e-5,MWh,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R7-A4-S,16,9.843929906015175e-11,1.1102230246251565e-15,1.1278250000000002e-5,MWh,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R7-C1-load,608,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R7-C1-source,608,6.37205960049495e-11,1.7763568394002505e-15,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R7-R1,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R7-R4,608,9.205493871607222e-11,5.773159728050814e-15,6.271428571428571e-5,kg/s,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE1-closed-component,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE1-energized,44,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE1-integer-energized,44,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE1-integer-live,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE1-live,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE1-live-product,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE2-live-root,44,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE2-root-available,704,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE3,752,9.679756995950584e-10,9.679756995950584e-16,1.0e-6,pu,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE4-commitment,32,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE4-device-P,128,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE4-device-Q,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RE4-served,704,5.535726777929987e-10,1.5432100042289676e-14,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RL1-critical,704,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RL1-ordinary,704,5.535726777929987e-10,1.5432100042289676e-14,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RL1-split,704,3.9825372503093435e-12,1.1102230246251565e-16,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RL2,1,1.7213029605888018e-10,1.7763568394002505e-15,1.0319838401908148e-5,MWh,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RW1-off,36,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RW1-on,36,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,R9-RW1-state,36,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,binary-a_off,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,binary-a_on,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,binary-beta,44,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,binary-z,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,forest-edges,1,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,forest-independent,1,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,inactive-charge,128,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,inactive-discharge,128,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,inactive-energy,136,0.0,0.0,1.1278250000000002e-5,MWh,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,integer-a_off,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,integer-a_on,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,integer-beta,44,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,integer-z,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,load-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,off-action,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,on-action,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,one-root-per-component,2,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,root-eligible,44,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,root-supply,44,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,source-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,virtual-arc,47,0.0,0.0,1.0e-6,1,true
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,model,virtual-node,44,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-11,128,3.186029800247475e-11,8.881784197001252e-16,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-19,704,2.947077565228914e-10,8.215650382226158e-15,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-20,704,1.369469884802132e-10,3.81770942009391e-15,2.7877279102384292e-5,Mvar,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-22,704,0.0,0.0,1.0e-6,pu,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-24:25-P_line,752,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-24:25-Q_line,752,0.0,0.0,2.7877279102384292e-5,Mvar,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-3/9,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-4/57,32,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-5/58,32,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-51-P,16,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-51-Q,16,0.0,0.0,2.7877279102384292e-5,Mvar,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-54,704,2.8276014477196335e-10,7.882583474838611e-15,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-55,608,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-63,1,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-72,592,0.0,0.0,6.271428571428571e-5,kg/s,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-74,592,0.0,0.0,6.271428571428571e-5,kg/s,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-8/56/60,128,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-83,608,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,6-84,608,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R7-C1-load,608,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R7-C1-source,608,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R7-R1,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R7-R4,608,2.832459652802222e-11,1.7763568394002505e-15,6.271428571428571e-5,kg/s,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE1-closed-component,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE1-energized,44,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE1-integer-energized,44,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE1-integer-live,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE1-live,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE1-live-product,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE2-live-root,44,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE2-root-available,704,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE3,752,1.0386656812411132e-10,1.0386656812411132e-16,1.0e-6,pu,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE4-commitment,32,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE4-device-P,128,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE4-device-Q,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RE4-served,704,2.8276014477196335e-10,7.882583474838611e-15,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RL1-critical,704,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RL1-ordinary,704,2.8276014477196335e-10,7.882583474838611e-15,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RL1-split,704,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RL2,1,0.0,0.0,9.521441123589585e-6,MWh,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RW1-off,36,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RW1-on,36,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,R9-RW1-state,36,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,binary-a_off,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,binary-a_on,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,binary-beta,44,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,binary-z,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,forest-edges,1,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,forest-independent,1,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,inactive-charge,128,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,inactive-discharge,128,0.0,0.0,2.7877279102384292e-5,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,inactive-energy,136,0.0,0.0,1.1278250000000002e-5,MWh,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,integer-a_off,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,integer-a_on,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,integer-beta,44,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,integer-z,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,load-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,off-action,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,on-action,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,one-root-per-component,1,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,root-eligible,44,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,root-supply,44,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,source-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,virtual-arc,47,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,shared,virtual-node,44,0.0,0.0,1.0e-6,1,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T-bound,14464,0.0,0.0,0.0001,K,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T-control,2432,1.6667223157185163e-7,1.6667223157185163e-13,1.0e-6,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T-idle-load,128,0.0,0.0,0.0001,K,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T-idle-source,2304,0.0,0.0,0.0001,K,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T-mass,2432,1.7763568394002505e-9,1.7763568394002505e-15,1.0e-6,kg/s,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T-port-load,2304,0.0,0.0,0.0001,K,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T-port-source,128,0.0,0.0,0.0001,K,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T1-transport,4736,4.604316927725449e-8,4.604316927725449e-12,0.0001,K,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T2-load,2432,1.91027749174566e-8,1.91027749174566e-14,1.0e-6,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T2-source,2432,9.581224702515101e-8,9.581224702515101e-14,1.0e-6,MW,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T3-mix,4864,6.87805368215777e-8,6.87805368215777e-12,0.0001,K,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T4-inventory,4810,1.170175067954915e-7,7.313594174718219e-15,6.25e-8,MWh,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T4-pipe-energy,4736,9.488937413593135e-9,5.930585883495709e-16,6.25e-8,MWh,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T4-pipe-mass,4736,1.616879469818539e-8,1.616879469818539e-14,1.0e-6,kg/s,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T4-spatial,55796,0.0,0.0,0.0001,K,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,R7-T4-total,64,2.0866641747829817e-7,1.3041651092393636e-14,6.25e-8,MWh,true
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,thermal,objective,1,7.034373084024992e-7,4.39648317751562e-14,6.25e-8,MWh,true
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,shared,6-11,128,3.186029800247475e-11,8.881784197001252e-16,2.7877279102384292e-5,MW,true
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,shared,6-19,704,6.37205960049495e-11,1.7763568394002505e-15,2.7877279102384292e-5,MW,true
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,shared,6-20,704,3.743585015290783e-10,1.0436096431476471e-14,2.7877279102384292e-5,Mvar,true
