run_id,t,time_h,node,tau_S_K,tau_R_K,H_MW,m_kg_s
r2-20260916T160850-5c892bb1,1,1.0,1,343.00000004333384,312.77730160441536,0.12693533344345753,1.0
r2-20260916T160850-5c892bb1,1,1.0,2,347.8203295583969,312.91430609332565,0.1466052985532993,1.0
r2-20260916T160850-5c892bb1,1,1.0,3,348.7142857142857,313.0,0.3,2.0
r2-20260916T160850-5c892bb1,2,2.0,1,357.85215594313604,312.74975146957945,0.18943009878893768,1.0
r2-20260916T160850-5c892bb1,2,2.0,2,352.1970957773718,312.91428797862346,0.2103599904034752,1.0
r2-20260916T160850-5c892bb1,2,2.0,3,351.0952380952381,313.0,0.32,2.0
r2-20260916T160850-5c892bb1,3,3.0,1,362.99999998256817,312.74423661202496,0.21107420615628159,1.0
r2-20260916T160850-5c892bb1,3,3.0,2,354.2929318957496,312.9142859658788,0.1737903129054572,1.0
r2-20260916T160850-5c892bb1,3,3.0,3,353.4761904761905,313.0,0.34,2.0
r2-20260916T160850-5c892bb1,4,4.0,1,353.6178505739557,312.7431331037822,0.17167381337472865,1.0
r2-20260916T160850-5c892bb1,4,4.0,2,350.5921661917637,312.9142857422405,0.1582470978879973,1.0
r2-20260916T160850-5c892bb1,4,4.0,3,351.0952380952381,313.0,0.32,2.0
