equation,scope,entity,t,residual,unit,tolerance,pass
3-11,model,2,4,2.7574019397340875e-17,pu2,1.0e-6,true
3-12,model,2,4,0.0,pu,1.0e-6,true
pre-SOC-electric,physics,2,4,9.222074391721652e-8,pu,1.0e-6,true
3-14,model,2,4,0.0,pu2,1.0e-6,true
R2-grid-bounds,model,1,1,0.0,MW,3.0e-6,true
R2-grid-bounds,model,1,2,0.0,MW,3.0e-6,true
R2-grid-bounds,model,1,3,0.0,MW,3.0e-6,true
R2-grid-bounds,model,1,4,0.0,MW,3.0e-6,true
3-21,model,1,1,0.0,kg/s,4.0e-6,true
3-43,model,1,1,0.0,kg/s,4.0e-6,true
3-17,model,1,1,8.326672684688674e-17,MW,3.0e-6,true
3-17-original,physics,1,1,8.326672684688674e-17,MW,3.0e-6,true
3-19:20,model,1,1,4.001313169688103e-11,MW,3.0e-6,true
3-37,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-24,model,1,1,0.0,kPa,0.001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-24,model,1,1,0.0,kPa,0.001,true
3-24-order,model,1,1,0.0,normalized,1.0e-6,true
3-21,model,1,2,0.0,kg/s,4.0e-6,true
3-43,model,1,2,0.0,kg/s,4.0e-6,true
3-17,model,1,2,2.7755575615628914e-17,MW,3.0e-6,true
3-17-original,physics,1,2,2.7755575615628914e-17,MW,3.0e-6,true
3-19:20,model,1,2,7.156275572128834e-12,MW,3.0e-6,true
3-37,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-24,model,1,2,0.0,kPa,0.001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-24,model,1,2,0.0,kPa,0.001,true
3-24-order,model,1,2,0.0,normalized,1.0e-6,true
3-21,model,1,3,0.0,kg/s,4.0e-6,true
3-43,model,1,3,0.0,kg/s,4.0e-6,true
3-17,model,1,3,1.3877787807814457e-16,MW,3.0e-6,true
3-17-original,physics,1,3,1.3877787807814457e-16,MW,3.0e-6,true
3-19:20,model,1,3,8.975153953372228e-12,MW,3.0e-6,true
3-37,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-24,model,1,3,0.0,kPa,0.001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-24,model,1,3,0.0,kPa,0.001,true
3-24-order,model,1,3,0.0,normalized,1.0e-6,true
3-21,model,1,4,0.0,kg/s,4.0e-6,true
3-43,model,1,4,0.0,kg/s,4.0e-6,true
3-17,model,1,4,2.7755575615628914e-17,MW,3.0e-6,true
3-17-original,physics,1,4,2.7755575615628914e-17,MW,3.0e-6,true
3-19:20,model,1,4,4.3503867175331834e-11,MW,3.0e-6,true
3-37,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-24-order,model,1,4,0.0,normalized,1.0e-6,true
3-21,model,2,1,0.0,kg/s,4.0e-6,true
3-43,model,2,1,0.0,kg/s,4.0e-6,true
3-17,model,2,1,2.7755575615628914e-17,MW,3.0e-6,true
3-17-original,physics,2,1,2.7755575615628914e-17,MW,3.0e-6,true
3-19:20,model,2,1,4.01311761599743e-11,MW,3.0e-6,true
