run_id,scope,rows,failures,max_ratio
literal_clarabel,model,43472,0,0.017559933381450146
literal_clarabel,physical,9096,0,0.017559933381450146
literal_clarabel,adopted_terminal,0,0,0.0
literal_clarabel,periodic,111,0,0.00021544337869272567
literal_gurobi,model,43472,0,0.0023118422877330173
literal_gurobi,physical,9096,0,0.5518408699861643
literal_gurobi,adopted_terminal,0,0,0.0
literal_gurobi,periodic,111,0,0.00013054602732154308
roundoff_band_clarabel,model,43546,70,179.19546735356562
roundoff_band_clarabel,physical,9096,0,0.004591113282083337
roundoff_band_clarabel,adopted_terminal,74,70,179.19546735356562
roundoff_band_clarabel,periodic,111,0,0.00017919546735356562
roundoff_band_gurobi,model,43546,74,17.671482055447996
roundoff_band_gurobi,physical,9096,0,0.18464424784286892
roundoff_band_gurobi,adopted_terminal,74,74,17.671482055447996
roundoff_band_gurobi,periodic,111,0,1.7671482055447996e-5
