run_id,node,t,source_temperature_K,heat_MW
literal_clarabel,1,1,343.2090529045517,3.3999999690191554
literal_clarabel,1,2,343.95781775511733,3.400000032367801
literal_clarabel,1,3,348.5644508253041,4.260412479437496
literal_clarabel,1,4,347.61574111644296,4.379653672302563
literal_clarabel,1,5,343.1500000450688,4.3899072331496845
literal_clarabel,1,6,353.9622408485637,6.799999985011168
literal_clarabel,1,7,352.25012823665736,6.800000017607746
literal_clarabel,1,8,349.0950040776406,6.8000000144514265
literal_clarabel,1,9,349.8408465694435,6.799999999158682
literal_clarabel,1,10,355.2477188922192,6.7999999931723965
literal_clarabel,1,11,362.4322954473447,6.800000033961626
literal_clarabel,1,12,368.1496886514161,6.800000165530122
literal_clarabel,1,13,372.7870047929822,6.800000173205828
literal_clarabel,1,14,373.1499999961812,6.584453512280285
literal_clarabel,1,15,373.1499999879959,6.269847230793423
literal_clarabel,1,16,373.14999998389857,6.590777886961941
literal_clarabel,1,17,373.1499999917336,6.799999960445272
literal_clarabel,1,18,373.1499993682065,6.799999925446082
literal_clarabel,1,19,373.1499999809384,6.800000013821518
literal_clarabel,1,20,365.85202025232127,6.799999913455356
literal_clarabel,1,21,362.9239607232438,6.800000118641708
literal_clarabel,1,22,363.2403781886506,4.397950848109192
literal_clarabel,1,23,363.1396485412907,5.534691904217528
literal_clarabel,1,24,363.14999999979204,5.5025012985531685
literal_clarabel,15,1,373.1499999841244,1.088018558538717
literal_clarabel,15,2,373.14999998561893,1.149690703648137
literal_clarabel,15,3,373.1499999840328,1.2000000016913648
literal_clarabel,15,4,372.076649864833,1.199999976781481
literal_clarabel,15,5,366.7080826721155,1.199999986220799
literal_clarabel,15,6,343.15000001747376,0.29703049574613105
literal_clarabel,15,7,343.15000001529364,0.32516653457933403
literal_clarabel,15,8,343.1500000146733,0.36599467290531273
literal_clarabel,15,9,343.1500000055768,0.3414797847390932
literal_clarabel,15,10,343.15000000534525,0.3181341785455617
literal_clarabel,15,11,343.15000000515647,0.2780948279781964
literal_clarabel,15,12,343.1500000049593,0.23245584501881075
literal_clarabel,15,13,343.15000000969843,0.18722228067881921
literal_clarabel,15,14,343.1500000097938,0.14816351251781637
literal_clarabel,15,15,343.1500000096757,0.13822909324785831
literal_clarabel,15,16,343.15000000553306,0.16446530190424846
literal_clarabel,15,17,343.15000000080056,0.17189397308109103
literal_clarabel,15,18,343.150000000209,0.18490999653734402
literal_clarabel,15,19,343.14999998135573,0.18664373651811422
literal_clarabel,15,20,343.1499998911823,0.1754776989541042
literal_clarabel,15,21,345.97135849566155,0.1938070650045681
literal_clarabel,15,22,361.79998278246666,0.8803116036245937
literal_clarabel,15,23,363.16693855272456,0.5959029056936637
literal_clarabel,15,24,363.1437656616397,0.646087160345521
literal_gurobi,1,1,343.2090567354857,3.4000003508735963
literal_gurobi,1,2,343.9578578841724,3.400003284207698
literal_gurobi,1,3,348.56444417436546,4.26041088789018
literal_gurobi,1,4,347.6157654314711,4.379654874389506
literal_gurobi,1,5,343.1500285931441,4.389908568754293
literal_gurobi,1,6,353.9622570611129,6.800000090182448
literal_gurobi,1,7,352.25014446228056,6.800000086199491
literal_gurobi,1,8,349.09502006584063,6.80000005844742
literal_gurobi,1,9,349.8408619126768,6.800000016518481
literal_gurobi,1,10,355.2477336670066,6.800000018138399
literal_gurobi,1,11,362.43230830380503,6.7999999461755145
literal_gurobi,1,12,368.1496455298055,6.799995225018417
literal_gurobi,1,13,372.78701948018244,6.800001632358641
literal_gurobi,1,14,373.1499999987176,6.584453612600996
literal_gurobi,1,15,373.1499999656586,6.269847295156817
literal_gurobi,1,16,373.1499999091076,6.590777878731689
literal_gurobi,1,17,373.14999966667847,6.799999897894843
literal_gurobi,1,18,373.1499998635926,6.7999999646758456
literal_gurobi,1,19,373.15000000277155,6.799999999498205
literal_gurobi,1,20,365.85202034731185,6.799999911149624
literal_gurobi,1,21,362.92396081268464,6.800000117348282
literal_gurobi,1,22,363.24037809901705,4.397950832488753
literal_gurobi,1,23,363.1396485715717,5.5346919051960555
literal_gurobi,1,24,363.1499999922435,5.502501296539659
literal_gurobi,15,1,373.14999858318106,1.0880185314636772
literal_gurobi,15,2,373.1499993367556,1.1496906617652
literal_gurobi,15,3,373.14999649038396,1.199999863081428
literal_gurobi,15,4,372.0766418738486,1.1999997419395796
literal_gurobi,15,5,366.7080857152973,1.1999999451071581
literal_gurobi,15,6,343.1500047274168,0.29703044296796244
literal_gurobi,15,7,343.1500080183849,0.3251664822432112
literal_gurobi,15,8,343.1500121148756,0.3659946483159067
literal_gurobi,15,9,343.150001796596,0.341479674064678
literal_gurobi,15,10,343.1500017981088,0.31813407680960937
literal_gurobi,15,11,343.150001646812,0.27809473318293787
literal_gurobi,15,12,343.1500018041474,0.2324558232319594
literal_gurobi,15,13,343.15001150209395,0.18722239669567334
literal_gurobi,15,14,343.15002029435453,0.14816369981267788
literal_gurobi,15,15,343.15001076078954,0.13822918002880885
literal_gurobi,15,16,343.15000107078674,0.16446530107675345
literal_gurobi,15,17,343.1500000230011,0.17189396820939246
literal_gurobi,15,18,343.1500000010978,0.1849099948183813
literal_gurobi,15,19,343.1500000001989,0.18664373570478252
